id;numero;contrato_ref;valor;situacao;data_emissao;descricao
13747;2020NE01447;;2054,82;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13746;2020NE01446;;50730,71;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13745;2020NE01445;;9978,15;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13744;2020NE01444;;41972,88;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13743;2020NE01443;;5612,08;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13742;2020NE01442;;2515,9;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13751;2020NE01451;;468,37;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13750;2020NE01450;;6122,79;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13749;2020NE01449;;1423,86;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
13748;2020NE01448;;72315,24;Ativo;31/12/2020;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento adotado para o encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
14116;2021NE0000265;11/2016;281526,0;Ativo;31/03/2021;Contratação para prestação de serviços de uso de solução de talão eletrônico de multas em plataforma Android para atender as necessidades deste Departamento de Trânsito.
14117;2021NE0000266;8/2021;67995,99;Ativo;31/03/2021;Prestação de serviços de fornecimento e execução dos sistemas plataforma web Sproweb e plataforma Prodam RH para atender as necessidades do Departamento Estadual de Trânsito do Amazonas - DETRAN/AM.
19901;2024NE0000083;10/2021;1820097,4;Ativo;31/01/2024;Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. PARECER Nº617/2023 (pág.115) TC: 0010/2021 AP.
12800;2019NE01397;;6332,55;Ativo;30/12/2019;ANULAÇÃO PARCIAL N.E. Nº1234 DE 25/11/2019 5º TERMO ADT. CONTR. Nº023/2014 DISP.LIC.PORT.Nº3106/2014/DETRAN/AM/AJUR
12847;2019NE01393;;1302,18;Ativo;30/12/2019;ANULAÇÃO PARCIAL N.E. Nº1297 DE 05/12/2019 CONTRATO 014/2019 RDL Nº068/19 PORTARIA Nº2020/19/DETRAN/AM
12796;2019NE01391;;1548,47;Ativo;30/12/2019;ANULAÇÃO SALDO N.E. Nº0019 DE 02/01/2019 5º TERMO ADT. CONTRATO Nº022/201 DISP.LIC.PORTARIA Nº3107/2014/DETRAN/AM
12791;2019NE01396;;280535,23;Ativo;30/12/2019;ANULAÇÃO PARCIAL N.E. Nº1232 DE 22/11/2019 6º TERMO ADT. CONTR. Nº022/2014 DISP.LIC.PORT.Nº3107/2014/DETRAN/AM/AJUR
4402;2016NE00846;;187684,0;Ativo;30/12/2016;ANULAÇÃO DO SALDO NE. ESTIMATIVO Nº 0597 DE 03/10/2016 CONTRATO Nº 11/2016 PARA CONTRATAÇÃO DE SERVIÇOS DE USO DE SOLUÇÃO DE TALONÁRIO ELETRÔNICO DE MULTAS EM PLATAFORMA ANDROID PARA ATENDER AS NECESSIDADES DESTE DEPARTAMENTO DE TRÂNSITO. REFERENTE: RDL Nº 039/2016 PORTARIA Nº 3519/2016 PUBLICADA D.O.E. DE 22/09/2016, PROCESSO Nº 013.26029/2016/CGL. OFICIO Nº 3773/2016-GP/CGL. PROCESSO Nº 9527/2016/DETRAN/AM.
14447;2021NE0000717;;1583584,2;Ativo;30/07/2021;"Referente aos serviços de Desenvolvimento de Execução de serviços SCNH, CVMT, SCIT, FRAM; serviços de Firewall; Fornecimento de circuito de transmissão; acesso à metromao; acesso gerenciado à rede mundial; fornecimento de espaço em rack."
14446;2021NE0000716;;1077023,61;Ativo;30/07/2021;Referente aos serviços de Desenvolvimento de sistemas de informação, implantação de sistemas de informação, assessoria técnica em informática, execução de sistemas - CVMT, SCNH, FRAM, SCIT, e execução de sistemas - SPROWEB.
14445;2021NE0000715;;26159,37;Ativo;30/07/2021;Serviço de execução de sistema de protocolo em plataforma web (SPROWEB), no período de janeiro a novembro/2020, Parecer nº 2371/2020-DETRAN/AM/AJUR, TAC nº 020/2020-DETRAN/AM. RD Nº118/DETRAN/AM DE 11/12/2020
509;2014NE00801;16/2009;1071904,53;Ativo;30/07/2014;Contrato No. 16/2009 - Prest de Serv de Inform: SCIT-CVMT-SCNH-FRAM
