id;nf;contrato;comp;valor;situacao;cadeia;protegida;motivo
165623;60537;10/2021;12/2025;727346,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
164005;58947;10/2021;10/2025;719677,7;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
164000;58948;296/2025;09/2025;630582,35;Emitida;COMPLETA;True;sem_ne_conhecida
163999;58949;296/2025;10/2025;630582,35;Emitida;COMPLETA;True;sem_ne_conhecida
164621;59663;296/2025;11/2025;630582,35;Emitida;COMPLETA;True;sem_ne_conhecida
165497;60301;296/2025;12/2025;630582,35;Emitida;COMPLETA;True;sem_ne_conhecida
166089;423;3/2026;01/2026;630582,35;Emitida;COMPLETA;True;ne_anterior_ao_venc
137917;34477;10/2021;12/2022;601527,4;Emitida;FORTE;True;interrompida_por_2026NE0000101
136425;33082;10/2021;10/2022;593876,4;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
135059;31682;10/2021;08/2022;590156,6;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
135863;32446;10/2021;09/2022;585782,6;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
134317;30955;10/2021;07/2022;585212,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
162973;57984;10/2021;09/2025;481179,03;Parcialmente Paga;COMPLETA;True;interrompida_por_2026NE0000101
164006;58946;10/2021;10/2025;454740,9;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
165621;60535;10/2021;12/2025;440294,97;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
128168;25043;22/2014;03/2021;427976,04;Emitida;COMPLETA;False;ne_anterior_ao_venc
128081;25016;22/2014;01/2021;417156,81;Emitida;COMPLETA;False;ne_anterior_ao_venc
135864;32447;10/2021;09/2022;417036,48;Emitida;FORTE;True;interrompida_por_2026NE0000101
136423;33080;10/2021;10/2022;415087,2;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
128134;25036;22/2014;02/2021;405008,37;Emitida;FORTE;False;ne_anterior_ao_venc
135060;31681;10/2021;08/2022;395711,04;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
134318;30954;10/2021;07/2022;394871,52;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
137918;34478;10/2021;12/2022;391817,76;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
129515;26309;10/2021;12/2021;371260,32;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
130540;27118;4/2016;02/2022;305403,49;Parcialmente Paga;COMPLETA;True;ne_anterior_ao_venc
131182;27929;4/2016;03/2022;305403,49;Parcialmente Paga;COMPLETA;True;ne_anterior_ao_venc
131912;28451;4/2016;04/2022;305403,49;Parcialmente Paga;COMPLETA;True;ne_anterior_ao_venc
132600;29253;4/2016;05/2022;305403,49;Parcialmente Paga;COMPLETA;True;ne_anterior_ao_venc
133362;29800;4/2016;06/2022;305403,49;Emitida;COMPLETA;True;ne_anterior_ao_venc
134497;31111;71/2022;07/2022;260000,0;Emitida;COMPLETA;True;sem_ne_conhecida
135065;31684;71/2022;08/2022;260000,0;Emitida;COMPLETA;True;sem_ne_conhecida
163822;58784;12/2021;10/2025;226680,99;Emitida;COMPLETA;True;interrompida_por_2026NE0000008
164797;59725;12/2021;11/2025;171478,35;Emitida;COMPLETA;True;interrompida_por_2026NE0000008
163143;58129;12/2021;09/2025;139963,41;Emitida;COMPLETA;True;interrompida_por_2026NE0000008
165622;60536;10/2021;12/2025;109776,38;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
164004;58945;10/2021;10/2025;107515,72;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
128166;25053;17/2015;03/2021;105884,1;Emitida;COMPLETA;True;interrompida_por_2024NE0002123
128080;25019;22/2014;01/2021;92347,09;Emitida;COMPLETA;False;ne_anterior_ao_venc
128144;25032;17/2015;02/2021;91206,45;Emitida;COMPLETA;True;interrompida_por_2024NE0002123
162971;57985;10/2021;09/2025;90503,51;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
128169;25044;22/2014;03/2021;90451,28;Emitida;FORTE;False;ne_anterior_ao_venc
128145;25028;17/2015;02/2021;87153,24;Emitida;COMPLETA;True;interrompida_por_2024NE0002123
128133;25035;22/2014;02/2021;82316,86;Emitida;FORTE;False;ne_anterior_ao_venc
128165;25049;17/2015;03/2021;51635,24;Emitida;COMPLETA;True;interrompida_por_2024NE0002123
165138;60039;6/2021;12/2025;44883,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
128140;25025;25/2014;02/2021;39951,0;Emitida;COMPLETA;False;ne_anterior_ao_venc
128159;25055;25/2014;03/2021;39951,0;Emitida;COMPLETA;False;ne_anterior_ao_venc
129612;26402;6/2021;12/2021;39951,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
134419;31030;6/2021;07/2022;39951,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
135063;31678;6/2021;08/2022;39951,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
135861;32444;6/2021;09/2022;39951,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
136422;33078;6/2021;10/2022;39951,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
