contrato;numero_fatura;competencia;data_vencimento;valor_original;regime;regime_label;prescricao;existe_no_db;decisao_juridica;observacao_advogado;anos_desde_vencimento;risco_prescricao;tem_NF_no_ocr;tem_NE_no_ocr;tem_NL_no_ocr;fatura_no_consolidado_spcf
10/2021;135058;08/2022;25/09/2022;14644.47;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;3.6;VERDE;NAO;NAO;NAO;NAO
10/2021;135862;09/2022;28/10/2022;10132.54;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;3.5;VERDE;NAO;NAO;NAO;NAO
10/2021;136424;10/2022;26/11/2022;9976.35;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;3.4;VERDE;NAO;NAO;NAO;NAO
10/2021;166854;02/2026;29/03/2026;85841.14;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;0.1;VERDE;NAO;NAO;NAO;NAO
10/2021;166855;02/2026;29/03/2026;712150.80;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;0.1;VERDE;NAO;NAO;NAO;NAO
10/2021;166858;02/2026;29/03/2026;434315.49;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;0.1;VERDE;NAO;NAO;NAO;NAO
10/2021;167282;03/2026;26/04/2026;8033.17;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;0.0;VERDE;NAO;NAO;NAO;NAO
10/2021;167283;03/2026;26/04/2026;650290.00;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;0.0;VERDE;NAO;NAO;NAO;NAO
10/2021;167284;03/2026;26/04/2026;428463.69;silente_administrativo;INPC + SELIC (Lei 14.905/24);Vigente;NAO;;;0.0;VERDE;NAO;NAO;NAO;NAO
12/2021;137296;11/2022;30/12/2022;12155.72;ipca_aditivo;IPCA (aditivo);Vigente;NAO;;;3.3;VERDE;NAO;NAO;NAO;NAO
12/2021;138012;12/2022;29/01/2023;14508.44;ipca_aditivo;IPCA (aditivo);Vigente;NAO;;;3.2;VERDE;NAO;NAO;NAO;NAO
12/2021;166851;02/2026;29/03/2026;77860.44;ipca_aditivo;IPCA (aditivo);Vigente;NAO;;;0.1;VERDE;NAO;NAO;NAO;NAO
12/2021;167157;03/2026;23/04/2026;3295.68;ipca_aditivo;IPCA (aditivo);Vigente;NAO;;;0.0;VERDE;NAO;NAO;NAO;NAO
