Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
ADAF;Hospedagem de Servidores;003/2022;139449;03/2023;2.451,84;1093 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Suporte Técnico em Sistemas de Informação;003/2022;139450;03/2023;1.039,40;1093 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Licença de uso de VPN;003/2022;139451;03/2023;170,81;1093 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Acesso Gerenciado à Rede Mundial;002/2023;142521;07/2023;12.104,72;969 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Acesso Gerenciado à Rede Mundial;002/2023;143319;08/2023;12.104,72;940 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Acesso Gerenciado à Rede Mundial;002/2023;144086;09/2023;12.104,72;905 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Acesso Gerenciado à Rede Mundial;002/2023;144917;10/2023;12.104,72;874 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Licença de uso de VPN;003/2022;145535;11/2023;170,81;847 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Suporte Técnico em Sistemas de Informação;003/2022;145534;11/2023;1.039,40;847 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Acesso Gerenciado à Rede Mundial;002/2023;145536;11/2023;12.104,72;847 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Hospedagem de Servidores;003/2022;145533;11/2023;4.280,52;847 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;009/2019;145971;11/2023;2.834,11;836 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Acesso Gerenciado à Rede Mundial;002/2023;146295;12/2023;12.104,72;818 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Hospedagem de Servidores;003/2022;146292;12/2023;4.280,52;815 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Licença de uso de VPN;003/2022;146294;12/2023;170,81;815 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Suporte Técnico em Sistemas de Informação;003/2022;146293;12/2023;1.039,40;815 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;009/2019;146401;12/2023;3.806,51;811 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Suporte Técnico em Sistemas de Informação;003/2022;148455;03/2024;1.088,04;716 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;151308;06/2024;2.717,51;623 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;151985;07/2024;2.219,07;590 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;152745;08/2024;3.709,91;561 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;153553;09/2024;2.697,49;531 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;154299;10/2024;2.789,19;497 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;155267;11/2024;2.803,53;468 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;155740;12/2024;4.989,04;447 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;156748;01/2025;2.758,75;406 dias;0,00;Suspenso;TramitarReverter Status
ADAF;Execução de sistemas;104/2024;157562;02/2025;2.497,06;377 dias;0,00;Suspenso;TramitarReverter Status
