numero;contrato;data_emissao;valor;situacao;descricao
2024NE0001957;2/2023;31/10/2024;12580,69;Ativo;SERVIÇOS DE REDE, COMPREENDENDO O ACESSO A REDE DO GOVERNO INCLUINDO O ACESSO GERENCIADO À INTERNET. TC: 0002/2023 AD: 01.
2024NE0001951;3/2022;31/10/2024;5768,67;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO ESPECIALIZADO EM HOSPEDAGEM DE SERVIÇO EM NUVEM. TC: 0003/2022 AD: 02.
2024NE0001955;4/2024;31/10/2024;2618,42;Ativo;Contratação de empresa de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo WEB para publicação de informações, notícias, vídeos e imagens via Website, de acordo com o padr
2022NE0001301;9/2019;31/08/2022;6899,08;Ativo;"- 3º TERMO ADITIVO (TA) AO CONTRATO 009/2019; PERÍODO: JULHO-AGOSTO; PROCESSO SIGED 018202.001730/2022; EXTRATO DO CONTRATO Nº 009/2019 NO D.O.E. EM 28/06/2019; NAD Nº 32 DE 28/04/2022; PARECER JURÍDI"
2022NE0001302;10/2019;31/08/2022;2335,68;Ativo;"- 3º TERMO ADITIVO AO CONTRATO Nº 010/2019; VALOR GLOBAL: R$ 14.014,08; VIGÊNCIA: 03/06/2022 - 02/06/2023; NOTA DE AUTORIZAÇÃO DE DESPESAS (NAD) Nº 39 DE 13/05/2022; PARECER JURÍDICO Nº 326/2022 - AJU"
2022NE0001298;17/2018;31/08/2022;24313,9;Ativo;"- 3º Termo Aditivo ao Contrato 017/2018; Portaria de dispensa de licitação nº 316/2018-ADAF, publicada no DOE de 12/11/2018; Parecer Jurídico nº 1302/2021 AJUR/ADAF de 16/12/2021."
2018NE00894;8/2016;31/07/2018;19906,0;Ativo;Contratação de empresa especializada na prestação de serviço de infraestrutura de TI compreendendo os serviços de Instalação, Hospedagem de servidores e suporte em sistemas de informação para esta ADA
2018NE00895;4/2014;31/07/2018;7990,23;Ativo;Contratação de Empresa Especializada na prestação de Serviços de execução de Sistemas, CFPP - Cadastro de Folha de Pagamento e Licença de Uso de sistemas de Informação para a disponibilização do siste
2016NE00893;;30/12/2016;967,39;Ativo;Anulação de Saldo da NE 00406, devido o Encerramento do Exercício Financeiro, Ref ao TC Nº 004/2014 - 2º TA - PRODAM
2016NE00891;;30/12/2016;57,3;Ativo;Anulação de Saldo da NE 00382, devido o Encerramento do Exercício Financeiro, Ref ao TC Nº 004/2014 - 2º TA - PRODAM
2016NE00901;;30/12/2016;967,39;Ativo;Anulação de Saldo da NE 00750, devido o Encerramento do Exercício Financeiro, Ref ao TC Nº 004/2014 - 2º TA - PRODAM
2016NE00712;8/2016;30/11/2016;8028,9;Ativo;Contratação de Serviços de Infraestrutura de TI compreendendo os serviços de Instação, Hospedagem de servidores para ADAF
2019NE01036;8/2016;30/09/2019;4690,94;Ativo;Serviços de infraestrutura de TI, compreendendo os serviços de instalação e hospedagem de servidores de dados.
2017NE00550;4/2014;30/05/2017;7842,03;Ativo;Contratação de Empresa Especializada na prestação de Serviços de execução de Sistemas, CFPP - Cadastro de Folha de Pagamento e Licença de Uso de sistemas de Informação para a disponibilização do siste
2026NE0000223;3/2022;30/01/2026;6017,59;Ativo;Contratação de empresa especializada na prestação de serviços de hospedagem de serviço em Nuvem. TC: 0003/2022 AD: 03.
2026NE0000225;7/2025;30/01/2026;5014,73;Ativo;Contratação de empresa especializada na prestação de serviço de Tecnologia da Informação, fornecido pela PRODAM RH ( Recursos Humanos).
2025NE0002590;;29/12/2025;0,13;Ativo;Cancelamento por encerramento de exercício.
2017NE01633;;29/12/2017;0,01;Ativo;Anulação de Saldo da NE 01344/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01653;;29/12/2017;3215,37;Ativo;Anulação de Saldo da NE 01343/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01652;;29/12/2017;6390,04;Ativo;Anulação de Saldo da NE 01152/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01651;;29/12/2017;4976,5;Ativo;Anulação de Saldo da NE 0009/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01649;;29/12/2017;3195,02;Ativo;Anulação de Saldo da NE 0213/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01648;;29/12/2017;497,82;Ativo;Anulação de Saldo da NE 0167/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01650;;29/12/2017;17756,58;Ativo;Anulação de Saldo da NE 0424/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01637;;29/12/2017;0,01;Ativo;Anulação de Saldo da NE 01437/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01645;;29/12/2017;50,0;Ativo;Anulação parcial da NE 550/2017, Devolução saldo remanescente de pagamento.
2017NE01621;;29/12/2017;0,02;Ativo;Anulação de Saldo da NE 01134/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2017NE01612;;29/12/2017;500,89;Ativo;Anulação de Saldo da NE 0550/2017, devido o Encerramento do Exercício Financeiro. Conforme orientação técnica Nº 001/2018 - GINS/SEFAZ.
2022NE0001781;3/2022;29/11/2022;5190,29;Ativo;"- CONTRATO Nº 003/2022 ¿ ADAF; PARECER JURÍDICO Nº 1231/2021 ¿ AJUR/ADAF DE 22/11/2021; PORTARIA DE DISPENSA DE LICITAÇÃO Nº 11/2022 - ADAF/AM, PUBLICADA NO D.O.E. EM 10/02/2022; EXTRATO DE CONTRATO, "
2024NE0001914;2/2023;29/10/2024;25161,38;Ativo;SERVIÇOS DE REDE, COMPREENDENDO O ACESSO A REDE DO GOVERNO INCLUINDO O ACESSO GERENCIADO À INTERNET. TC: 0002/2023 AD: 01.
2024NE0001912;3/2022;29/10/2024;11537,34;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO ESPECIALIZADO EM HOSPEDAGEM DE SERVIÇO EM NUVEM. TC: 0003/2022 AD: 02.
2024NE0001913;4/2024;29/10/2024;5236,84;Ativo;Contratação de empresa de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo WEB para publicação de informações, notícias, vídeos e imagens via Website, de acordo com o padr
2018NE01599;;28/12/2018;7849,12;Ativo;Anulação da NE Nº00894/2018, para ajuste orçamentário e em cumprimento ao art. 42 da LRF.
2018NE01590;;28/12/2018;0,05;Ativo;Anulação da NE Nº0320/2018, para ajuste orçamentário e em cumprimento ao art. 42 da LRF.
2018NE01591;;28/12/2018;0,01;Ativo;Anulação da NE Nº0895/2018, para ajuste orçamentário e em cumprimento ao art. 42 da LRF.
2018NE01601;;28/12/2018;9953,0;Ativo;Anulação da NE Nº01542/2018, para ajuste orçamentário e em cumprimento ao art. 42 da LRF.
2018NE01600;;28/12/2018;2713,88;Ativo;Anulação da NE Nº01246/2018, para ajuste orçamentário e em cumprimento ao art. 42 da LRF.
2018NE01598;;28/12/2018;12780,08;Ativo;Anulação da NE Nº00317/2018, para ajuste orçamentário e em cumprimento ao art. 42 da LRF.
2017NE01395;8/2016;28/11/2017;4976,5;Ativo;Contratação de empresa especializada na prestação de serviço de infraestrutura de TI compreendendo os serviços de Instalação, Hospedagem de servidores e suporte em sistemas de informação para esta ADA
2018NE01244;4/2014;28/09/2018;1984,15;Ativo;Contratação de Empresa Especializada na prestação de Serviços de execução de Sistemas, CFPP - Cadastro de Folha de Pagamento e Licença de Uso de sistemas de Informação para a disponibilização do siste
2018NE01246;8/2016;28/09/2018;4976,5;Ativo;Contratação de empresa especializada na prestação de serviço de infraestrutura de TI compreendendo os serviços de Instalação, Hospedagem de servidores e suporte em sistemas de informação para esta ADA
2020NE00508;9/2019;28/05/2020;18939,59;Ativo;O presente Termo Aditivo tem por objetivo prorrogar o prazo de vigência do contrato original por mais 12 (doze) meses, a contar de 03/06/2020 a 02/06/2021, com base na cláusula oitava do contrato prim
2020NE00535;10/2019;28/05/2020;9184,77;Ativo;O presente Termo Aditivo tem por objetivo prorrogar o prazo de vigência do contrato original por mais 12 (doze) meses, a contar de 03/06/2020 a 02/06/2021, com base na cláusula oitava do contrato prim
2019NE00558;9/2019;28/05/2019;3964,12;Ativo;Contratação de empresa para prestação de serviços de execução de sistemas PRODAM-RH, para manter o cadastro dos servidores e folha de pagamento de pessoal, processar folhas de pagamento e fornecer rel
2019NE00559;10/2019;28/05/2019;1312,11;Ativo;Contratação de empresa para a prestação de serviço de protocolo em plataforma Web (SPROWEB), objetivando o controle e acompanhamento do registro de todos os documentos ou processos do Contratante.
2019NE00271;17/2018;28/03/2019;28157,04;Ativo;Contratação de empresa especializada na prestação de serviços de acesso gerenciado á Rede Mundial, via Rede de Governo.
2018NE00320;4/2014;28/03/2018;9736,75;Ativo;Contratação de Empresa Especializada na prestação de Serviços de execução de Sist, CFPP-Cadastro de Folha de Pagamento e Licença de Uso de sist. de Informação para a disponibilização do sistema de Pro
2023NE0000228;3/2022;28/02/2023;11110,88;Ativo;por força deste contrato a CONTRATADA obriga-se a prestar ao CONTRATANTE os SERVIÇOS ESPECIALIZADOS EM HOSPEDAGEM DO SERVIDOR EM NUVEM, conforme a proposta datada de 24/01/2023, constate do PROCESSO e
2019NE01315;;27/12/2019;11295,56;Ativo;Anulação da NE Nº00715/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01312;;27/12/2019;30,78;Ativo;Anulação da NE Nº00559/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01340;;27/12/2019;4981,62;Ativo;Anulação parcial da NE Nº01061/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01314;;27/12/2019;25,14;Ativo;Anulação da NE Nº00706/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01338;;27/12/2019;2638,82;Ativo;Anulação parcial da NE Nº01036/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01313;;27/12/2019;3149,28;Ativo;Anulação da NE Nº00700/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01316;;27/12/2019;2479,64;Ativo;Anulação da NE Nº01067/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01311;;27/12/2019;1454,12;Ativo;Anulação da NE Nº00558/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01310;;27/12/2019;11190,2;Ativo;Anulação da NE Nº00026/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01339;;27/12/2019;2479,64;Ativo;Anulação parcial da NE Nº01057/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2019NE01309;;27/12/2019;0,05;Ativo;Anulação da NE Nº00017/2019, para ajuste orçamentário, de encerramento do exercício de 2019, conforme o Decreto Nº 41.554, de 26 de Novembro de 2019.
2024NE0000912;;27/05/2024;11537,34;Ativo;ERRO VIGÊNCIA CONTRATO
2024NE0000915;3/2022;27/05/2024;11537,34;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO ESPECIALIZADO EM HOSPEDAGEM DE SERVIÇO EM NUVEM. TC: 0003/2022 AD: 02.
2021NE0000496;10/2019;27/05/2021;3936,33;Ativo;Prorrogar o prazo de vigência do contrato por mais 12 (doze) meses, a contar da data de 03/06/2021 a 02/06/2022, com base na cláusula oitava do contrato primitivo, conforme DIRAF 16/2021
2024NE0000581;4/2024;27/03/2024;2618,42;Ativo;Contratação de empresa de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo WEB para publicação de informações, notícias, vídeos e imagens via Website, de acordo com o padr
2025NE0000294;7/2025;27/02/2025;4000,0;Ativo;Contratação de empresa especializada na prestação de serviço de Tecnologia da Informação, fornecido pela PRODAM RH ( Recursos Humanos).
2024NE0000185;3/2022;27/02/2024;5511,12;Ativo;Por força deste Contrato a CONTRATADA obriga-se a prestar ao CONTRATANTE os SERVIÇOS ESPECIALIZADOS EM HOSPEDAGEM DO SERVIDOR EM NUVEM, conforme a proposta datada de 31 de janeiro de 2022, constantes 
2025NE0001945;3/2022;26/08/2025;12079,9;Ativo;Contratação de empresa especializada na prestação de serviços de hospedagem de serviço em Nuvem. TC: 0003/2022 AD: 03.
2024NE0001107;2/2023;26/06/2024;25161,38;Ativo;SERVIÇOS DE REDE, COMPREENDENDO O ACESSO A REDE DO GOVERNO INCLUINDO O ACESSO GERENCIADO À INTERNET. TC: 0002/2023 AD: 01.
2024NE0001109;3/2022;26/06/2024;11537,34;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO ESPECIALIZADO EM HOSPEDAGEM DE SERVIÇO EM NUVEM. TC: 0003/2022 AD: 02.
2024NE0001108;4/2024;26/06/2024;5236,84;Ativo;Contratação de empresa de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo WEB para publicação de informações, notícias, vídeos e imagens via Website, de acordo com o padr
2023NE0000778;3/2022;26/05/2023;5511,13;Ativo;Por força deste Contrato a CONTRATADA obriga-se a prestar ao CONTRATANTE os SERVIÇOS ESPECIALIZADOS EM HOSPEDAGEM DO SERVIDOR EM NUVEM, conforme a proposta datada de 31 de janeiro de 2022, constantes 
