id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
142521;142521;2/2023;07/2023;12104,72;Emitida;FORTE;113
143319;143319;2/2023;08/2023;12104,72;Emitida;FORTE;113
144086;144086;2/2023;09/2023;12104,72;Emitida;FORTE;113
144917;144917;2/2023;10/2023;12104,72;Emitida;FORTE;113
145536;145536;2/2023;11/2023;12104,72;Emitida;FORTE;113
146295;146295;2/2023;12/2023;12104,72;Emitida;FORTE;113
155740;50930;104/2024;12/2024;4989,04;Emitida;COMPLETA;0
145533;41481;3/2022;11/2023;4280,52;Emitida;COMPLETA;83
146292;42152;3/2022;12/2023;4280,52;Emitida;FORTE;83
146401;42325;9/2019;12/2023;3806,51;Emitida;COMPLETA;116
152745;48068;104/2024;08/2024;3709,91;Emitida;COMPLETA;0
145971;41825;9/2019;11/2023;2834,11;Emitida;COMPLETA;116
155267;50410;104/2024;11/2024;2803,53;Emitida;COMPLETA;0
154299;49569;104/2024;10/2024;2789,19;Emitida;COMPLETA;6
156748;51887;104/2024;01/2025;2758,75;Emitida;COMPLETA;7
151308;46775;104/2024;06/2024;2717,51;Emitida;COMPLETA;5
153553;48837;104/2024;09/2024;2697,49;Emitida;COMPLETA;0
157562;52724;104/2024;02/2025;2497,06;Emitida;COMPLETA;6
139449;36061;3/2022;03/2023;2451,84;Emitida;FORTE;83
151985;47366;104/2024;07/2024;2219,07;Emitida;COMPLETA;0
148455;44469;3/2022;03/2024;1088,04;Emitida;COMPLETA;83
139450;36062;3/2022;03/2023;1039,4;Emitida;COMPLETA;83
145534;41483;3/2022;11/2023;1039,4;Emitida;COMPLETA;83
146293;42154;3/2022;12/2023;1039,4;Emitida;COMPLETA;83
139451;36063;3/2022;03/2023;170,81;Emitida;COMPLETA;83
145535;41482;3/2022;11/2023;170,81;Emitida;COMPLETA;83
146294;42153;3/2022;12/2023;170,81;Emitida;COMPLETA;83
