numero;contrato;data_emissao;valor;situacao;descricao
2024NE0001402;427/2021;31/10/2024;2067,62;Ativo;"Contratação para prestação de serviços de processamento do Sistema CFPP, PRODAM RH; Manter cadastro dos servidores e folha de pagamento pessoal, entre outros, conforme TDR. TC: 0427/2021 AD: 03."
2024NE0001369;425/2021;31/10/2024;182,45;Ativo;Prestação de serviços técnicos especializados em informática, compreendendo a disponibilização de clientes VPN (VIRTUAL PRIVATE NETWORK), para atender à necessidade desta ADS, conforme TDR. TC: 0425/2
2023NE0001481;643/2022;31/10/2023;10473,68;Ativo;Contratação de empresa especializada na prestação de serviços de conteúdo web e licença de uso de sistema de informação, com a disponibilização de Gestor de Conteúdo Web, constante no item 4 deste Ter
2023NE0001480;425/2021;31/10/2023;356,18;Ativo;Prestação de serviços técnicos especializados em informática, compreendendo a disponibilização de clientes VPN (VIRTUAL PRIVATE NETWORK), para atender à necessidade desta ADS, conforme TDR. TC: 425/20
2022NE0001461;643/2022;31/10/2022;2618,42;Ativo;reforço da NE 1182/22
2022NE0001467;427/2021;31/10/2022;1283,8;Ativo;reforço da NE 52
2023NE0001025;643/2022;31/07/2023;2618,42;Ativo;Contratação de empresa especializada na prestação de serviços de conteúdo web e licença de uso de sistema de informação, com a disponibilização de Gestor de Conteúdo Web, constante no item 4 deste Ter
2025NE0001425;427/2021;30/09/2025;2067,62;Ativo;"Contratação para prestação de serviços de processamento do Sistema CFPP, PRODAM RH; Manter cadastro dos servidores e folha de pagamento pessoal, entre outros, conforme TDR. TC: 0427/2021 AD: 03."
2019NE01110;351/2017;30/08/2019;1771,05;Ativo;Prestação de serviço de execução de sistema de protocolo em plataforma WEB (SPROWEB), para o controle de acompanhamento de registro de todos os documentos ou processos da ADS.
2025NE0000775;427/2021;30/05/2025;8270,48;Ativo;"Contratação para prestação de serviços de processamento do Sistema CFPP, PRODAM RH; Manter cadastro dos servidores e folha de pagamento pessoal, entre outros, conforme TDR. TC: 0427/2021 AD: 03."
2025NE0000774;425/2021;30/05/2025;729,8;Ativo;Prestação de serviços técnicos especializados em informática, compreendendo a disponibilização de clientes VPN (VIRTUAL PRIVATE NETWORK), para atender à necessidade desta ADS, conforme TDR. TC: 0425/2
2025NE0000773;643/2022;30/05/2025;10860,16;Ativo;Contratação de empresa especializada na prestação de serviços de conteúdo web e licença de uso de sistema de informação, com a disponibilização de Gestor de Conteúdo Web, constante no item 4 deste Ter
2022NE0000677;;30/05/2022;2197,79;Ativo;Anulação orçamentária de saldo não utilizado dentro da vigência. (vencido em 08/02/2022).
2015NE00257;102/2012;30/03/2015;0,04;Ativo;REFERENTE ANULAÇÃO DO SALDO DA NOTA DE EMPENHO Nº 2015NE00034, EM VIRTUDE DA ALTERAÇÃO DA UNIDADE GESTORA.
2015NE00253;274/2010;30/03/2015;587,61;Ativo;REFERENTE ANULAÇÃO DO SALDO DA NOTA DE EMPENHO Nº 2015NE00038, EM VIRTUDE DA ALTERAÇÃO DA UNIDADE GESTORA.
2015NE00254;428/2013;30/03/2015;1348,53;Ativo;REFERENTE ANULAÇÃO DO SALDO DA NOTA DE EMPENHO Nº 2015NE00053, EM VIRTUDE DA ALTERAÇÃO DA UNIDADE GESTORA.
2015NE00021;274/2010;29/04/2015;3943,41;Ativo;4º (QUARTO) TERMO ADITIVO AO CONTRATO Nº 274/2010. OBJETO: PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA CFPP, CADASTRO E FOLHA DE PAGAMENTO DE PESSOAL. OBJETIVO: PRORROGAR POR MAIS 12 (DOZE) MESE
2015NE00015;428/2013;29/04/2015;2525,44;Ativo;1º (PRIMEIRO) TERMO ADITIVO AO CONTRATO Nº 428/2013. OBJETO: PRESTAÇÃO DE SERVIÇOS DE SISTEMA DE CONTABILIDADE GERENCIAL (CTBG). OBJETIVO: PRORROGAR POR MAIS DOZE MESES, COM READEQUAÇÃO FINANCEIRA.
2018NE00025;3/2017;29/01/2018;16228,19;Ativo;PRESTAÇÃO DE SERVIÇOS DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A DISPONIBILIZAÇÃO DE GESTOR DE CONTEÚDO WEB, PARA PUBLICAÇÃO DE INFORMAÇÕES, NOTÍCIAS, VÍDEOS E IMAGENS VIA WEBSITE.
2018NE00024;2/2018;29/01/2018;12862,8;Ativo;PRESTAÇÃO DE SERVIÇOS DE ACESSO GERENCIADO À REDE MUNDIAL, VIA REDE DE GOVERNO, ESTABELECENDO COMUNICAÇÃO A PARTIR DE CIRCUITO DE DADOS.
