numero;contrato;data_emissao;valor;situacao;descricao
2020NE01270;;31/12/2020;680,32;Ativo;CANCELAMENTO DE SALDO DE EMPENHO QUE NÃO SE CONSTITUIRÃO EM RESTOS A PAGAR, CONFORME CALENDÁRIO DE ENCERRAMENTO DO EXERCÍCIO 2020
2020NE01269;;31/12/2020;388052,72;Ativo;CANCELAMENTO DE SALDO DE EMPENHO QUE NÃO SE CONSTITUIRÃO EM RESTOS A PAGAR, CONFORME CALENDÁRIO DE ENCERRAMENTO DO EXERCÍCIO 2020
2020NE01268;;31/12/2020;101856,0;Ativo;CANCELAMENTO DE SALDO DE EMPENHO QUE NÃO SE CONSTITUIRÃO EM RESTOS A PAGAR, CONFORME CALENDÁRIO DE ENCERRAMENTO DO EXERCÍCIO 2020
2023NE0001320;12/2020;31/10/2023;34186,72;Ativo;CONTRATAÇÃO DA PRODAM PARA PREST DE SERV DE ACESSO A INTERNET, CONF. ESPECIFICAÇÕES CONSTANTES DO PROJETO BÁSICO, PROPOSTA TÉCNICA E DE PREÇOS E PORTARIA DE DISPENSA DE LICITAÇÃO. PARECER JURÍDICO N° 
2021NE0000273;2/2018;31/03/2021;332478,0;Ativo;CONTRATAÇÃO DE EMP. ESP. NA PREST. SERV. DESENVOLVIMENTO EVOLUTIVO DE SISTEMAS DE INFORMAÇÃO, COMPREENDENDO A ANÁLISE E DESENVOLVIMENTO DE FUNCIONALIDADES E RELATÓRIOS NOS SISTEMAS CFPP/PRODAM, RH E R
2020NE00317;2/2018;31/03/2020;318744,0;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE DESENVOLVIMENTO EVOLUTIVO DE SISTEMAS DE INFORMAÇÃO, COMPREENDENDO A ANÁLISE E DESENVOLVIMENTO DE FUNCIONALIDADES E RELATÓRIOS NOS SIST
2024NE0001798;12/2020;30/10/2024;17093,36;Ativo;CONTRATAÇÃO DA PRODAM PARA PREST DE SERV DE ACESSO A INTERNET, CONF. ESPECIFICAÇÕES CONSTANTES DO PROJETO BÁSICO, PROPOSTA TÉCNICA E DE PREÇOS E PORTARIA DE DISPENSA DE LICITAÇÃO. PARECER JURÍDICO N° 
2024NE0001799;13/2020;30/10/2024;3645,46;Ativo;CONT. PRODAM P/ PREST. DE SERV. LICENÇA DE USO DE SIST DE INF, COMP A DISP. GESTOR DE CONT. WEB P/ PUB DE INF INTERNAS (INTRANET), CONF. ESPECIFICAÇÕES CONSTANTES DO PB, PT E PP. PARECER JURÍDICO N° 4
2024NE0001797;1/2023;30/10/2024;106183,36;Ativo;PREST. SERV. EXECUÇÃO DE SIST. INF, CAD E FOLHA DE PAGTO DE PESSOAL DOS SERV ATIVOS DA AMAZONPREV, INCLUINDO SERV SUP TÉC EM SIST DE INF CONF. ESP CONST NO PB, PP E PORTARIA. PARECER JURÍDICO N° 4491/
2024NE0001796;3/2024;30/10/2024;8269,24;Ativo;CONTRATAÇÃO PARA PRESTAR OS SERVIÇOS DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A UTILIZAÇÃO DO GESTOR DE CONTEÚDO WEB – GERWEB, PARA A FUNDAÇÃO AMAZONPREV.
2023NE0001297;;30/10/2023;9013,0;Ativo;Anulação parcial de Saldo da Nota de Empenho nº 2023NE0000405, para celebração do 3º Termo Aditivo ao Contrato nº 012/2020, supressão de valor atendendo ao Decreto nº 47.925, de 16/08/2023.
2017NE01007;;29/12/2017;18986,95;Ativo;ANULAÇÃO DA NOTA DE EMPENHO 2017NE00059, EM VIRTUDE DE EXISTIR NOVO ADITIVO VIGENTE.
2017NE01011;;29/12/2017;9285,36;Ativo;ANULAÇÃO DA NOTA DE EMPENHO 2017NE00174, EM VIRTUDE DE EXISTIR NOVO ADITIVO VIGENTE.
2017NE01014;;29/12/2017;27828,43;Ativo;ANULAÇÃO DA NOTA DE EMPENHO 2017NE00422, EM VIRTUDE DO VALOR NÃO TER SIDO UTILIZADO.
2017NE01015;;29/12/2017;10611,84;Ativo;ANULAÇÃO DA NOTA DE EMPENHO 2017NE00423, EM VIRTUDE DE SOBRA DE VALOR NÃO UTILIZADO.
2017NE00661;14/2014;29/08/2017;492691,56;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE GESTÃO E PROCESSAMENTO DA FOLHA DE PAGAMENTO E ROTINAS DO RPPS.
2017NE00658;14/2014;29/08/2017;492691,56;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE GESTÃO E PROCESSAMENTO DA FOLHA DE PAGAMENTO E ROTINAS DO RPPS.
2017NE00660;;29/08/2017;492691,56;Ativo;ANULAÇÃO DO EMPENHO 2017NE00658 EM VIRTUDE DA VIGÊNCIA ESTÁ INCORRETA.
2023NE0001657;;28/12/2023;3,0;Ativo;Anulação de saldo da Nota de Empenho 2023NE0000015, em decorrência do Encerramento do Exercício de 2023.
2021NE0000833;10/2019;28/09/2021;763045,36;Ativo;CONTRATAÇÃO DA PRODAM PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE INFORMAÇÃO COMPREENDENDO A GESTÃO E PROCESSAMENTO DA FOLHA DE PAGAMENTO E ROTINAS DO RPPS, DE ACORDO COM O PROJETO BÁSICO E P
2025NE0001485;12/2020;28/07/2025;35636,68;Ativo;CONTRATAÇÃO DA PRODAM PARA PREST DE SERV DE ACESSO A INTERNET, CONF. ESPECIFICAÇÕES CONSTANTES DO PROJETO BÁSICO, PROPOSTA TÉCNICA E DE PREÇOS E PORTARIA DE DISPENSA DE LICITAÇÃO. PARECER JURÍDICO N° 
2025NE0001486;1/2023;28/07/2025;111237,68;Ativo;PREST. SERV. EXECUÇÃO DE SIST. INF, CAD E FOLHA DE PAGTO DE PESSOAL DOS SERV ATIVOS DA AMAZONPREV, INCLUINDO SERV SUP TÉC EM SIST DE INF CONF. ESP CONST NO PB, PP E PORTARIA. PARECER JURÍDICO N° 4491/
2025NE0001487;13/2020;28/07/2025;1146,86;Ativo;PRESTAÇÃO DE SERVIÇOS DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A DISPONIBILIZAÇÃO DE GESTOR DE CONTEÚDO WEB PARA PUBLICAÇÃO DE INFORMAÇÕES INTERNAS (INTRANET). TC: 0013/2020 AD: 04.
2022NE0001485;;27/12/2022;1167,84;Ativo;ANULAÇÃO DE SOBRA DA NOTA DE EMPENHO 2022NE0000076, VISTO QUE O VALOR NÃO SE CONSTITUIRÁ EM RESTOS A PAGAR, CONFORME DECRETO 46621 DE 11/11/22.
2022NE0001489;;27/12/2022;110826,0;Ativo;ANULAÇÃO DE SOBRA DA NOTA DE EMPENHO 2022NE0000083, VISTO QUE O VALOR NÃO SE CONSTITUIRÁ EM RESTOS A PAGAR, CONFORME DECRETO 46621 DE 11/11/22.
2016NE00923;;27/12/2016;15461,47;Ativo;ANULAÇÃO DE SOBRA DE EMPENHO EM ATENDIMENTO A INSTRUÇÃO NORMATIVA 001/16 - SET/SEFAZ DE 14/12/16, PUBLICADA NO DOE DE 14/12/16.
2016NE00927;;27/12/2016;171149,27;Ativo;ANULAÇÃO DE SOBRA DE EMPENHO EM ATENDIMENTO A INSTRUÇÃO NORMATIVA 001/16 - SET/SEFAZ DE 14/12/16, PUBLICADA NO DOE DE 14/12/16.
2016NE00933;;27/12/2016;26204,0;Ativo;ANULAÇÃO DE SOBRA DE EMPENHO EM ATENDIMENTO A INSTRUÇÃO NORMATIVA 001/16 - SET/SEFAZ DE 14/12/16, PUBLICADA NO DOE DE 14/12/16.
2016NE00935;;27/12/2016;10611,84;Ativo;ANULAÇÃO DE SOBRA DE EMPENHO EM ATENDIMENTO A INSTRUÇÃO NORMATIVA 001/16 - SET/SEFAZ DE 14/12/16, PUBLICADA NO DOE DE 14/12/16.
2023NE0000405;12/2020;27/04/2023;172720,68;Ativo;CONTRATAÇÃO DA PRODAM PARA PREST DE SERV DE ACESSO A INTERNET, CONFORME ESPECIFICAÇÕES CONSTANTES DO PROJETO BÁSICO, PROPOSTA TÉCNICA E DE PREÇOS E PORTARIA DE DISPENSA DE LICITAÇÃO. PARECER JURÍDICO 
2015NE00389;11/2014;26/05/2015;23733,7;Ativo;ANULAÇÃO DO EMPENHO 2015NE00015 EM VIRTUDE DA SUPRESSÃO NO PERCENTUAL DE 20% DO VALOR INICIAL CONTRATADO, EM VIRTUDE DO DECRETO ESTADUAL N°35.616/15 E NOS TERMOS DOS ARTIGOS 57, II, E 65, II, §§ 1° E 
2023NE0000379;1/2023;25/04/2023;424733,44;Ativo;PREST. SERV. EXECUÇÃO DE SIST. INF, CAD E FOLHA DE PAGTO DE PESSOAL DOS SERV ATIVOS DA AMAZONPREV, INCLUINDO SERV SUP TÉC EM SIST DE INF CONF. ESP CONST NO PB, PP E PORTARIA. PARECER JURÍDICO N° 417/2
2023NE0000371;13/2020;25/04/2023;16404,57;Ativo;CONT. PRODAM P/ PREST. DE SERV. LICENÇA DE USO DE SIST DE INF, COMP A DISP. GESTOR DE CONT. WEB P/ PUB DE INF INTERNAS (INTRANET), CONF. ESPECIFICAÇÕES CONSTANTES DO PB, PT E PP. PARECER JURÍDICO N° 2
2018NE00645;14/2014;24/08/2018;372029,36;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A GESTÃO E PROCESSAMENTO DA FOLHA DE PAGAMENTO E ROTINAS DO RPPS, CONFORME PROJETO BÁS
2014NE00652;13/2014;22/07/2014;82532,1;Ativo;Contrato No. 13/2014
2024NE0001886;12/2020;21/11/2024;17818,34;Ativo;CONTRATAÇÃO DA PRODAM PARA PREST DE SERV DE ACESSO A INTERNET, CONF. ESPECIFICAÇÕES CONSTANTES DO PROJETO BÁSICO, PROPOSTA TÉCNICA E DE PREÇOS E PORTARIA DE DISPENSA DE LICITAÇÃO. PARECER JURÍDICO N° 
2024NE0001888;13/2020;21/11/2024;1822,73;Ativo;CONT. PRODAM P/ PREST. DE SERV. LICENÇA DE USO DE SIST DE INF, COMP A DISP. GESTOR DE CONT. WEB P/ PUB DE INF INTERNAS (INTRANET), CONF. ESPECIFICAÇÕES CONSTANTES DO PB, PT E PP. PARECER JURÍDICO N° 4
2024NE0001887;1/2023;21/11/2024;53091,68;Ativo;PREST. SERV. EXECUÇÃO DE SIST. INF, CAD E FOLHA DE PAGTO DE PESSOAL DOS SERV ATIVOS DA AMAZONPREV, INCLUINDO SERV SUP TÉC EM SIST DE INF CONF. ESP CONST NO PB, PP E PORTARIA. PARECER JURÍDICO N° 4491/
2024NE0001889;3/2024;21/11/2024;4134,62;Ativo;CONTRATAÇÃO PARA PRESTAR OS SERVIÇOS DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A UTILIZAÇÃO DO GESTOR DE CONTEÚDO WEB – GERWEB, PARA A FUNDAÇÃO AMAZONPREV.
2021NE0001030;18/2018;19/11/2021;1167,84;Ativo;CONTRATAÇÃO DA PRODAM PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB), CONFORME ESPECIFICAÇÕES CONSTANTES NO PROJETO BÁSICO, PROPOSTA TÉCNICA E DE PREÇOS E P
2021NE0001029;12/2020;19/11/2021;42411,9;Ativo;PRESTAÇÃO DE SERVIÇOS DE ACESSO A INTERNET, CONFORME ESPECIFICAÇÕES CONSTANTES DO PROJETO BÁSICO, PROPOSTA TÉCNICA E DE PREÇOS E PORTARIA DE DISPENSA DE LICITAÇÃO
