id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
140091;36583;1/2016;03/2023;10192,0;Emitida;COMPLETA;171
138743;35267;1/2016;01/2023;9875,84;Emitida;COMPLETA;171
143094;39309;1/2016;07/2023;9409,92;Emitida;COMPLETA;171
141578;37942;1/2016;05/2023;9380,8;Emitida;COMPLETA;171
143867;39992;1/2016;08/2023;9376,64;Emitida;COMPLETA;171
138022;34573;1/2016;12/2022;8632,0;Parcialmente Paga;COMPLETA;171
142347;38635;1/2016;06/2023;8315,84;Emitida;COMPLETA;171
145346;41296;1/2016;10/2023;7770,88;Emitida;FORTE;171
140799;37218;1/2016;04/2023;7675,2;Emitida;COMPLETA;171
139423;35924;1/2016;02/2023;7517,12;Emitida;COMPLETA;171
146081;41957;1/2016;11/2023;7309,12;Emitida;COMPLETA;171
144609;40661;1/2016;09/2023;6830,72;Emitida;COMPLETA;171
