Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
ARSEPAM;Execução de sistemas;012/2018;138774;02/2023;1.268,16;1121 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;003/2017;139236;02/2023;946,00;1112 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;012/2018;139472;03/2023;1.268,16;1093 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;003/2017;139980;03/2023;1.236,40;1080 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;012/2018;140151;04/2023;1.268,16;1060 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;003/2017;140410;04/2023;1.229,47;1058 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;012/2018;140891;05/2023;1.268,16;1032 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;003/2017;141350;05/2023;1.789,07;1024 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;012/2018;141633;06/2023;1.268,16;995 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;003/2017;142171;06/2023;1.350,99;989 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;012/2018;142370;07/2023;1.268,16;969 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;003/2017;142918;07/2023;950,62;961 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;012/2018;143168;08/2023;1.268,16;940 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Licença de uso de sistemas de informação;004/2021;143169;08/2023;2.215,57;940 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Execução de sistemas;003/2017;143741;08/2023;949,85;926 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Licença de uso de sistemas de informação;004/2021;143919;09/2023;2.215,57;904 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Licença de uso de sistemas de informação;004/2021;144673;10/2023;2.215,57;869 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Licença de uso de sistemas de informação;004/2021;145392;11/2023;2.215,57;847 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Licença de uso de sistemas de informação;004/2021;146151;12/2023;2.215,57;815 dias;0,00;Suspenso;TramitarReverter Status
ARSEPAM;Licença de uso de sistemas de informação;004/2021;166113;01/2026;2.402,56;42 dias;0,00;Suspenso;TramitarReverter Status
