numero;contrato;data_emissao;valor;situacao;descricao
2020NE00406;;31/12/2020;7,34;Ativo;ANULAÇÃO DO SALDO DA 2020NE0011, EM ATENÇÃO AO DECRETO Nº 43.042 DE 18/11/2020 REFERENTE AO ENCERRAMENTO DA EXECUÇÃO ORÇAMENTÁRIA, FINANCEIRA E CONTÁBIL DO EXERCÍCIO DE 2020.
2020NE00407;;31/12/2020;8,16;Ativo;ANULAÇÃO DO SALDO DA 2020NE0033, EM ATENÇÃO AO DECRETO Nº 43.042 DE 18/11/2020 REFERENTE AO ENCERRAMENTO DA EXECUÇÃO ORÇAMENTÁRIA, FINANCEIRA E CONTÁBIL DO EXERCÍCIO DE 2020.
2022NE0000203;4/2021;31/05/2022;4350,22;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação - GERWEB - Gestor de Conteúdo Web.
2020NE00100;12/2018;31/03/2020;11693,25;Ativo;Contratação de Prestação de Serviços de Sistema de Protocolo em Plataforma Web - SPROWEB.
2020NE00099;3/2017;31/03/2020;6120,8;Ativo;Contratação para prestação de serviços de execução do Sistema de Cadastro e Folha de Pagamento de Pessoal - PRODAM-RH.
2020NE00095;1/2018;31/03/2020;67499,1;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE ACESSO A REDE MUNDIAL DE COMPUTADORES (INTERNET) - Contrato nº. 001/2018 (2º Termo Aditivo)
2020NE00352;;30/11/2020;1105,59;Ativo;Anulação do Saldo da Nota de Empenho nº. 2020NE00099 Motivo: Tendo em vista que as faturas/notas fiscais referente a prestação de serviços de execução do sistema PRODAM RH, foram emitidas, atestadas e
2020NE00351;;30/11/2020;84,81;Ativo;Anulação do Saldo da Nota de Empenho nº. 2020NE00030 Motivo: Tendo em vista que as faturas/notas fiscais referente a prestação de serviços de execução do sistema PRODAM RH, foram emitidas, atestadas e
2015NE00090;12/2012;30/03/2015;6285,28;Ativo;01- ANULAÇÃO TOTAL DA NE Nº 010 MOTIVO EXTINÇÃO DA UG 025201, DATA DE 30/03/2015, SENDO SUBSTITUIDA PELA 11209 CONFORME LEI COMPLEMENTAR Nº 152 DE 09/03/2015.
2015NE00089;6/2014;30/03/2015;67080,0;Ativo;01- ANULAÇÃO TOTAL DA NE Nº 006 MOTIVO EXTINÇÃO DA UG 025201, DATA DE 30/03/2015, SENDO SUBSTITUIDA PELA 11209 CONFORME LEI COMPLEMENTAR Nº 152 DE 09/03/2015.
2017NE00426;;29/12/2017;1477,66;Ativo;ANULAÇÃO TOTAL DA NE Nº 383 MOTIVO TÉRMINO DO EXERCÍCIO FINANCEIRO.
2017NE00425;;29/12/2017;1794,1;Ativo;ANULAÇÃO TOTAL DA NE Nº 383 MOTIVO TÉRMINO DO EXERCÍCIO FINANCEIRO.
2016NE00425;;29/12/2016;355,11;Ativo;ANULAÇÃO DE SALDO DE EMPENHO - ENCERRAMENTO DE EXERCÍCIO FINANCEIRO 2016
2016NE00423;;29/12/2016;1427,23;Ativo;ANULAÇÃO DE SALDO DE EMPENHO - ENCERRAMENTO DE EXERCÍCIO FINANCEIRO 2016
2016NE00424;;29/12/2016;869,85;Ativo;ANULAÇÃO DE SALDO DE EMPENHO - ENCERRAMENTO DE EXERCÍCIO FINANCEIRO 2016
2022NE0000412;12/2018;29/09/2022;2335,68;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB). REF. MESES DE SETEMBRO E OUTUBRO - CONTRATO N. 012/2018 (3º TA).
2022NE0000406;4/2021;29/09/2022;4350,22;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação - GERWEB - Gestor de Conteúdo Web.
2018NE00355;3/2017;29/08/2018;4548,68;Ativo;Contratação para prestação de serviço de execução de sistema PRODAM-RH, conforme projeto básico.
2016NE00264;12/2012;29/08/2016;3393,68;Ativo;02-CONTRATO Nº 012/2012-5º TERMO. 03-VALOR MENSAL R$ 848,42 04-VALOR GLOBAL PARA 12 (DOZE), MESES R$10.181,08 05-EMPENHADO NESTA NE DE SETEMBRO A DEZEMBRO DE 2016. 06-FICANDO O RESTANTE PARA O EXERCÍC
2019NE00164;3/2017;29/04/2019;5685,85;Ativo;Empenho complementar para suprir a despesa Referente a Prestação de Serviço de folha de pagamento pessoal - PRODAM - RH
2019NE00165;1/2018;29/04/2019;65292,12;Ativo;CONTRATAÇÃO de Serviços de Acesso a Internet - conexão dedicada a rede mundial de computadores, conforme as especificações descritas no Projeto Básico.
2019NE00166;12/2018;29/04/2019;11589,31;Ativo;Contratação de Prestação de Serviços de PROTOCOLO em Sistema de Plataforma SPROWEB.
2023NE0000438;;28/12/2023;1,35;Ativo;ANULAÇÃO DO SALDO DA NOTA DE EMPENHO Nº. 2023NE000361. EM CUMPRIMENTO AO ESTABELECIDO NO DECRETO Nº. 48.363 DE 27 DE OUTUBRO DE 2023.
2023NE0000434;;28/12/2023;735,0;Ativo;ANULAÇÃO DO SALDO DA NOTA DE EMPENHO Nº. 2023NE0009. EM CUMPRIMENTO AO ESTABELECIDO NO DECRETO Nº. 48.363 DE 27 DE OUTUBRO DE 2023.
2022NE0000622;;28/12/2022;706,89;Ativo;"ANULAÇÃO DA NOTA DE EMPENHO Nº 2022NE00000517 5º ADITIVO AO CONTRATO Nº 003/2017 - ARSEPAM; OBJETO: CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS REFERENTE A EXECUÇÃO DE SISTEMA DE CADASTRO DE FOLHA DE PAGAMEN"
2022NE0000608;;28/12/2022;734,5;Ativo;"ANULAÇÃO DA NOTA DE EMPENHO Nº 2022NE0000130 5º TERMO ADITIVO AO CONTRATO Nº 001/2018 - ARSEPAM; OBJETO: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE ACESSO À INTERNET BANDA LARG"
2022NE0000611;;28/12/2022;38,94;Ativo;"ANULAÇÃO DA NOTA DE EMPENHO Nº 2022NE00000470 3º ADITIVO AO CONTRATO Nº 012/2018 - ARSEPAM; OBJETO: CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE PROTOCOLO EM PLATAFORMA "
2022NE0000621;;28/12/2022;2529,01;Ativo;"ANULAÇÃO DA NOTA DE EMPENHO Nº 2022NE00000517 5º ADITIVO AO CONTRATO Nº 01/2018 - ARSEPAM; OBJETO: CONTRATAÇÃO PARA PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS (INTERNET);"
2018NE00478;;28/12/2018;219,73;Ativo;ANULAÇÃO DO SALDO DA NE Nº 00018, DE ACORDO COM INSTRUÇÃO NORMATIVA Nº 01/2018/SET/SEFAZ, DE 30 DE NOVEMBRO DE 2018. MOTIVO: ENCERRAMENTO DE EXERCÍCIO DE 2018.
2018NE00494;;28/12/2018;1950,18;Ativo;CANCELAMENTO PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 ( LEI DE RESPONSABILIDADE FISCAL).
2018NE00503;;28/12/2018;2737,83;Ativo;CANCELAMENTO PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 ( LEI DE RESPONSABILIDADE FISCAL).
2018NE00508;;28/12/2018;5844,7;Ativo;CANCELAMENTO PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 ( LEI DE RESPONSABILIDADE FISCAL).
2017NE00418;;28/12/2017;3577,81;Ativo;ANULAÇÃO TOTAL DA NE Nº 356, MOTIVO ENCERRAMENTO DO EXERCÍCIO DE 2017.
2017NE00356;6/2014;28/11/2017;3577,81;Ativo;CONTRATAÇÃO PRESTAÇÃO DE SERVIÇO DE ACESSO A INTERNET
2022NE0000037;;28/01/2022;1895,19;Ativo;Anulação da nota de empenho 2022NE0000036 Motivo: Erro formal de processamento.
2022NE0000036;4/2021;28/01/2022;1895,19;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação - GERWEB - Gestor de Conteúdo Web.
2024NE0000687;;27/12/2024;2169,1;Ativo;"Anulação de saldo da Nota de Empenho 2024NE0000088; Motivo: Considerando autorização Diretor Administrativo e Financeiro, fl. 8 do Memorando nº 009/2024-DEFIN/ARSEPAM e encerramento do exercício finan"
2024NE0000688;;27/12/2024;4341,74;Ativo;"Anulação de saldo da Nota de Empenho 2024NE0000239; Motivo: Considerando autorização Diretor Administrativo e Financeiro, fl. 8 do Memorando nº 009/2024-DEFIN/ARSEPAM e encerramento do exercício finan"
2024NE0000686;;27/12/2024;2614,39;Ativo;"Anulação de saldo da Nota de Empenho 2024NE0000005; Motivo: Considerando autorização Diretor Administrativo e Financeiro, fl. 8 do Memorando nº 009/2024-DEFIN/ARSEPAM e encerramento do exercício finan"
2020NE00321;12/2018;27/10/2020;2669,02;Ativo;Contratação de Prestação de Serviços de protocolo em sistema de plataforma web - SPROWEB.
2025NE0000416;11/2023;27/08/2025;2589,14;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2025NE0000075;4/2021;27/02/2025;2215,57;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2025NE0000074;11/2023;27/02/2025;2458,35;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2019NE00346;3/2017;26/08/2019;3672,48;Ativo;Contratação para prestação de serviços de execução do Sistema de Cadastro e Folha de Pagamento de Pessoal - PRODAM-RH.
2025NE0000292;11/2023;26/06/2025;2458,35;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2021NE0000061;12/2018;26/02/2021;14367,28;Ativo;Contratação de Prestação de Serviços de protocolo em sistema de plataforma web - SPROWEB.
2021NE0000059;3/2017;26/02/2021;7344,96;Ativo;Contratação de empresa para prestação de serviços de execução do Sistema de Cadastro e Folha de Pagamento de Pessoal - PRODAM-RH.
2021NE0000060;1/2018;26/02/2021;40519,8;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE ACESSO A REDE MUNDIAL DE COMPUTADORES (INTERNET)
2022NE0000556;12/2018;25/11/2022;1268,16;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB). Contrato Nº 012/2018 (4º TA).
2022NE0000553;;25/11/2022;62,04;Ativo;Anulação parcial da Nota de empenho - NE nº. 2022NE000517 Motivo: Encerramento do Exercício
2025NE0000343;11/2023;25/07/2025;2458,35;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2025NE0000342;4/2021;25/07/2025;2402,56;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2025NE0000561;;24/11/2025;6,24;Ativo;Anulação do saldo da nota de empenho nº. 0203/2025 Em atenção as normas e procedimentos do Decreto nº. 52.770 de 21/10/2025 - Encerramento da execução orçamentária, financeira, patrimonial e contábil 
2025NE0000555;;24/11/2025;9651,71;Ativo;Anulação do saldo da nota de empenho nº. 0006/2025 Contrato nº. 006/2024 (1ºTA) Em atenção as normas e procedimentos do Decreto nº. 52.770 de 21/10/2025 - Encerramento da execução orçamentária, financ
2022NE0000548;4/2021;24/11/2022;2175,11;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação - GERWEB - Gestor de Conteúdo Web. Contrato Nº 004/2021 (1º TA).
2022NE0000541;3/2017;24/11/2022;1789,07;Ativo;"Contratação de Empresa especializada na prestação de serviços de execução de Sistema de Recursos Humanos e Cadastro de Folha de Pagamento de Pessoal - PRODAM-RH; CT 003/2017 (5º TA)."
2025NE0000147;11/2023;24/04/2025;2458,35;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2025NE0000148;4/2021;24/04/2025;2215,57;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2024NE0000426;11/2023;23/08/2024;2458,41;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2017NE00268;3/2017;23/08/2017;4362,4;Ativo;Prestação de Serviço de Processamento de Dados referente ao sistema PRODAM/ RH. CONTRATO Nº 003/2017. VALOR GLOBAL PARA 12 (DOZE), MESES É DE R$13.087,20 A CONTAR DE 01.09.2017 A 31.08.2018.
2025NE0000207;11/2023;23/05/2025;2458,35;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2025NE0000204;4/2021;22/05/2025;2215,57;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2022NE0000089;12/2012;22/02/2022;2335,68;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB). Referente os meses de janeiro e fevereiro
2022NE0000088;;21/02/2022;2335,68;Ativo;Anulação da NE nº 2022NE000086 Motivo: Erro formal de preenchimento.
2022NE0000319;;19/08/2022;522,11;Ativo;Anulação do Saldo da nota de empenho nº. 2022NE000052. Contrato nº. 001/2018 (5º TA) - ARSEPAM, referente a Contratação de prestação de serviço de fornecimento de circuito de transmissão de dados (INT
2022NE0000321;4/2021;19/08/2022;2175,11;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação - GERWEB - Gestor de Conteúdo Web.
2022NE0000320;;19/08/2022;1895,19;Ativo;Anulação do Saldo da nota de empenho nº. 2022NE000139. Contrato nº. 004/2021-ARSEPAM. Objeto: Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação -
2025NE0000203;4/2021;19/05/2025;2402,56;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2025NE0000436;4/2021;18/09/2025;2402,56;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2025NE0000375;4/2021;18/08/2025;2402,56;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2025NE0000376;11/2023;18/08/2025;2458,35;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2022NE0000086;12/2018;18/02/2022;2335,68;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB). Referente os meses de janeiro e fevereiro
2014NE00445;;17/12/2014;7800,0;Ativo;Serviços de Acesso a Internet de 4 Mbps
2022NE0000517;1/2018;17/11/2022;20014,47;Ativo;Contratação para prestação de serviço de fornecimento de circuito de transmissão de dados (INTERNET) -5º TA CT 001/2018. Obs. Valores destinado a cobrir despesas dos meses de maio, junho e julho de 20
2022NE0000516;12/2018;17/11/2022;718,62;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB).- CELEBRAR 4 TERMO ADITIVO AO CONTRATO Nº.012/2018
2021NE0000368;12/2018;17/11/2021;1790,68;Ativo;Prorrogação por 12meses da vigência do Contrato e SUPRESSÃO de 31,4499% ref. a Prestação de Serviços de Execução de Sistema de Protocolo Virtual - SPROWEB - PRODAM.
2021NE0000370;3/2017;17/11/2021;1137,17;Ativo;Execução do Sistema de Recursos Humanos e Folha de Pagamento do Servidor, no mês de Dezembro de 2018.
2025NE0000481;;17/10/2025;2589,14;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE EXECUÇÃO DO SISTEMA PRODAM-RH PARA O CONTROLE DE CADASTRO DE PESSOAL, PROCESSAMENTO DE FOLHA DE PAGAMENTO E TRANSMISSÃO DE DADOS PARA O E-SOCIAL PARA ATENDER AS NECESSIDADE
2025NE0000482;4/2021;17/10/2025;2402,56;Ativo;Contratação de Empresa Especializada na prestação de serviços de Licença de uso de sistema de informação Gestor de Conteúdo Web para atender as necessidades da Agência Reguladora de Serviços Públicos 
2019NE00388;12/2018;17/10/2019;2442,59;Ativo;Contratação de Prestação de Serviços de Sistema de Protocolo em Plataforma Web - SPROWEB.
2022NE0000055;3/2017;17/02/2022;1616,14;Ativo;Prorrogação por 12meses da vigência do Contrato e reajuste em 32,02% ref. a Prestação de Serviços de Execução de Sistema de Cadastro de Folha de Pagamento de Pessoal - PRODAM RH. Referente o mês de fe
2022NE0000052;1/2018;17/02/2022;13130,59;Ativo;Contratação para prestação de serviço de fornecimento de circuito de transmissão de dados (INTERNET). CT 01-2018(5ºTA). referente os meses de janeiro e fevereiro de 2022.
