id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
166113;510;4/2021;01/2026;2402,56;Emitida;COMPLETA;85
143169;39387;4/2021;08/2023;2215,57;Emitida;FORTE;85
143919;40248;4/2021;09/2023;2215,57;Emitida;COMPLETA;85
144673;41055;4/2021;10/2023;2215,57;Emitida;COMPLETA;85
145392;41449;4/2021;11/2023;2215,57;Emitida;COMPLETA;85
146151;42198;4/2021;12/2023;2215,57;Emitida;COMPLETA;85
141350;37743;3/2017;05/2023;1789,07;Emitida;COMPLETA;238
142171;38450;3/2017;06/2023;1350,99;Emitida;COMPLETA;238
138774;35449;12/2018;02/2023;1268,16;Emitida;COMPLETA;128
139472;35967;12/2018;03/2023;1268,16;Emitida;COMPLETA;128
140151;36639;12/2018;04/2023;1268,16;Emitida;COMPLETA;128
140891;37333;12/2018;05/2023;1268,16;Emitida;COMPLETA;128
141633;38349;12/2018;06/2023;1268,16;Emitida;COMPLETA;128
142370;38693;12/2018;07/2023;1268,16;Emitida;COMPLETA;128
143168;39386;12/2018;08/2023;1268,16;Emitida;COMPLETA;128
139980;36469;3/2017;03/2023;1236,4;Emitida;COMPLETA;238
140410;36846;3/2017;04/2023;1229,47;Emitida;COMPLETA;238
142918;39130;3/2017;07/2023;950,62;Emitida;COMPLETA;238
143741;39868;3/2017;08/2023;949,85;Emitida;FORTE;238
139236;35748;3/2017;02/2023;946,0;Emitida;COMPLETA;238
