id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
163140;58131;8/2023;09/2025;7408,0;Emitida;COMPLETA;24
163955;58902;8/2023;10/2025;7198,0;Emitida;FORTE;24
164837;59787;8/2023;11/2025;7076,0;Emitida;COMPLETA;24
165491;60397;8/2023;12/2025;6930,0;Emitida;COMPLETA;24
166396;697;8/2023;01/2026;6834,0;Emitida;COMPLETA;24
163156;58141;66/2024;09/2025;2764,0;Emitida;COMPLETA;0
163827;58794;66/2024;10/2025;2690,0;Emitida;COMPLETA;0
164838;59786;66/2024;11/2025;2628,0;Emitida;COMPLETA;0
165563;60396;66/2024;12/2025;2548,0;Emitida;COMPLETA;0
166398;694;66/2024;01/2026;2498,0;Emitida;COMPLETA;0
