id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
160770;55836;122/2023;06/2025;37516,0;Emitida;COMPLETA;0
161396;56338;122/2023;07/2025;37482,0;Emitida;COMPLETA;0
158299;53427;122/2023;03/2025;37270,0;Emitida;COMPLETA;0
157592;52764;122/2023;02/2025;37240,0;Emitida;COMPLETA;0
159911;55000;122/2023;05/2025;37240,0;Emitida;COMPLETA;0
156830;51997;122/2023;01/2025;37186,0;Emitida;COMPLETA;0
162382;57407;122/2023;08/2025;37054,0;Emitida;COMPLETA;0
155750;50947;122/2023;12/2024;36934,0;Emitida;COMPLETA;0
152834;48165;122/2023;08/2024;36818,0;Emitida;COMPLETA;0
153594;48882;122/2023;09/2024;36750,0;Emitida;COMPLETA;0
159145;54256;122/2023;04/2025;36610,0;Emitida;MEDIA;0
155238;50380;122/2023;11/2024;36216,0;Emitida;COMPLETA;0
152037;47414;122/2023;07/2024;36068,0;Emitida;COMPLETA;0
154386;49633;122/2023;10/2024;35928,0;Emitida;COMPLETA;0
151276;46732;122/2023;06/2024;35710,0;Emitida;COMPLETA;0
150448;45940;122/2023;05/2024;34862,0;Emitida;COMPLETA;0
163151;58153;122/2023;09/2025;34706,0;Emitida;COMPLETA;0
163960;58899;122/2023;10/2025;32838,0;Emitida;COMPLETA;0
164846;59779;122/2023;11/2025;32720,0;Emitida;COMPLETA;0
165490;60393;122/2023;12/2025;32530,0;Emitida;MEDIA;0
150496;46023;59/2024;05/2024;10290,0;Emitida;COMPLETA;0
151274;46733;59/2024;06/2024;10092,0;Emitida;COMPLETA;0
152004;47413;59/2024;07/2024;9878,0;Emitida;COMPLETA;0
152835;48166;59/2024;08/2024;9744,0;Emitida;MEDIA;0
153593;48883;59/2024;09/2024;9470,0;Emitida;COMPLETA;0
154379;49634;59/2024;10/2024;9192,0;Emitida;COMPLETA;0
155237;50381;59/2024;11/2024;8878,0;Emitida;COMPLETA;0
155979;51091;14/2024;12/2024;8624,0;Emitida;COMPLETA;3
156592;51754;14/2024;01/2025;8434,0;Emitida;COMPLETA;3
157594;52765;14/2024;02/2025;8236,0;Emitida;COMPLETA;3
158325;53453;14/2024;03/2025;8076,0;Emitida;COMPLETA;3
159144;54257;14/2024;04/2025;7634,0;Emitida;COMPLETA;3
159773;54892;14/2024;05/2025;7370,0;Emitida;COMPLETA;3
160667;55820;14/2024;06/2025;7200,0;Emitida;COMPLETA;3
161388;56339;14/2024;07/2025;7010,0;Emitida;COMPLETA;3
162395;57403;14/2024;08/2025;6710,0;Emitida;COMPLETA;3
163150;58154;14/2024;09/2025;5798,0;Emitida;COMPLETA;3
163830;58792;14/2024;10/2025;5314,0;Emitida;COMPLETA;3
164845;59780;14/2024;11/2025;4904,0;Emitida;COMPLETA;3
165508;60408;14/2024;12/2025;4594,0;Emitida;COMPLETA;3
166400;692;14/2024;01/2026;4104,0;Emitida;FORTE;3
163961;58900;2/2025;10/2025;1697,54;Emitida;COMPLETA;28
165661;60575;2/2025;12/2025;1680,49;Emitida;COMPLETA;28
164847;59781;2/2025;11/2025;1660,8;Emitida;COMPLETA;28
162393;57402;2/2025;08/2025;1397,46;Emitida;FORTE;28
161586;56618;2/2025;07/2025;1308,15;Emitida;FORTE;28
160759;55821;2/2025;06/2025;1162,37;Emitida;COMPLETA;28
160042;55153;2/2025;05/2025;1014,23;Emitida;COMPLETA;28
160041;55152;2/2025;04/2025;846,3;Emitida;COMPLETA;28
163099;58092;2/2025;09/2025;790,51;Emitida;COMPLETA;28
160040;55151;2/2025;03/2025;587,02;Emitida;COMPLETA;28
