Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
BANCO SICOOB;Execução de sistemas;277/2023;150553;05/2024;1.366,00;644 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;151325;06/2024;6.436,00;616 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;152090;07/2024;1.354,00;584 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;152883;08/2024;1.358,00;554 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;153932;09/2024;1.350,00;511 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;154463;10/2024;1.346,00;490 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;155310;11/2024;1.354,00;464 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;156710;12/2024;1.368,00;408 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;156867;01/2025;1.362,00;393 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;157646;02/2025;1.344,00;367 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;158407;03/2025;1.330,00;344 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;159223;04/2025;1.350,00;302 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;160016;05/2025;1.348,00;282 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;160823;06/2025;1.340,00;253 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;161616;07/2025;1.324,00;219 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;162408;08/2025;1.284,00;191 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;163217;09/2025;1.262,00;154 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;164056;10/2025;1.220,00;128 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;164860;11/2025;1.194,00;101 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;165683;12/2025;1.178,00;57 dias;0,00;Pendente;
BANCO SICOOB;Execução de sistemas;277/2023;166465;01/2026;1.150,00;30 dias;0,00;Pendente;
