id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
151325;46792;277/2023;06/2024;6436,0;Emitida;COMPLETA;0
156710;51841;277/2023;12/2024;1368,0;Emitida;MEDIA;0
150553;46065;277/2023;05/2024;1366,0;Emitida;COMPLETA;0
156867;52026;277/2023;01/2025;1362,0;Emitida;COMPLETA;0
152883;48222;277/2023;08/2024;1358,0;Emitida;COMPLETA;0
152090;47496;277/2023;07/2024;1354,0;Emitida;COMPLETA;0
155310;50445;277/2023;11/2024;1354,0;Emitida;COMPLETA;0
153932;49229;277/2023;09/2024;1350,0;Emitida;COMPLETA;0
159223;54351;277/2023;04/2025;1350,0;Emitida;COMPLETA;0
160016;55114;277/2023;05/2025;1348,0;Emitida;COMPLETA;0
154463;49707;277/2023;10/2024;1346,0;Emitida;COMPLETA;0
157646;52813;277/2023;02/2025;1344,0;Emitida;COMPLETA;0
160823;55879;277/2023;06/2025;1340,0;Emitida;COMPLETA;0
158407;53550;277/2023;03/2025;1330,0;Emitida;COMPLETA;0
161616;56664;277/2023;07/2025;1324,0;Emitida;COMPLETA;0
162408;57425;277/2023;08/2025;1284,0;Emitida;COMPLETA;0
163217;58197;277/2023;09/2025;1262,0;Emitida;COMPLETA;0
164056;58992;277/2023;10/2025;1220,0;Emitida;COMPLETA;0
164860;59793;277/2023;11/2025;1194,0;Emitida;COMPLETA;0
165683;7;277/2023;12/2025;1178,0;Emitida;MEDIA;0
166465;758;277/2023;01/2026;1150,0;Emitida;COMPLETA;0
