id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
166431;733;5/2025;01/2026;61738,0;Emitida;FORTE;25
143025;39233;119/2023;07/2023;61264,0;Emitida;COMPLETA;0
165567;60391;5/2025;12/2025;61076,0;Emitida;COMPLETA;25
146774;42567;119/2023;12/2023;60966,0;Emitida;COMPLETA;0
146017;41885;119/2023;11/2023;60960,0;Emitida;COMPLETA;0
147530;43264;119/2023;01/2024;60884,0;Emitida;COMPLETA;0
143777;39901;119/2023;08/2023;60814,0;Emitida;COMPLETA;0
144500;40564;119/2023;09/2023;60784,0;Emitida;COMPLETA;0
151258;46730;119/2023;06/2024;60716,0;Emitida;COMPLETA;0
151999;47411;119/2023;07/2024;60654,0;Emitida;COMPLETA;0
145256;41212;119/2023;10/2023;60600,0;Emitida;MEDIA;0
164834;59777;5/2025;11/2025;60488,0;Emitida;COMPLETA;25
163956;58895;119/2023;10/2025;60378,0;Emitida;COMPLETA;0
161397;56333;119/2023;07/2025;60374,0;Emitida;COMPLETA;0
152810;48161;119/2023;08/2024;60362,0;Emitida;COMPLETA;0
160755;55809;119/2023;06/2025;60302,0;Emitida;COMPLETA;0
162387;57399;119/2023;08/2025;60076,0;Emitida;COMPLETA;0
163138;58128;119/2023;09/2025;60050,0;Emitida;COMPLETA;0
153589;48877;119/2023;09/2024;59950,0;Emitida;COMPLETA;0
148217;43893;119/2023;02/2024;59946,0;Emitida;COMPLETA;0
159907;54998;119/2023;05/2025;59896,0;Emitida;COMPLETA;0
156825;51994;119/2023;01/2025;59838,0;Emitida;COMPLETA;0
154375;49629;119/2023;10/2024;59444,0;Emitida;MEDIA;0
159143;54260;119/2023;04/2025;59426,0;Emitida;COMPLETA;0
157591;52756;119/2023;02/2025;58828,0;Emitida;COMPLETA;0
158360;53495;119/2023;03/2025;58692,0;Emitida;COMPLETA;0
166433;734;5/2025;01/2026;28576,0;Emitida;COMPLETA;25
163829;58790;86/2024;10/2025;28538,0;Emitida;COMPLETA;0
164840;59772;5/2025;11/2025;28490,0;Emitida;COMPLETA;25
165564;60392;5/2025;12/2025;28328,0;Emitida;FORTE;25
163169;58166;86/2024;09/2025;28198,0;Emitida;COMPLETA;0
162383;57397;86/2024;08/2025;27916,0;Emitida;COMPLETA;0
