id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
143772;39906;140/2023;08/2023;10028,0;Emitida;COMPLETA;0
145261;41217;140/2023;10/2023;9054,0;Emitida;MEDIA;0
159906;55003;140/2023;05/2025;7910,0;Emitida;COMPLETA;0
147520;43272;140/2023;01/2024;7872,0;Emitida;COMPLETA;0
148271;43955;140/2023;02/2024;7710,0;Emitida;COMPLETA;0
148968;44574;140/2023;03/2024;7564,0;Emitida;COMPLETA;0
149711;45268;140/2023;04/2024;7374,0;Emitida;COMPLETA;0
150443;45948;140/2023;05/2024;7244,0;Emitida;COMPLETA;0
151291;46749;140/2023;06/2024;7200,0;Emitida;COMPLETA;0
152000;47425;140/2023;07/2024;7014,0;Emitida;COMPLETA;0
152823;48174;140/2023;08/2024;6866,0;Emitida;COMPLETA;0
153601;48891;140/2023;09/2024;6702,0;Emitida;COMPLETA;0
154387;49641;140/2023;10/2024;6476,0;Emitida;COMPLETA;0
155233;50389;140/2023;11/2024;6034,0;Emitida;COMPLETA;0
155753;50959;140/2023;12/2024;5924,0;Emitida;COMPLETA;0
156828;52002;140/2023;01/2025;5774,0;Emitida;COMPLETA;0
157588;52771;140/2023;02/2025;5692,0;Emitida;COMPLETA;0
158292;53421;140/2023;03/2025;5594,0;Emitida;COMPLETA;0
159141;54271;140/2023;04/2025;5540,0;Emitida;COMPLETA;0
160762;55830;140/2023;06/2025;5520,0;Emitida;COMPLETA;0
161629;56677;140/2023;07/2025;5432,0;Emitida;COMPLETA;0
162376;57414;140/2023;08/2025;5342,0;Emitida;COMPLETA;0
163141;58132;140/2023;09/2025;5166,0;Emitida;COMPLETA;0
163963;58904;140/2023;10/2025;4998,0;Emitida;MEDIA;0
164853;59788;140/2023;11/2025;4902,0;Emitida;COMPLETA;0
165495;60398;140/2023;12/2025;4790,0;Emitida;COMPLETA;0
166401;696;140/2023;01/2026;4678,0;Emitida;MEDIA;0
149724;45269;67/2024;04/2024;870,0;Emitida;COMPLETA;0
150490;46024;67/2024;05/2024;834,0;Emitida;COMPLETA;0
151290;46750;67/2024;06/2024;790,0;Emitida;COMPLETA;0
152044;47426;67/2024;07/2024;774,0;Emitida;COMPLETA;0
152825;48175;67/2024;08/2024;746,0;Emitida;COMPLETA;0
153600;48892;67/2024;09/2024;718,0;Emitida;COMPLETA;0
154376;49642;67/2024;10/2024;678,0;Emitida;COMPLETA;0
155234;50390;67/2024;11/2024;640,0;Emitida;COMPLETA;0
155766;50960;67/2024;12/2024;616,0;Emitida;COMPLETA;0
156587;51757;67/2024;01/2025;584,0;Emitida;COMPLETA;0
157589;52772;67/2024;02/2025;562,0;Emitida;COMPLETA;0
158328;53454;67/2024;03/2025;518,0;Emitida;COMPLETA;0
159140;54270;67/2024;04/2025;496,0;Emitida;COMPLETA;0
159768;54891;67/2024;05/2025;466,0;Emitida;COMPLETA;0
160670;55825;67/2024;06/2025;450,0;Emitida;COMPLETA;0
161386;56344;67/2024;07/2025;444,0;Emitida;COMPLETA;0
162386;57415;67/2024;08/2025;416,0;Emitida;COMPLETA;0
153602;48890;12/2021;09/2024;349,35;Emitida;COMPLETA;79
153603;48889;12/2021;09/2024;349,35;Emitida;COMPLETA;79
154395;49639;12/2021;10/2024;349,35;Emitida;COMPLETA;79
154396;49640;12/2021;10/2024;349,35;Emitida;COMPLETA;79
155242;50388;12/2021;11/2024;349,35;Emitida;COMPLETA;79
155243;50387;12/2021;11/2024;349,35;Emitida;COMPLETA;79
155757;50958;12/2021;12/2024;349,35;Emitida;COMPLETA;79
155758;50957;12/2021;12/2024;349,35;Emitida;COMPLETA;79
156833;52001;12/2021;01/2025;349,35;Emitida;COMPLETA;79
156834;52000;12/2021;01/2025;349,35;Emitida;COMPLETA;79
157601;52769;12/2021;02/2025;349,35;Emitida;COMPLETA;79
157600;52770;12/2021;02/2025;349,35;Emitida;COMPLETA;79
158312;53443;12/2021;03/2025;349,35;Emitida;COMPLETA;79
158313;53442;12/2021;03/2025;349,35;Emitida;COMPLETA;79
159151;54265;12/2021;04/2025;349,35;Emitida;COMPLETA;79
159152;54263;12/2021;04/2025;349,35;Emitida;FORTE;79
159975;55040;12/2021;05/2025;349,35;Emitida;COMPLETA;79
159976;55035;12/2021;05/2025;349,35;Emitida;COMPLETA;79
160763;55828;12/2021;06/2025;349,35;Emitida;COMPLETA;79
160764;55827;12/2021;06/2025;349,35;Emitida;COMPLETA;79
161589;56624;12/2021;07/2025;349,35;Emitida;COMPLETA;79
161588;56622;12/2021;07/2025;349,35;Emitida;FORTE;79
162392;57412;12/2021;08/2025;349,35;Emitida;COMPLETA;79
163100;58093;12/2021;09/2025;349,35;Emitida;COMPLETA;79
163964;58903;12/2021;10/2025;349,35;Emitida;FORTE;79
164852;59782;12/2021;11/2025;349,35;Emitida;COMPLETA;79
165660;60577;12/2021;12/2025;349,35;Emitida;COMPLETA;79
166356;625;12/2021;01/2026;349,35;Emitida;COMPLETA;79
