Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
CAIXA;Execução de sistemas;129/2023;141460;05/2023;19.942,00;1021 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2022;141518;05/2023;14.613,81;1016 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;142304;06/2023;20.078,00;987 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;143046;07/2023;20.364,00;955 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2023;143044;07/2023;586,46;955 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;143765;08/2023;20.770,00;925 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2022;143837;08/2023;14.603,78;924 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;144477;09/2023;21.160,00;897 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2022;144588;09/2023;18.351,99;895 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;146785;12/2023;22.580,00;804 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;147540;01/2024;23.084,00;771 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;148222;02/2024;22.910,00;742 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2023;148248;02/2024;19.356,77;742 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2023;148247;02/2024;877,45;742 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;148953;03/2024;23.250,00;715 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2023;149732;04/2024;19.263,09;681 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;149759;04/2024;23.546,00;681 dias;0,00;Pendente;TramitarReverter Status
CAIXA;Execução de sistemas;###/2023;150420;05/2024;19.013,38;653 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;150475;05/2024;23.934,00;652 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;###/2024;151207;06/2024;19.013,38;623 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;###/2024;152792;08/2024;19.027,65;560 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;###/2023;155775;12/2024;31.507,61;444 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;117/2024;157568;02/2025;2.662,00;377 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;157572;02/2025;27.704,00;377 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;158336;03/2025;28.124,00;349 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;117/2024;158335;03/2025;2.744,00;349 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;###/2024;158441;12/2024;19.447,95;338 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;159050;04/2025;28.948,00;318 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;117/2024;159087;04/2025;2.846,00;318 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;117/2024;159758;05/2025;2.912,00;293 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;159892;05/2025;29.380,00;289 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;012/2007;159942;05/2025;407,85;286 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;012/2007;160676;06/2025;390,57;259 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;117/2024;160719;06/2025;2.996,00;259 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;160771;06/2025;29.782,00;255 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;129/2023;161414;07/2025;30.440,00;231 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;117/2024;161415;07/2025;3.104,00;231 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;012/2007;161546;07/2025;383,40;225 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;012/2007;162329;08/2025;396,38;196 dias;0,00;Suspenso;TramitarReverter Status
CAIXA;Execução de sistemas;117/2024;162356;08/2025;3.170,00;195 dias;0,00;Suspenso;TramitarReverter Status
