id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
166385;681;129/2023;01/2026;33164,0;Emitida;COMPLETA;0
165514;60318;129/2023;12/2025;32518,0;Emitida;COMPLETA;0
164759;59683;129/2023;11/2025;31954,0;Emitida;COMPLETA;0
163946;58909;129/2023;10/2025;31578,0;Emitida;COMPLETA;0
155775;50968;;12/2024;31507,61;Emitida;COMPLETA;0
163149;58140;129/2023;09/2025;31188,0;Emitida;COMPLETA;0
162357;57369;129/2023;08/2025;30856,0;Emitida;COMPLETA;0
161414;56437;129/2023;07/2025;30440,0;Emitida;COMPLETA;0
160771;55857;129/2023;06/2025;29782,0;Emitida;MEDIA;0
159892;54979;129/2023;05/2025;29380,0;Emitida;COMPLETA;0
159050;54161;129/2023;04/2025;28948,0;Emitida;COMPLETA;0
158336;53480;129/2023;03/2025;28124,0;Emitida;COMPLETA;0
157572;52720;129/2023;02/2025;27704,0;Emitida;COMPLETA;0
150475;45974;129/2023;05/2024;23934,0;Emitida;COMPLETA;0
149759;45298;129/2023;04/2024;23546,0;Emitida;COMPLETA;0
148953;44548;129/2023;03/2024;23250,0;Emitida;COMPLETA;0
147540;43258;129/2023;01/2024;23084,0;Emitida;COMPLETA;0
148222;43912;129/2023;02/2024;22910,0;Emitida;COMPLETA;0
146785;42586;129/2023;12/2023;22580,0;Emitida;COMPLETA;0
144477;40544;129/2023;09/2023;21160,0;Emitida;COMPLETA;0
143765;39896;129/2023;08/2023;20770,0;Emitida;COMPLETA;0
143046;39271;129/2023;07/2023;20364,0;Emitida;COMPLETA;0
142304;38595;129/2023;06/2023;20078,0;Emitida;COMPLETA;0
141460;37818;129/2023;05/2023;19942,0;Emitida;COMPLETA;0
158441;53588;;12/2024;19447,95;Emitida;COMPLETA;0
148248;43928;;02/2024;19356,77;Emitida;COMPLETA;0
149732;45275;;04/2024;19263,09;Emitida;COMPLETA;0
152792;48133;;08/2024;19027,65;Emitida;COMPLETA;0
166388;684;;01/2026;19013,86;Emitida;COMPLETA;0
150420;45918;;05/2024;19013,38;Emitida;COMPLETA;0
151207;46657;;06/2024;19013,38;Emitida;COMPLETA;0
164790;59754;;11/2025;19012,25;Emitida;COMPLETA;0
163971;58914;;10/2025;18939,67;Emitida;COMPLETA;0
165633;60564;;12/2025;18760,58;Emitida;COMPLETA;0
144588;40636;1586/2022;09/2023;18351,99;Emitida;COMPLETA;0
141518;37891;1586/2022;05/2023;14613,81;Emitida;COMPLETA;0
143837;39959;1586/2022;08/2023;14603,78;Emitida;MEDIA;0
166413;715;10/2025;01/2026;3954,0;Emitida;COMPLETA;25
165525;60520;10/2025;12/2025;3830,0;Emitida;COMPLETA;25
164758;59685;117/2024;11/2025;3718,0;Emitida;COMPLETA;0
163836;58799;117/2024;10/2025;3578,0;Emitida;COMPLETA;0
163184;58180;117/2024;09/2025;3380,0;Emitida;COMPLETA;0
162356;57368;117/2024;08/2025;3170,0;Emitida;COMPLETA;0
161415;56438;117/2024;07/2025;3104,0;Emitida;COMPLETA;0
160719;55776;117/2024;06/2025;2996,0;Emitida;COMPLETA;0
159758;54878;117/2024;05/2025;2912,0;Emitida;COMPLETA;0
159087;54198;117/2024;04/2025;2846,0;Emitida;COMPLETA;0
158335;53469;117/2024;03/2025;2744,0;Emitida;COMPLETA;0
157568;52721;117/2024;02/2025;2662,0;Emitida;COMPLETA;0
148247;43925;;02/2024;877,45;Emitida;COMPLETA;0
143044;39272;;07/2023;586,46;Emitida;MEDIA;0
159942;55083;12/2007;05/2025;407,85;Emitida;COMPLETA;0
162329;57335;12/2007;08/2025;396,38;Emitida;COMPLETA;0
163103;58097;12/2007;09/2025;396,38;Emitida;COMPLETA;0
160676;55729;12/2007;06/2025;390,57;Emitida;COMPLETA;0
161546;56565;12/2007;07/2025;383,4;Emitida;COMPLETA;0
163968;58908;12/2007;10/2025;383,24;Emitida;COMPLETA;0
164787;59751;12/2007;11/2025;348,54;Emitida;COMPLETA;0
166386;680;12/2007;01/2026;326,15;Emitida;COMPLETA;0
165631;60561;12/2007;12/2025;321,15;Emitida;COMPLETA;0
