numero;contrato;data_emissao;valor;situacao;descricao
2020NE00721;;31/12/2020;7712,31;Ativo;Anulação da NE nº 00020/2020, referente ao saldo do Convênio nº 001/2016 do ( Quarto Termo Aditivo), de acordo com o Decreto nº43.042 de 18.11.2020, em virtude do encerramento do exercício 2020.
2020NE00723;;31/12/2020;1695,96;Ativo;Anulação da NE nº 00021/2020, referente ao saldo do Convênio nº 001/2016 do ( Quinto Termo Aditivo), de acordo com o Decreto nº 43.042 de 18.11.2020, em virtude do encerramento do exercício 2020.
2022NE0001161;4/2018;31/10/2022;26696,43;Ativo;Prestação de serviços de fiewall, compreendendo a disponibilização e administração de equipamentos, serviços de Rede.
2021NE0000726;4/2018;31/08/2021;91960,84;Ativo;Reforço da Ne nº00452
2015NE00559;;31/08/2015;64168,11;Ativo;SERVIÇOS DE TERCEIROS PESSOA JURÍDICA / ASSESSORIA TÉCNICA
2024NE0000579;3/2023;31/07/2024;1157,51;Ativo;Contratação de empresa especializada, para fornecimento de licença de uso de Sistema de Informação, disponibilizando o Gestor de Conteúdo Web - GERWEB para publicação de informações, notícias, vídeos 
2024NE0000578;;31/07/2024;1157,51;Ativo;ANULAÇÃO TOTAL DA NE Nº 0000533, DEVIDO DESCRIÇÃO INDEVIDA.
2022NE0000681;4/2018;31/05/2022;69410,72;Ativo;"Contratação de empresa especializada na prestação de serviços de firewall, compreendendo a disponibilização e administração de equipamentos; serviços de Rede, compreendendo o acesso gerenciado à Rede "
2019NE01223;;30/12/2019;24594,18;Ativo;Anulação parcial da NE nº00014, de acordo com o calendário de encerramento do exercício de 2019 ¿ Anexo I do Decreto nº41.554 de 26.11.2019.
2019NE01224;;30/12/2019;11230,48;Ativo;Anulação parcial da NE nº00208, de acordo com o calendário de encerramento do exercício de 2019 / Anexo I do Decreto nº41.554 de 26.11.2019.
2019NE01214;;30/12/2019;1209,7;Ativo;Anulação parcial
2016NE00570;;30/12/2016;31401,92;Ativo;Anulação parcial em virtude do valor do consumo ter sido menor que o valor planejado, e de acordo com a Instrução Normativa nº01/2016-SET/SEFAZ.
2016NE00560;;30/12/2016;3336,17;Ativo;Anulação total, tendo em vista o término do 3º T.A. ao Contrato nº003/2012.
2016NE00561;;30/12/2016;10290,93;Ativo;Anulação total de acordo com o calendário de encerramento do exercício, conforme Instrução Normativa nº01/2016-SET/SEFAZ.
2016NE00568;;30/12/2016;10125,33;Ativo;Anulação parcial tendo em vista o término do Contrato nº001/2015, Instrução Normativa nº01/2016-SEF/SEFAZ.
2016NE00569;;30/12/2016;6498,1;Ativo;Anulação parcial em virtude do valor do consumo ter sido menor que o valor planejado, e de acordo com a Instrução Normativa nº01/2016-SET/SEFAZ.
2025NE0000225;;30/04/2025;208934,3;Ativo;Cessão, por disposição, de 05 (cinco) Técnicos detentores de empregos do Quadro da PRODAM, para a Secretaria de Estado da Casa Civil.
