numero;contrato;data_emissao;valor;situacao;descricao
2022NE0000095;6/2020;31/03/2022;6803,16;Ativo;Reforço da NE 2022NE0000008 de 03/01/2022 - 1º Termo Aditivo ao Termo de Contrato nº 006/2020 - Casa Militar
2023NE0000241;6/2020;29/06/2023;3401,58;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 006/2020 AD: 02.
2023NE0000473;6/2020;28/09/2023;5102,37;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 03.
2021NE0000188;;28/04/2021;654,6;Ativo;RD 2021RD0000068, referente pagamento por geração de Folha Especial de pagamento (Tipo 68) no mês de OUTUBRO/2020, Nota Fiscal nº 18672.
2022NE0001188;6/2020;27/10/2022;1700,79;Ativo;Reforço da 2022NE0000810 - 2º Termo Aditivo ao Termo de Contrato nº 006/2020 - Casa Militar Objeto: Serviço de licença de uso de Sistema de Informação, compreendendo a disponibilidade de gestor de con
2023NE0000115;;27/04/2023;3401,58;Ativo;Reforço da NE 2023NE0000017 - 2º Termo Aditivo ao Contrato nº 006/2020 - Casa Militar - Objeto: Serviço de licença de uso de Sistema de Informação, compreendendo a disponibilidade de gestor de conteúd
2025NE0000061;6/2020;27/02/2025;10204,74;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 04.
2024NE0000335;6/2020;25/06/2024;3401,58;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 03.
2022NE0000086;;22/03/2022;1639,6;Ativo;Rec Dívida, Proc 011108.0000005/2022, referente pag por geração de Folha Especial (TIPO 68) no mês de JULHO e SETEMBRO/2021, junto à Empresa PRODAM PROCESSAMENTO DE DADOS AMAZONAS S.A. (04.407.920/000
2020NE00568;;18/09/2020;6803,16;Ativo;Termo de Contrato nº 006/2020 – Serviço de licença de uso de Sistema de Informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo d
2022NE0001360;6/2020;17/11/2022;1700,79;Ativo;Reforço da NE 2022NE0000810 de 17/08/2022. 115833 - LICENÇA DE SOFTWARE, LICENÇA DE SOFTWARE, Descrição: Licença de uso do sistema 1 Gestor de Conteúdo Web - GERWEB. MARCA: null 2º Termo Aditivo ao Te
2020NE00553;;17/09/2020;6803,16;Ativo;Anulação total do saldo da Nota de Empenho nº 2020NE00447 ¿ TC 006/2020, serviço de licença de uso de sistema de informação, em razão de ajuste orçamentário, troca de fonte devido FRUSTAÇÃO DE RECEITA
2022NE0000810;6/2020;17/08/2022;3401,58;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado
2022NE0000810;6/2020;17/08/2022;3401,58;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado
2020NE00447;6/2020;17/08/2020;6803,16;Ativo;Serviço de licença de uso de sistema de informação GERWEB Gestor de Conteúdo WEB para publicação de informações, notícias, vídeos e imagens via website, visando atender à Casa Militar por um período d
2015NE00077;;17/04/2015;21437,58;Ativo;Correspondente ao pagamento de despesas realizadas com a contratação de empresa para prestação dos serviços de Instalação de rede, locação de equipamentos e disponibilização de links que foram utiliza
2015NE00232;;14/12/2015;21437,58;Ativo;ANULAÇÃO DE EMPENHO PARA AJUSTE ORÇAMENTÁRIO NO EXERCÍCIO DE 2015
2023NE0000313;6/2020;11/08/2023;1700,79;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 03.
2024NE0000139;6/2020;10/05/2024;3401,58;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 03.
2021NE0000482;6/2020;05/08/2021;6803,16;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado
2024NE0000053;6/2020;05/03/2024;3401,58;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 03.
2026NE0000007;3/2025;05/01/2026;11136,96;Ativo;Contratação de Serviço licença de sistema de informação, disponibilização de Gestor de Conteúdo WEB - GERWEB, publ de informações, notícias, vídeos e imagens via Website, de acordo com o padrão de com
2025NE0000490;3/2025;03/09/2025;11136,96;Ativo;Contratação de Serviço licença de sistema de informação, disponibilização de Gestor de Conteúdo WEB - GERWEB, publ de informações, notícias, vídeos e imagens via Website, de acordo com o padrão de com
2025NE00490;3/2025;03/09/2025;11136,96;Ativo;Serviço de Licença de Uso de Sistema de Informação a disponibilização de Gestor de Conteúdo Web. Contrato 003/2025.
2022NE0000008;6/2020;03/01/2022;6803,16;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado
2025NE0000010;6/2020;02/01/2025;3401,58;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 04.
2023NE0000017;6/2020;02/01/2023;6803,16;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado
2024NE0000512;6/2020;01/08/2024;6803,16;Ativo;Serviço de licença de uso de sistema de informação, compreendendo a disponibilidade de gestor de conteúdo web, de acordo com o padrão de comunicação visual do Governo do Estado TC: 0006/2020 AD: 04.
