numero;contrato;data_emissao;valor;situacao;descricao
2020NE00850;;31/12/2020;1148,11;Ativo;Anulação de saldo de empenho que não se constituirá em Restos a Pagar, em atendimento à comunicação nº 14 (DECON/SET/SEFAZ) de 16/11/2020 ANEXO 01 ¿ CALENDÁRIO DE ENCERRAMENTO DO EXERCÍCIO/2020.
2020NE00849;;31/12/2020;107,7;Ativo;Anulação de saldo de empenho que não se constituirá em Restos a Pagar, em atendimento à comunicação nº 14 (DECON/SET/SEFAZ) de 16/11/2020 ANEXO 01 ¿ CALENDÁRIO DE ENCERRAMENTO DO EXERCÍCIO/2020.
2025NE0000957;6/2021;31/10/2025;1109,14;Ativo;1º Termo aditivo ao contrato 006/2021 de prorrogação de prazo por 12 meses e reajuste de valor de 14,77%. Serviços especializados para o funcionamento e manutenção do sistema do processamento do contr
2017NE00818;1/2017;31/08/2017;12920,45;Ativo;PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE SISTEMA DE INFORMAÇÃO PARA DISPONIBILIZAÇÃO DOS SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB).
2017NE00254;5/2016;31/05/2017;2342,4;Ativo;PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DO SISTEMA DE PROCESSAMENTO DE CONTROLE DE PESSOAL DA DIRETORIA DE RECURSOS HUMANOS DO CBMAM
2017NE00484;5/2016;30/06/2017;1614,08;Ativo;PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DO SISTEMA DE PROCESSAMENTO DE CONTROLE DE PESSOAL DA DIRETORIA DE RECURSOS HUMANOS DO CBMAM
2017NE01742;;29/12/2017;10562,34;Ativo;CANCELAMENTO DA NE 2017/00818 FINS ENCERRAMENTO DO EXERCÍCIO FINANCEIRO DE 2017.
2023NE0000360;;29/05/2023;4969,18;Ativo;PROCESSO DE RECONHECIMENTO DE DÍVIDA REFERENTE AS FATURAS EM ABERTO DE PRESTAÇÃO DE SERVIÇO DE INFORMÁTICA (SERVIÇO DE CONTROLE DE PESSOAL – CPBM) PARA O CBMAM.
2018NE01193;;28/12/2018;4196,65;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 (LEI DE RESPONSABILIDADE FISCAL.
2018NE01192;;28/12/2018;1210,56;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 (LEI DE RESPONSABILIDADE FISCAL.
2016NE00691;;28/12/2016;2342,4;Ativo;Anulação da Ne nº 687 por incorreção na fonte de recursos
2016NE00692;5/2016;28/12/2016;2342,4;Ativo;serviços de processamento de dados para o CBMAM.
2016NE00520;;28/09/2016;4684,8;Ativo;REFORÇO NE 054
2016NE00520;2/2011;28/09/2016;4684,8;Ativo;REFORÇO NE 054
2019NE00237;5/2016;28/05/2019;351,75;Ativo;Processo de reconhecimento de dívida do mês de DEZ 2018, referente ao 2º Termo Aditivo ao Contrato nº005/2016 pelo serviço de Controle de Pessoal para o CBMAM (CPBM).
