numero;contrato;data_emissao;valor;situacao;descricao
2023NE0001582;7/2020;30/11/2023;100000,0;Ativo;contratação dos serviços de desenvolvimento de sistema de informação e modelagem de processos de negócios para atender as demandas do cetam. Parecer juridico - 2023 -PJ/CETAM pag. 28 a 33. TC: 007/202
2015NE00454;1/2012;30/03/2015;3856,51;Ativo;Anulação total
2023NE0001574;7/2020;29/11/2023;923541,27;Ativo;contratação dos serviços de desenvolvimento de sistema de informação e modelagem de processos de negócios para atender as demandas do cetam. Parecer juridico - 2023 -PJ/CETAM pag. 28 a 33. TC: 007/202
2023NE0001570;6/2020;29/11/2023;780039,12;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE INTERLIGAÇÃO DAS REDES DE COMPUTADORES DAS UNIDADES DO CETAM MEDIANTE FORNECIMENTO DE CIRCUITO DE TRANSMISSAO DE DADOS E CONEXAO A REDE METROPOLITANA DE MANAUS(METROMAO). P
2023NE0001563;6/2020;29/11/2023;334735,1;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE INTERLIGAÇÃO DAS REDES DE COMPUTADORES DAS UNIDADES DO CETAM MEDIANTE FORNECIMENTO DE CIRCUITO DE TRANSMISSAO DE DADOS E CONEXAO A REDE METROPOLITANA DE MANAUS(METROMAO). P
2023NE0001573;;29/11/2023;100000,0;Ativo;Referente a anulação da NE 1507/2023.
2022NE0002075;15/2021;29/08/2022;12223,56;Ativo;Contratação da prestação de serviço de TIC compreendendo a execução dos sistemas Sproweb, Licença de uso do Gestor Conteúdo WEB e PRODAM RH, para atender a demanda do CETAM.
2020NE00518;2/2020;29/05/2020;175070,25;Ativo;Contratação de empresa especializada em tecnologia da informação para atender demanda do CETAM.
2023NE0000333;7/2020;29/03/2023;1505578,86;Ativo;Contratação dos serviços de desenvolvimento de sistema de informação e modelagem de processos de negócios para atender as demandas do CETAM.
2018NE01869;8/2016;28/08/2018;157492,0;Ativo;Contratação de empresa especializada em serviços de fornecimento de acesso a rede mundial de computadores - internet capital.
2018NE01868;;28/08/2018;157492,0;Ativo;anulação total
2025NE0000083;10/2024;28/01/2025;371098,88;Ativo;Contratação dos serviços de tecnologia da informação, compreendendo aos serviços de hospedagem de servidores e licença de uso de office 365, para atender as demandas do cetam.
2025NE0000084;6/2020;28/01/2025;699789,98;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE INTERLIGAÇÃO DAS REDES DE COMPUTADORES DAS UNIDADES DO CETAM MEDIANTE FORNECIMENTO DE CIRCUITO DE TRANSMISSAO DE DADOS E CONEXAO A REDE METROPOLITANA DE MANAUS(METROMAO). P
2023NE0001507;7/2020;27/11/2023;100000,0;Ativo;contratação dos serviços de desenvolvimento de sistema de informação e modelagem de processos de negócios para atender as demandas do cetam. Parecer juridico - 2023 -PJ/CETAM pag. 28 a 33. TC: 007/202
2024NE0000111;7/2020;27/02/2024;501859,62;Ativo;Contratação dos serviços de desenvolvimento de sistema de informação e modelagem de processos de negócios para atender as demandas do CETAM. TC: 0007/2020 AD: 05.
2019NE03030;;26/12/2019;984,84;Ativo;Anulação total da NE nº 2185/19, por ocasião do encerramento do exercício.
2024NE0001977;15/2021;26/11/2024;10779,72;Ativo;Contratação da prestação de serviços de TIC, compreendendo a Execução dos sistemas SPROweb, Licença de uso do Gestor de Conteúdo Web e PRODAM RH, para atender as demandas do CETAM. TC: 0015/2021 AD: 0
2024NE0001974;6/2020;26/11/2024;349894,99;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE INTERLIGAÇÃO DAS REDES DE COMPUTADORES DAS UNIDADES DO CETAM MEDIANTE FORNECIMENTO DE CIRCUITO DE TRANSMISSAO DE DADOS E CONEXAO A REDE METROPOLITANA DE MANAUS(METROMAO). P
2024NE0001975;7/2020;26/11/2024;431973,43;Ativo;Contratação dos serviços de desenvolvimento de sistema de informação e modelagem de processos de negócios para atender as demandas do CETAM. TC: 0007/2020 AD: 07.
2024NE0001976;10/2024;26/11/2024;185549,44;Ativo;Contratação dos serviços de tecnologia da informação, compreendendo aos serviços de hospedagem de servidores e licença de uso de office 365, para atender as demandas do cetam.
2024NE0001190;7/2020;26/08/2024;863946,86;Ativo;Contratação dos serviços de desenvolvimento de sistema de informação e modelagem de processos de negócios para atender as demandas do CETAM. TC: 0007/2020 AD: 05.
2020NE00742;6/2019;26/08/2020;20058,3;Ativo;Reforço da NE
2016NE01512;8/2016;26/08/2016;35570,0;Ativo;Serviço de acesso a internet
2022NE0001021;;26/05/2022;12662,08;Ativo;Pelo encerramento da vigência
2022NE0003260;6/2020;25/11/2022;302096,8;Ativo;Contratação dos serviços de fornecimento de circuito de transmissão de dados e conexão á rede metropolitana de Manaus Repam/Metromao.
