numero;contrato;data_emissao;valor;situacao;descricao
2016NE00324;7/2016;31/05/2016;1475,29;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE LICENÇA DE USO DO SISTEMA DE INFORMAÇÃO, COMPREENDENDO A DISPONIBILIZAÇÃO DE GESTOR DE CONTEÚDO WEB, PARA PUBLICAÇÃO DE INFORMAÇÕES, N
2020NE00307;;30/12/2020;377,6;Ativo;Anulação Parcial do Saldo da NE 2020NE00210, CT nº 003/2020 - CGE, em cumprimento ao Decreto nº 43.042, de 18 de novembro de 2020, publicado no DOE nº 34.376. (Encerramento do Exercício).
2020NE00305;;30/12/2020;48767,17;Ativo;Anulação Parcial do Saldo da NE 2020NE00278, 3TA ao CT nº 003/2017 - CGE, em cumprimento ao Decreto nº 43.042, de 18 de novembro de 2020, publicado no DOE nº 34.376. (Encerramento do Exercício).
2020NE00306;;30/12/2020;17810,29;Ativo;Anulação Total do Saldo da NE 2020NE00221, 2TA ao CT nº 003/2017 - CGE, em cumprimento ao Decreto nº 43.042, de 18 de novembro de 2020, publicado no DOE nº 34.376. (Encerramento do Exercício).
2020NE00304;;30/12/2020;878,4;Ativo;Anulação Total do Saldo da NE 2020NE00220, 2TA ao CT nº 003/2017 - CGE, em cumprimento ao Decreto nº 43.042, de 18 de novembro de 2020, publicado no DOE nº 34.376. (Encerramento do Exercício).
2019NE00357;;30/12/2019;42646,24;Ativo;Anulação Total do Saldo da NE 000315/2019,2TA CT. Nº003/2017-CGE, em cumprimento ao Decreto nº 41.554, de 26 de novembro de 2019. Publicado no DOE Nº 34.131 DE 26/11/2019. (Encerramento do exercício).
2019NE00358;;30/12/2019;60,95;Ativo;Anulação Total do Saldo da NE 000314/2019, 2TA CT. Nº003/2017-CGE, em cumprimento ao Decreto nº 41.554, de 26 de novembro de 2019. Publicado no DOE Nº 34.131 DE 26/11/2019. (Encerramento do exercício)
2019NE00356;;30/12/2019;196946,71;Ativo;Anulação Total do Saldo da NE 000004/2019,1TA CT. Nº003/2017-CGE, em cumprimento ao Decreto nº 41.554, de 26 de novembro de 2019. Publicado no DOE Nº 34.131 DE 26/11/2019. (Encerramento do exercício).
2016NE00463;;30/12/2016;2950,58;Ativo;ANULAÇÃO QUE SE FAZ EM ATENDIMENTO A INSTRUÇÃO NORMATIVA Nº 01/2016-GSET DE ENCERRAMENTO DO EXERCÍCIO DE 2016, PUB NO DOE EM 14/12/16.
2025NE0000427;;29/12/2025;14597,67;Ativo;Anulação Parcial do Saldo da NE nº 38/2025 ? conforme Decreto nº 52.770 de 21/10/2025 ? para o encerramento da execução, orçamentária, financeira, patrimonial e contábil do exercício de 2025.
2017NE00199;;29/12/2017;144,11;Ativo;Anulação total do saldo da NE nº 0061/2017, TA nº04 CT nº002/2012-CGE, em cumprimento a IN. nº001/2017-GSEFAZ de 12/12/2017, publicado no DOE nº 33.663 de 14/12/2017. ( encerramento do exercício).
2017NE00374;;29/12/2017;2445,6;Ativo;Anulação do Saldo da Nota de Empenho nº 2017NE00102, correspondente ao 1º TA-CT.002/2016-OGE, para ajuste orçamentário no encerramento do exercício.
2017NE00200;;29/12/2017;37952,88;Ativo;Anulação total do saldo da NE nº 0180/2017, CT nº03/2017-CGE, em cumprimento a IN. nº001/2017-GSEFAZ de 12/12/2017, publicado no DOE nº 33.663 de 14/12/2017. ( encerramento do exercício).
2017NE00201;;29/12/2017;3115,58;Ativo;Anulação total do saldo da NE nº 0181/2017, CT nº03/2017-CGE, em cumprimento a IN. nº001/2017-GSEFAZ de 12/12/2017, publicado no DOE nº 33.663 de 14/12/2017. ( encerramento do exercício).
2016NE00164;;29/12/2016;144,11;Ativo;Anulação total do saldo da NE nº 0096/2016, conforme Instrução Normativa nº 001/2016-SET/SEFAZ.
2019NE00315;3/2017;29/11/2019;42646,24;Ativo;Contratação de Empresa Especializada em prestação de serviços de TI, Tipo DESENVOLVIMENTO DE SISTEMA DE INFORMAÇÃO, CONFORME PROJETO BÁSICO .
2016NE00142;2/2013;29/02/2016;42826,7;Ativo;SERVIÇOS DE REDE COMPREENDENDO A DISPONIBILIDADE DE ACESSO À REDE DE GOVERNO COM O FORNEC. DE LINK SEGURO, DEDICADO, PONTO A PONTO, ENTRE A SEDE DA OUVIDORIA E A PRODAM, PARA ACESSO GERENCIADO A INTER
2019NE00314;3/2017;28/11/2019;1577,93;Ativo;Contratação de Empresa Especializada em prestação de serviços de TI, Tipo LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO - GESTOR DE CONTEÚDO WEB, e LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO - PORTAL DA TRANSP
2022NE0000236;3/2020;28/10/2022;1167,84;Ativo;Contratação de Serviços de Execução do Sistema de Protocolo SPROWEB, para atender a Controladoria Geral do Estado - CGE. (Conforme Projeto Básico)
2022NE0000234;2/2021;28/10/2022;9080,26;Ativo;Contratação de Empresa Especializada na Prestação de Serviços de Rede, compreendendo o ACESSO GERENCIADO A REDE MUNDIAL DE INTERNET, para a CGE/AM. Conforme Projeto Básico.
2022NE0000235;3/2017;28/10/2022;20000,0;Ativo;REFORÇO QUE SE FAZ DA NE Nº 20 - PRODAM PROCESSAMENTO DE DADOS AMAZONAS S/A - REFERENTE AO QUARTO TERMO ADITIVO AO CONTRATO Nº 003/2017
2024NE0000379;;27/12/2024;67608,32;Ativo;ANULAÇÃO TOTAL DO SALDO DA NE 34/2024 - REF. AO ENCERRAMENTO DO EXERCÍCIO 01 FINANCEIRO DE 2024 - DECRETO Nº 50.522 DE 22/10/2024 ? CONTRATO Nº 1/2023 ? 2º TA. ? PRODAM S.A.
2020NE00278;3/2017;25/11/2020;50424,78;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRETAÇÃO DE SERVIÇOS DE TI, TIPO DESENVOLVIMENTO DE SISTEMA DE INFORMAÇÃO, LICENÇAS DE USO DE SISTEMA DE INFORMAÇÃO - GESTOR DE CONTEUDO WEB E LICENÇA DE USO DE
2021NE0000101;;25/06/2021;1128,61;Ativo;ANULAÇÃO TOTAL DO SALDO DA NE 001/2021 - TERMO DE CTA N° 003/2020 MOTIVO: ENCERRAMENTO DA VIGÊNCIA DO CONTRATO
2024NE0000140;2/2021;25/04/2024;255,87;Ativo;Contratação de Empresa Especializada na prestação de serviços de Rede, compreendendo o ACESSO GERENCIADO A REDE MUNDIAL DE INTERNET, para atender a CGE/AM. Demais informações no Projeto Básico (SIGED)
2023NE0000098;;25/04/2023;126919,84;Ativo;REFORÇO QUE SE FAZ DA NE 029/2023 - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO (TI), PARA ATENDER AS NECESSIDADES DA CONTROLADORIA GERAL DO ESATDO - REF.
2023NE0000095;2/2021;25/04/2023;18268,22;Ativo;Contratação de Empresa Especializada na prestação de serviços de Rede, compreendendo o ACESSO GERENCIADO A REDE MUNDIAL DE INTERNET, para atender a CGE/AM. Demais informações no Projeto Básico (SIGED)
2023NE0000101;3/2020;25/04/2023;2424,2;Ativo;Contratação de Serviços de Execução do Sistema de Protocolo SPROWEB, para atender a Controladoria Geral do Estado -CGE. Demais informações no Projeto Básico, páginas 32 a 35 - SIGED. TC: 003/2020 AD: 
2019NE00075;3/2017;25/03/2019;124006,32;Ativo;Contratação de empresa especializada em prestação de Serviços de TI, tipo DESENVOLVIMENTO DE SISTEMA DE INFORMAÇÃO, conforme projeto básico.
2019NE00074;3/2017;25/03/2019;10179,54;Ativo;"Contratação de empresa especializada em prestação de Serviços de TI, tipo LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO - GESTOR DE CONTEÚDO WEB; e LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO - PORTAL DA TRANSP"
2019NE00077;1/2018;25/03/2019;3887,41;Ativo;Contratação de empresa especializada na prestação de serviços de Rede, compreendendo o acesso gerenciado à internet através da Rede de Governo, para a CONTROLADORIA-GERAL DO ESTADO.
2018NE00221;3/2017;24/08/2018;15577,9;Ativo;Complementação ao Termo de Contrato nº 003/2017-CGE ref. Contratação de empresa especializada na prestação de serviços de Tecnologia da Informação (TI), para atender as necessidades da Controladoria-G
2024NE0000136;2/2021;24/04/2024;15351,96;Ativo;Contratação de Empresa Especializada na prestação de serviços de Rede, compreendendo o ACESSO GERENCIADO A REDE MUNDIAL DE INTERNET, para atender a CGE/AM. Demais informações no Projeto Básico (SIGED)
2024NE0000135;1/2023;24/04/2024;47748,88;Ativo;Contratação de empresa especializada na prestação de serviços de Tecnologia da Informação (TI), para atender as necessidades da Controladoria-Geral do Estado - CGE. Demais informações no Projeto Básic
2017NE00056;2/2013;24/02/2017;447,86;Ativo;DESPESA DE EXERCÍCIO ANTERIOR - REF. 01 DIA DO CONTRATO 2/2013 - ACESSO A INTERNET, MÊS 01/2016
2022NE0000302;;23/12/2022;350,35;Ativo;ANULAÇÃO TOTAL DO SALDO DO 2º TA AO CONTRATO Nº 003/2020-CGE, PRODAM S.A. ENCERRAMENTO DO EXERCÍCIO 2022. DECRETO Nº 46.621 DE 11/11/2022.
2022NE0000301;;23/12/2022;32,25;Ativo;ANULAÇÃO TOTAL DO SALDO DO 1º TA AO CONTRATO Nº 003/2020-CGE, PRODAM S.A. ENCERRAMENTO DO EXERCÍCIO 2022. DECRETO Nº 46.621 DE 11/11/2022.
2022NE0000303;;23/12/2022;1970,13;Ativo;ANULAÇÃO TOTAL DO SALDO DO 4º TA AO CONTRATO Nº 003/2017-CGE, PRODAM S.A. ENCERRAMENTO DO EXERCÍCIO 2022. DECRETO Nº 46.621 DE 11/11/2022.
2022NE0000251;3/2020;23/11/2022;1167,84;Ativo;Contratação de Serviços de Execução do Sistema de Protocolo SPROWEB, para atender a Controladoria Geral do Estado - CGE. (Conforme Projeto Básico)
2020NE00264;1/2018;23/11/2020;1015,5;Ativo;REFORÇO DA NE 216-2020, REFERENTE AO 2º TA AO CTA Nº 001/2018-CGE (COMPLEMENTO)
2020NE00263;;23/11/2020;1015,5;Ativo;ANULAÇÃO PARCIAL DA NE 210-2020, PARA CORREÇÃO
