Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
DETRAN;Execução de sistemas;022/2014;128081;01/2021;417.156,81;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128080;01/2021;92.347,09;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;025/2014;128075;01/2021;26.634,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128079;01/2021;21.947,41;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Acesso Gerenciado à Rede Mundial;027/2014;127483;01/2021;15.808,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Suporte Técnico em Sistemas de Informação;025/2014;128140;02/2021;39.951,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;017/2015;128145;02/2021;87.153,24;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Fornecimento de circuito de transmissão de dados;027/2014;128142;02/2021;19.372,79;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;017/2015;128144;02/2021;91.206,45;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Acesso Gerenciado à Rede Mundial;027/2014;127484;02/2021;15.808,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;025/2014;128138;02/2021;26.634,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128133;02/2021;82.316,86;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128135;02/2021;22.119,75;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;025/2014;128160;03/2021;26.634,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128168;03/2021;427.976,04;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128169;03/2021;90.451,28;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;017/2015;128165;03/2021;51.635,24;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Fornecimento de circuito de transmissão de dados;027/2014;128156;03/2021;19.372,79;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;017/2015;128166;03/2021;105.884,10;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Suporte Técnico em Sistemas de Informação;025/2014;128159;03/2021;39.951,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Manutenção Evolutiva de Sistemas;025/2014;128171;03/2021;36.954,68;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128167;03/2021;18.801,33;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Acesso Gerenciado à Rede Mundial;027/2014;127485;03/2021;15.808,00;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Execução de sistemas;022/2014;128134;02/2021;405.008,37;1597 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;006/2021;128770;11/2021;26.634,00;1567 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;129515;12/2021;371.260,32;1541 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;006/2021;129613;12/2021;26.634,00;1535 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Suporte Técnico em Sistemas de Informação;006/2021;129612;12/2021;39.951,00;1535 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Licença de uso de sistemas de informação;004/2016;130540;02/2022;106.891,21;1486 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Licença de uso de sistemas de informação;004/2016;131182;03/2022;106.891,21;1456 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Licença de uso de sistemas de informação;004/2016;131912;04/2022;106.891,21;1424 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Licença de uso de sistemas de informação;004/2016;132600;05/2022;106.891,21;1396 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Licença de uso de sistemas de informação;004/2016;133362;06/2022;305.403,49;1366 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;134318;07/2022;394.871,52;1326 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;134317;07/2022;585.212,00;1326 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;134316;07/2022;33.426,03;1326 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;006/2021;134418;07/2022;26.634,00;1324 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Suporte Técnico em Sistemas de Informação;006/2021;134419;07/2022;39.951,00;1324 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Licença de uso de sistemas de informação;071/2022;134497;07/2022;260.000,00;1323 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Hospedagem de Servidores;006/2021;134801;08/2022;34.260,20;1304 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Fornecimento de circuito de transmissão de dados;006/2021;134804;08/2022;26.439,63;1304 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Acesso Gerenciado à Rede Mundial;006/2021;134802;08/2022;15.808,00;1304 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Suporte Técnico em Sistemas de Informação;006/2021;135063;08/2022;39.951,00;1294 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;006/2021;135064;08/2022;26.634,00;1294 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;135059;08/2022;590.156,60;1294 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Licença de uso de sistemas de informação;071/2022;135065;08/2022;260.000,00;1294 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;135060;08/2022;395.711,04;1294 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Fornecimento de circuito de transmissão de dados;006/2021;135490;09/2022;26.439,63;1274 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Hospedagem de Servidores;006/2021;135487;09/2022;34.260,20;1274 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Acesso Gerenciado à Rede Mundial;006/2021;135488;09/2022;15.808,00;1274 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;006/2021;135860;09/2022;26.634,00;1261 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Suporte Técnico em Sistemas de Informação;006/2021;135861;09/2022;39.951,00;1261 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;135863;09/2022;585.782,60;1261 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;135864;09/2022;417.036,48;1261 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Consultoria em informática;012/2021;135858;09/2022;16.469,04;1261 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Desenvolvimento de Sistemas de Informação;012/2021;135857;09/2022;26.272,04;1261 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Fornecimento de circuito de transmissão de dados;006/2021;136195;10/2022;26.439,63;1242 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Acesso Gerenciado à Rede Mundial;006/2021;136193;10/2022;15.808,00;1242 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Hospedagem de Servidores;006/2021;136192;10/2022;34.260,20;1242 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;136425;10/2022;593.876,40;1232 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;006/2021;136421;10/2022;26.634,00;1232 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Suporte Técnico em Sistemas de Informação;006/2021;136422;10/2022;39.951,00;1232 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Software como Serviço;010/2021;136423;10/2022;415.087,20;1232 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Fornecimento de circuito de transmissão de dados;006/2021;136866;11/2022;26.439,63;1212 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Acesso Gerenciado à Rede Mundial;006/2021;136864;11/2022;15.808,00;1212 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Hospedagem de Servidores;006/2021;136863;11/2022;34.260,20;1212 dias;0,00;Suspenso;TramitarReverter Status
DETRAN;Assessoria Técnica em Informática;006/2021;137097;11/2022;26.634,00;1200 dias;0,00;Suspenso;TramitarReverter Status
