numero;contrato;data_emissao;valor;situacao;descricao
2020NE01448;;31/12/2020;72315,24;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01449;;31/12/2020;1423,86;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01450;;31/12/2020;6122,79;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01451;;31/12/2020;468,37;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01442;;31/12/2020;2515,9;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01443;;31/12/2020;5612,08;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01444;;31/12/2020;41972,88;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01445;;31/12/2020;9978,15;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01446;;31/12/2020;50730,71;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
2020NE01447;;31/12/2020;2054,82;Ativo;Em atendimento a Comunicação nº 14 de 16/11/2020 da Secretaria Estadual de Fazenda - SEFAZ, faz-se a anulação dos saldos de empenhos por estimativa que não tenham fatura correspondente, procedimento a
