id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
165623;60537;10/2021;12/2025;727346,0;Emitida;COMPLETA;105
164005;58947;10/2021;10/2025;719677,7;Emitida;COMPLETA;105
164000;58948;296/2025;09/2025;630582,35;Emitida;COMPLETA;2
163999;58949;296/2025;10/2025;630582,35;Emitida;COMPLETA;7
164621;59663;296/2025;11/2025;630582,35;Emitida;COMPLETA;0
165497;60301;296/2025;12/2025;630582,35;Emitida;COMPLETA;2
166089;423;3/2026;01/2026;630582,35;Emitida;COMPLETA;6
137917;34477;10/2021;12/2022;601527,4;Emitida;FORTE;105
136425;33082;10/2021;10/2022;593876,4;Emitida;COMPLETA;105
135059;31682;10/2021;08/2022;590156,6;Emitida;COMPLETA;105
135863;32446;10/2021;09/2022;585782,6;Emitida;COMPLETA;105
134317;30955;10/2021;07/2022;585212,0;Emitida;COMPLETA;105
162973;57984;10/2021;09/2025;481179,03;Parcialmente Paga;COMPLETA;105
164006;58946;10/2021;10/2025;454740,9;Emitida;COMPLETA;105
165621;60535;10/2021;12/2025;440294,97;Emitida;COMPLETA;105
128168;25043;22/2014;03/2021;427976,04;Emitida;COMPLETA;30
128081;25016;22/2014;01/2021;417156,81;Emitida;COMPLETA;30
135864;32447;10/2021;09/2022;417036,48;Emitida;FORTE;105
136423;33080;10/2021;10/2022;415087,2;Emitida;COMPLETA;105
128134;25036;22/2014;02/2021;405008,37;Emitida;FORTE;30
135060;31681;10/2021;08/2022;395711,04;Emitida;COMPLETA;105
134318;30954;10/2021;07/2022;394871,52;Emitida;COMPLETA;105
137918;34478;10/2021;12/2022;391817,76;Emitida;COMPLETA;105
129515;26309;10/2021;12/2021;371260,32;Emitida;COMPLETA;105
130540;27118;4/2016;02/2022;305403,49;Parcialmente Paga;COMPLETA;98
131182;27929;4/2016;03/2022;305403,49;Parcialmente Paga;COMPLETA;98
131912;28451;4/2016;04/2022;305403,49;Parcialmente Paga;COMPLETA;98
132600;29253;4/2016;05/2022;305403,49;Parcialmente Paga;COMPLETA;98
133362;29800;4/2016;06/2022;305403,49;Emitida;COMPLETA;98
134497;31111;71/2022;07/2022;260000,0;Emitida;COMPLETA;5
