numero;contrato;data_emissao;valor;situacao;descricao
2023NE0002004;32/2023;31/07/2023;25746,74;Ativo;Contrato nº 32/2023, a ser celebrado entre Defensoria Pública do Estado do Amazonas-DPE/AM e a PRODAM - Processamento de Dados Amazonas S.A. Controle de cadastro de pessoal (Estagiários).
2023NE02004;32/2023;31/07/2023;25746,74;Ativo;PRODAM RH - ESTAGIARIOS
2014NE00121;4/2014;31/03/2014;403412,58;Ativo;Contrato No. 4/2014 - Hospedagem de servidor, Internet, Firewall e Transmis. De dados
2014NE00120;5/2014;31/03/2014;29410,75;Ativo;Contrato No. 5/2014 - CFPP - Cad.e Folha de Pagto. De Pessoal
2023NE0002341;32/2023;30/08/2023;21497,04;Ativo;Contratação de empresa para prestação de Serviço de Implantação de Sistemas de Informação e Execução de Sistemas PRODAM-RH.
2023NE0002338;;30/08/2023;25746,74;Ativo;CANCELAMENTO DA NOTA DE EMPENHO Nº 2004/2023 EM RAZÃO DE AJUSTE NO CRONOGRAMA DE PAGAMENTO DO CONTRATO Nº 32/2023. CONFORME DESPACHO Nº 2061/2023-DACC-DPE/AM - PROC. SEI Nº 5556-5/23.
2021NE0000265;2/2018;30/04/2021;39440,86;Ativo;alterar a representação legal do FUNDO ESPECIAL DA DEFENSORIA PÚBLICA DO ESTADO DO AMAZONAS ¿ FUNDPAM, CNPJ nº 19.439.861/0001-07, UG. 24701, no 4º Termo Aditivo ao Contrato nº 002/2018-DPE/AM, que pa
2024NE0001466;;29/11/2024;159,09;Ativo;Cancelamento de saldo de empenho da NE n.º 734/2024, conforme despacho n° 2377/2024-DACC-DPE/AM (processo n° 10.756-1), bem como o Decreto n° 50.522, datado de 22 de outubro de 2024 (DOE), que dispõe 
2014NE00376;4/2014;29/08/2014;201706,29;Ativo;Contrato No. 4/2014 - Hospedagem de servidor, Internet, Firewall e Transmis. De dados
2021NE0000263;11/2019;29/04/2021;14535,99;Ativo;alterar a representação legal do FUNDO ESPECIAL DA DEFENSORIA PÚBLICA DO ESTADO DO AMAZONAS ¿ FUNDPAM, CNPJ Nº 19.439.861/0001-07, UG 24701, no Contrato n° 011/2019 ¿ DPE/AM, que passará a ser exercid
2025NE0001975;17/2024;27/11/2025;3421,42;Ativo;1º Termo Aditivo ao Contrato nº 17/2024 celebrado entre a Defensoria Públicado Estado do Amazonase a empresa Prodam - Processamentode Dados Amazonas S.A. AJURI
2025NE0000603;6/2025;27/03/2025;99641,46;Ativo;Contrato n.º 06/2025/DPE-AM a ser celebrado entre a Defensoria Pública do Estado do Amazonas-DPE/AM, e a Empresa Prodam Processamento de Dados Amazonas-Prodam/AM.
