Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
EASYTECH;Fornecimento de Espaço em Rack;001/2020;159238;05/2025;808,35;301 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;160064;06/2025;242,51;268 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;160345;06/2025;613,94;262 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;160887;07/2025;877,06;232 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;161682;08/2025;877,06;209 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;162467;09/2025;877,06;177 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;163289;10/2025;877,06;143 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;164121;11/2025;877,06;115 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;165169;12/2025;877,06;87 dias;0,00;Pendente;
EASYTECH;Fornecimento de Espaço em Rack;001/2020;165749;01/2026;877,06;42 dias;0,00;Pendente;
