id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
160887;56271;1/2020;07/2025;877,06;Emitida;COMPLETA;136
161682;56714;1/2020;08/2025;877,06;Emitida;COMPLETA;136
162467;57539;1/2020;09/2025;877,06;Emitida;COMPLETA;136
163289;58412;1/2020;10/2025;877,06;Emitida;FORTE;136
164121;59215;1/2020;11/2025;877,06;Emitida;COMPLETA;136
165169;60085;1/2020;12/2025;877,06;Emitida;COMPLETA;136
165749;653;1/2020;01/2026;877,06;Emitida;COMPLETA;136
159238;54359;1/2020;05/2025;808,35;Emitida;COMPLETA;136
160345;55458;1/2020;06/2025;613,94;Emitida;COMPLETA;136
160064;55202;1/2020;06/2025;242,51;Emitida;FORTE;136
