Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;139493;03/2023;2.711,55;1093 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;139492;03/2023;5.896,83;1093 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;139491;03/2023;14.017,20;1093 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;140002;03/2023;1.216,67;1079 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;140001;02/2023;1.009,43;1079 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;003/2020;140170;04/2023;116,78;1060 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;140174;04/2023;2.711,55;1060 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;140718;04/2023;1.211,73;1051 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso à MetroMao;002/2020;140168;04/2023;2.676,54;1051 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;140173;04/2023;5.896,83;1051 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;002/2020;140719;04/2023;7.469,76;1051 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;140720;04/2023;14.017,20;1051 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso à MetroMao;002/2020;140904;05/2023;2.676,54;1032 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;140909;05/2023;5.896,83;1032 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;140910;05/2023;2.711,55;1032 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;002/2020;140905;05/2023;7.469,76;1032 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;140908;05/2023;14.017,20;1032 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;141368;05/2023;2.146,36;1022 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso à MetroMao;002/2020;141647;06/2023;2.676,54;995 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Licença de uso de sistemas de informação;004/2020;141650;06/2023;2.440,00;995 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;141652;06/2023;5.896,83;995 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;141653;06/2023;2.711,55;995 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;002/2020;142076;06/2023;7.469,76;995 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;142077;06/2023;14.017,20;995 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;142183;06/2023;1.032,77;989 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;142391;07/2023;2.711,55;969 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;142390;07/2023;5.896,83;969 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;142389;07/2023;14.017,20;969 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;142946;07/2023;999,89;960 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso à MetroMao;002/2020;143184;08/2023;2.681,10;940 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Licença de uso de sistemas de informação;004/2020;143186;08/2023;2.444,15;940 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;143189;08/2023;2.711,55;940 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;143188;08/2023;5.896,83;940 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;002/2020;143183;08/2023;7.950,40;940 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;143187;08/2023;14.017,20;940 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;143742;08/2023;1.006,21;926 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;002/2020;143943;09/2023;7.950,40;905 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;143947;09/2023;14.017,20;905 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso à MetroMao;002/2020;143944;09/2023;2.681,10;904 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Licença de uso de sistemas de informação;004/2020;143946;09/2023;2.444,15;904 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;143949;09/2023;2.711,55;904 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;143948;09/2023;5.896,83;904 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;144445;09/2023;1.011,21;898 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;002/2020;144717;10/2023;7.950,40;874 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso Gerenciado à Rede Mundial;026/2021;144721;10/2023;14.017,20;874 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso à MetroMao;002/2020;144718;10/2023;2.681,10;869 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Licença de uso de sistemas de informação;004/2020;144720;10/2023;2.444,15;869 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Fornecimento de circuito de transmissão de dados;026/2021;144722;10/2023;5.896,83;869 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Gestão de Segurança e Ativos de Rede;026/2021;144723;10/2023;2.711,55;869 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Execução de sistemas;026/2023;145197;10/2023;1.001,81;867 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Acesso à MetroMao;002/2020;145407;11/2023;2.681,10;847 dias;0,00;Suspenso;TramitarReverter Status
FAAR;Licença de uso de sistemas de informação;004/2020;145409;11/2023;2.444,15;847 dias;0,00;Suspenso;TramitarReverter Status
