numero;contrato;data_emissao;valor;situacao;descricao
2020NE00284;;31/12/2020;10204,74;Ativo;ANULAÇÃO TOTAL DA NE Nº 056/2020 , CONFORME DECRETO Nº 43.042 DE 18 DE NOVEMBRO DE 2020 QUE DISPÕE SOBRE NORMAS E PROCEDIMENTOS PARA O ENCERRAMENTO DA EXECUÇÃO ORÇAMENTÁRIA, FINANCEIRA E CONTÁBIL DE 2
2020NE00286;;31/12/2020;2566,26;Ativo;ANULAÇÃO PARCIAL DA NE Nº 055/2020, CONFORME DECRETO Nº 43.042 DE 18 DE NOVEMBRO DE 2020 QUE DISPÕE SOBRE NORMAS E PROCEDIMENTOS PARA O ENCERRAMENTO DA EXECUÇÃO ORÇAMENTÁRIA, FINANCEIRA E CONTÁBIL DE 
2024NE0000484;26/2021;31/10/2024;41105,36;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR. PARECER N. 377/2023 – ASSJUR/FAAR PARECER 
2023NE0000501;26/2021;31/10/2023;17085,03;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR. PARECER N. 377/2023 – ASSJUR/FAAR PARECER 
2024NE0000265;26/2021;31/07/2024;39593,16;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR. PARECER N. 377/2023 – ASSJUR/FAAR PARECER 
2022NE0000572;;30/11/2022;4662,74;Ativo;Contratação de empresa especializada em Serviço de Execução de sistemas PRODAM-RH, para manter o cadastro dos servidores e Folha de Pagamento de Pessoal, processar folhas de pagamento e fornecer relat
2024NE0000475;26/2021;30/10/2024;39593,16;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR. PARECER N. 377/2023 – ASSJUR/FAAR PARECER 
2023NE0000472;3/2020;30/10/2023;5849,15;Ativo;Contratação de empresa especializada no serviço de execução de Sistema de Protocolo em plataforma WEB (SPROWEB). PARECER Nº 143/2023 – ASSJUR/FAAR TC: 0003/2020 AD: 03.
2024NE0000318;4/2020;30/09/2024;4888,3;Ativo;Contratação de empresa para prestação de serviço de hospedagem do site, compreendendo o armazenamento do site desta FAAR na infraestrutura tecnológica, para atender as necessidades desta FAAR. PARECER
2024NE0000317;2/2020;30/09/2024;18603,6;Ativo;Contratação de empresa especializada em serviços de Infraestrutura de TI para acesso e manutenção, através da Rede Metropolitana de Manaus através de fibra ótica, incluindo o serviço de Acesso à Inter
2021NE0000196;;30/06/2021;17681,14;Ativo;Anulação total do saldo da Ne nº. 186/21, para ajustes na descrição.
2021NE0000198;2/2020;30/06/2021;17681,14;Ativo;1º Termo Aditivo ao Contrato 002.2020 - Serviços de infraestrutura de TI, Internet e Metromao
2022NE0000363;26/2021;29/08/2022;164431,28;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM INSTALAÇÃO DE LINKS DE INTERNET, PARA QUE POSSA INTERLIGAR NOSSOS ESPAÇOS ESPORTIVOS, DE RESPONSABILIDADE DESTA FUNDAÇÃO.
2025NE0000237;26/2021;29/07/2025;41105,36;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR. PARECER N. 377/2023 – ASSJUR/FAAR PARECER 
2021NE0000188;4/2020;29/06/2021;4251,98;Ativo;Contratação de empresa especializada no serviço de disponibilização de Gestor de Conteúdo WEB, para publicação de informações via Website, de acordo com o padrão de comunicação visual do Governo do Es
2021NE0000020;;29/01/2021;5745,6;Ativo;Contratação de empresa especializada em Serviço de Execução de sistemas PRODAM-RH, para manter o cadastro dos servidores e Folha de Pagamento de Pessoal, processar folhas de pagamento e fornecer relat
2023NE0000600;;28/12/2023;1493,82;Ativo;Contratação de empresa especializada para execução do Sistema PRODAMRH - Cadastro e Folha de Pagamento de Pessoal.
2025NE0000267;7/2025;28/08/2025;19852,22;Ativo;Contratação da PRODAM – Processamento de Dados Amazonas S/A, referente a prestação de serviços de METROMAO, incluindo locação de equipamentos e suporte, fornecimento de acesso gerenciado à internet po
2022NE0000283;2/2020;28/06/2022;20292,6;Ativo;Contratação de empresa especializada em serviços de Infraestrutura de TI para acesso e Manutenção, através da Rede Metropolitana de Manaus REPAM/MetroMao por meio de fibra ótica, incluindo o serviço d
2022NE00283;2/2020;28/06/2022;20292,6;Ativo;Cobertura Financeira 2022
2022NE0000279;3/2020;28/06/2022;2335,68;Ativo;Contratação de empresa especializada no serviço de execução de Sistema de Protocolo em plataforma WEB. (SPROWEB).
2022NE00281;4/2020;28/06/2022;4880,0;Ativo;Cobertura Financeira 2022
2022NE0000281;4/2020;28/06/2022;4880,0;Ativo;Contratação de empresa especializada no serviço de disponibilização de Gestor de Conteúdo WEB, para publicação de informações via Website, de acordo com o padrão de comunicação visual do Governo do Es
2022NE00279;3/2020;28/06/2022;2335,68;Ativo;Cobertura Financeira 2022
2021NE0000187;3/2020;28/06/2021;2335,68;Ativo;Contratação de empresa especializada no serviço de execução de Sistema de Protocolo em plataforma WEB. (SPROWEB).
2021NE0000186;;28/06/2021;17681,14;Ativo;Contratação de empresa especializada em serviços de Infraestrutura de TI para acesso e Manutenção, através da Rede Metropolitana de Manaus REPAM/MetroMao por meio de fibra ótica, incluindo o serviço d
2021NE00187;3/2020;28/06/2021;2335,68;Ativo;1º Termo Aditivo ao Contrato 003/2020 - SPROWEB
2025NE0000505;;27/11/2025;29778,33;Ativo;Contratação da PRODAM Processamento de Dados Amazonas S/A, referente a prestação de serviços de METROMAO, incluindo locação de equipamentos e suporte, fornecimento de acesso gerenciado à internet por 
2025NE0000504;;27/11/2025;19852,22;Ativo;Contratação da PRODAM Processamento de Dados Amazonas S/A, referente a prestação de serviços de METROMAO, incluindo locação de equipamentos e suporte, fornecimento de acesso gerenciado à internet por 
2025NE0000506;7/2025;27/11/2025;49630,55;Ativo;Contratação da PRODAM – Processamento de Dados Amazonas S/A, referente a prestação de serviços de METROMAO, incluindo locação de equipamentos e suporte, fornecimento de acesso gerenciado à internet po
2025NE0000515;;27/11/2025;42350,56;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR.
2025NE0000512;9/2025;27/11/2025;5497,68;Ativo;contratação, mediante dispensa de licitação, de pessoa jurídica especializada na prestação de serviços de execução e manutenção do sistema SPROWEB.
2025NE0000513;;27/11/2025;20552,68;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR
2025NE0000514;26/2021;27/11/2025;20552,68;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR. PARECER N. 377/2023 – ASSJUR/FAAR PARECER 
2025NE0000516;26/2021;27/11/2025;42350,56;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta FAAR. PARECER N. 377/2023 – ASSJUR/FAAR PARECER 
2025NE0000510;;27/11/2025;1374,42;Ativo;Contratação, mediante dispensa de licitação, de pessoa jurídica especializada na prestação de serviços de execução e manutenção do sistema SPROWEB.
2025NE0000511;;27/11/2025;4123,26;Ativo;contratação, mediante dispensa de licitação, de pessoa jurídica especializada na prestação de serviços de execução e manutenção do sistema SPROWEB
2023NE0000469;3/2020;27/10/2023;1167,84;Ativo;Contratação de empresa especializada no serviço de execução de Sistema de Protocolo em plataforma WEB. (SPROWEB). PARECER Nº 134/2022 – ASSJUR/FAAR TC: 003/2020 AD: 02.
2023NE0000207;3/2020;27/06/2023;1169,83;Ativo;Contratação de empresa especializada no serviço de execução de Sistema de Protocolo em plataforma WEB (SPROWEB). PARECER Nº 143/2023 – ASSJUR/FAAR TC: 0003/2020 AD: 03.
2021NE0000107;;27/04/2021;7660,8;Ativo;116142 - (ID-116142) EXECUÇÃO DE SISTEMA DE INFORMAÇÃO, Descrição: Contratação de empresa especializada para execução do Sistema PRODAMRH - Cadastro e Folha de Pagamento de Pessoal. MARCA: sem marca T
2021NE0000106;;27/04/2021;2966,0;Ativo;115747 - (ID-115747) EXECUÇÃO DE SISTEMA DE INFORMAÇÃO, Descrição: Contratação de empresa especializada para execução de sistema de protocolo web (SPROWEB). MARCA: sem marca Termo de Contrato Nº 003/2
2021NE0000103;;27/04/2021;17967,2;Ativo;115752 - (ID-115752) SERVIÇO DE TRANSMISSÃO DE DADOS, Descrição: Contratação de empresa especializada para fornecimento de circuito de transmissão de dados para conexão cliente/fornecedor. MARCA: sem 
2021NE0000108;;27/04/2021;3401,58;Ativo;119820 - (ID-119820) HOSPEDAGEM DE SISTEMA DE INFORMAÇÃO, Descrição: Contratação de empresa especializada para prestação de serviço de hospedagem de Website, conforme Projeto Básico. MARCA: sem marca 
2022NE0000412;26/2021;26/10/2022;22625,58;Ativo;Contratação de empresa especializada em instalação de links de internet, para que possa interligar nossos espaços esportivos de responsabilidades desta Fundação Amazonas de Alto Rendimento -FAAR
2022NE00412;26/2021;26/10/2022;22625,58;Ativo;1º TA ao Contrato 026/2021 - Internet e Link
2021NE0000096;;26/04/2021;3401,58;Ativo;ANULAÇÃO DA NOTA DE EMPENHO DE REFORÇO NR 67 EM RAZÃO DA DESCRIÇÃO ESTAR INCOMPLETA.
2021NE0000095;;26/04/2021;7660,8;Ativo;ANULAÇÃO DA NOTA DE EMPENHO DE REFORÇO NR 66 EM RAZÃO DA DESCRIÇÃO ESTAR INCOMPLETA.
2021NE0000092;;26/04/2021;17967,2;Ativo;ANULAÇÃO DA NOTA DE EMPENHO DE REFORÇO NR 63 EM RAZÃO DA DESCRIÇÃO ESTAR INCOMPLETA.
