id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
139491;35978;26/2021;03/2023;14017,2;Emitida;COMPLETA;28
140720;140720;26/2021;04/2023;14017,2;Emitida;FORTE;28
140908;140908;26/2021;05/2023;14017,2;Emitida;FORTE;28
142077;142077;26/2021;06/2023;14017,2;Emitida;FORTE;28
142389;142389;26/2021;07/2023;14017,2;Emitida;FORTE;28
143187;143187;26/2021;08/2023;14017,2;Emitida;FORTE;28
143947;143947;26/2021;09/2023;14017,2;Emitida;FORTE;28
144721;144721;26/2021;10/2023;14017,2;Emitida;FORTE;28
145873;145873;26/2021;11/2023;11188,2;Emitida;FORTE;28
146171;146171;26/2021;12/2023;11188,2;Emitida;FORTE;28
143183;143183;2/2020;08/2023;7950,4;Emitida;FORTE;127
143943;143943;2/2020;09/2023;7950,4;Emitida;FORTE;127
144717;144717;2/2020;10/2023;7950,4;Emitida;FORTE;127
145406;145406;2/2020;11/2023;7950,4;Emitida;FORTE;127
140719;140719;2/2020;04/2023;7469,76;Emitida;FORTE;127
140905;140905;2/2020;05/2023;7469,76;Emitida;FORTE;127
142076;142076;2/2020;06/2023;7469,76;Emitida;FORTE;127
146165;146165;2/2020;12/2023;6620,7;Emitida;FORTE;127
164363;59161;358/2025;07/2025;6500,0;Emitida;COMPLETA;1
164365;59165;358/2025;08/2025;6500,0;Emitida;COMPLETA;1
162783;57831;26/2021;09/2025;6122,1;Emitida;COMPLETA;28
139492;35977;26/2021;03/2023;5896,83;Emitida;COMPLETA;28
140173;37129;26/2021;04/2023;5896,83;Emitida;COMPLETA;28
140909;37341;26/2021;05/2023;5896,83;Emitida;COMPLETA;28
141652;38357;26/2021;06/2023;5896,83;Emitida;COMPLETA;28
142390;38704;26/2021;07/2023;5896,83;Emitida;COMPLETA;28
143188;39397;26/2021;08/2023;5896,83;Emitida;COMPLETA;28
143948;40256;26/2021;09/2023;5896,83;Emitida;COMPLETA;28
144722;41064;26/2021;10/2023;5896,83;Emitida;COMPLETA;28
145871;41771;26/2021;11/2023;5896,83;Emitida;COMPLETA;28
146169;42206;26/2021;12/2023;5896,83;Emitida;FORTE;28
164364;59162;358/2025;07/2025;3426,11;Emitida;COMPLETA;1
164366;59164;358/2025;08/2025;3426,11;Emitida;COMPLETA;1
164102;59052;356/2025;08/2025;2784,24;Emitida;COMPLETA;1
164101;59053;356/2025;07/2025;2784,24;Emitida;COMPLETA;1
139493;35976;26/2021;03/2023;2711,55;Emitida;COMPLETA;28
140174;36648;26/2021;04/2023;2711,55;Emitida;COMPLETA;28
140910;37342;26/2021;05/2023;2711,55;Emitida;COMPLETA;28
141653;38358;26/2021;06/2023;2711,55;Emitida;COMPLETA;28
142391;38703;26/2021;07/2023;2711,55;Emitida;COMPLETA;28
143189;39396;26/2021;08/2023;2711,55;Emitida;COMPLETA;28
143949;40255;26/2021;09/2023;2711,55;Emitida;FORTE;28
144723;41065;26/2021;10/2023;2711,55;Emitida;COMPLETA;28
145872;41770;26/2021;11/2023;2711,55;Emitida;COMPLETA;28
146170;42207;26/2021;12/2023;2711,55;Emitida;FORTE;28
143184;39394;2/2020;08/2023;2681,1;Emitida;COMPLETA;127
143944;40253;2/2020;09/2023;2681,1;Emitida;FORTE;127
144718;41062;2/2020;10/2023;2681,1;Emitida;COMPLETA;127
145407;41454;2/2020;11/2023;2681,1;Emitida;COMPLETA;127
146166;42204;2/2020;12/2023;2681,1;Emitida;FORTE;127
140168;37128;2/2020;04/2023;2676,54;Emitida;COMPLETA;127
140904;37339;2/2020;05/2023;2676,54;Emitida;FORTE;127
141647;38355;2/2020;06/2023;2676,54;Emitida;COMPLETA;127
143186;39395;4/2020;08/2023;2444,15;Emitida;COMPLETA;76
143946;40254;4/2020;09/2023;2444,15;Emitida;FORTE;76
144720;41063;4/2020;10/2023;2444,15;Emitida;COMPLETA;76
145409;41455;4/2020;11/2023;2444,15;Emitida;COMPLETA;76
146168;42205;4/2020;12/2023;2444,15;Emitida;FORTE;76
141650;38356;4/2020;06/2023;2440,0;Emitida;COMPLETA;76
141368;37758;26/2023;05/2023;2146,36;Emitida;COMPLETA;1
164361;59160;357/2025;07/2025;1374,42;Emitida;COMPLETA;1
164362;59163;357/2025;08/2025;1374,42;Emitida;COMPLETA;1
140002;36491;26/2023;03/2023;1216,67;Emitida;COMPLETA;1
140718;37120;26/2023;04/2023;1211,73;Emitida;COMPLETA;1
140170;36646;3/2020;04/2023;1167,84;Parcialmente Paga;COMPLETA;91
142183;38453;26/2023;06/2023;1032,77;Emitida;COMPLETA;1
145882;41781;26/2023;11/2023;1011,63;Emitida;FORTE;1
144445;40508;26/2023;09/2023;1011,21;Emitida;COMPLETA;1
140001;36492;26/2023;02/2023;1009,43;Emitida;FORTE;1
143742;39870;26/2023;08/2023;1006,21;Emitida;COMPLETA;1
145197;41169;26/2023;10/2023;1001,81;Emitida;COMPLETA;1
142946;39165;26/2023;07/2023;999,89;Emitida;FORTE;1
