Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
FCECON;Licença de uso de sistemas de informação;018/2019;151371;07/2024;170,61;605 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Licença de uso de sistemas de informação;018/2019;160893;07/2025;2.047,34;232 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Licença de uso de sistemas de informação;022/2025;166119;01/2026;839,65;42 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Suporte Técnico em Sistemas de Informação;026/2025;166120;01/2026;1.124,56;42 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Hospedagem de Servidores;026/2025;166123;01/2026;45.964,47;42 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Fornecimento de circuito de transmissão de dados;026/2025;166121;01/2026;2.870,24;42 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Licença de uso de VPN;026/2025;166122;01/2026;369,62;42 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Acesso Gerenciado à Rede Mundial;025/2025;166458;11/2025;699,00;30 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Acesso Gerenciado à Rede Mundial;025/2025;166462;01/2026;6.990,00;30 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Fornecimento de circuito de transmissão de dados;025/2025;166463;01/2026;3.211,56;30 dias;0,00;Suspenso;TramitarReverter Status
FCECON;Fornecimento de circuito de transmissão de dados;025/2025;166459;11/2025;321,16;30 dias;0,00;Suspenso;TramitarReverter Status
