numero;contrato;data_emissao;valor;situacao;descricao
2022NE0001821;40/2020;31/10/2022;6095,63;Ativo;CONTRATAÇÃO DE PESSSOA JURIDICA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÃO, OBJETIVANDO A IMPLANTAÇÃO, CONFIGURAÇÃO DE ACESSO À REDE INTERNET, POR INTERMEDIO DE 1 LINK DEDICADO COM VE
2022NE0001820;18/2019;31/10/2022;1854,05;Ativo;CONTRATAÇÃO PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITE DA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO, TOMANDO AS ATUALIZAÇÕES DE NOTI
2022NE0001411;18/2019;31/08/2022;5001,78;Ativo;CONTRATAÇÃO PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITE DA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO, TOMANDO AS ATUALIZAÇÕES DE NOTI
2025NE0002446;18/2019;31/07/2025;338,66;Ativo;CONTRATAÇAO DE PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITEDA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO , TOMANDO AS ATUALIZAÇÕES DE NOTICIAS SOBRE O
2017NE00960;13/2015;31/05/2017;6065,0;Ativo;1º TERMO ADITIVO AO CONTRATO 013/2015. OBJETO DO ADITIVO: PRORROGAR O PRAZO DE VIGÊNCIA PARA MAIS 12 MESES. OBJETO DO CONTRATO: FORNECIMENTO DE 01(UM) LINK DE INTERNET. VIGÊNCIA: 28/09/2016 A 28/09/20
2017NE00928;13/2015;31/05/2017;6065,0;Ativo;1º TERMO ADITIVO AO CONTRATO 013/2015. OBJETO DO ADITIVO: PRORROGAR O PRAZO DE VIGÊNCIA PARA MAIS 12 MESES. OBJETO DO CONTRATO: FORNECIMENTO DE 01(UM) LINK DE INTERNET. VIGÊNCIA: 28/09/2016 A 28/09/20
2016NE00989;;31/03/2016;12130,0;Ativo;ANULAÇÃO TOTAL DA NOTA DE EMPENHO N.º 664/2016 PARA CORREÇÃO DA DATA DE EMPENHO.
2016NE00992;13/2015;31/03/2016;12130,0;Ativo;FORNECIMENTO DE 1(UM) LINK DE INTERNET DE 5MB/S (MEGABAYTE POR SEGUNDO) 7 DIAS POR SEMANA 24H POR DIA - REF AO CONTRATO 13/2015 - VIGENCIA: 28/09/2015 A 28/09/2016 - COMPETENCIA: JAN E FEV/2016
2024NE0002734;18/2023;30/11/2024;17313,21;Ativo;CONTRATAÇÃO PESSOA JURIDICA PARA SERVIÇOS DE HOSPEDAGEM EM INFRAESTRUTURA VIRTUALIZADA, TC: 0018/2023 AD: 01.
2024NE0002733;40/2020;30/11/2024;8332,63;Ativo;CONTRATAÇÃO DE PESSOA JURIDICA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÃO, OBJETIVANDO A IMPLANTAÇÃO, CONFIGURAÇÃO DE ACESSO À REDE INTERNET, POR INTERMEDIO DE 1 LINK DEDICADO COM VEL
2024NE0002730;18/2019;30/11/2024;4504,15;Ativo;CONTRATAÇAO DE PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITEDA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO , TOMANDO AS ATUALIZAÇÕES DE NOTICIAS SOBRE O
2024NE0002731;18/2019;30/11/2024;5732,55;Ativo;CONTRATAÇAO DE PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITEDA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO , TOMANDO AS ATUALIZAÇÕES DE NOTICIAS SOBRE O
2024NE0002736;18/2019;30/11/2024;169,33;Ativo;CONTRATAÇAO DE PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITEDA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO , TOMANDO AS ATUALIZAÇÕES DE NOTICIAS SOBRE O
2024NE0002728;40/2020;30/11/2024;15134,0;Ativo;CONTRATAÇÃO DE PESSOA JURIDICA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÃO, OBJETIVANDO A IMPLANTAÇÃO, CONFIGURAÇÃO DE ACESSO À REDE INTERNET, POR INTERMEDIO DE 1 LINK DEDICADO COM VEL
2023NE01043;21/2022;30/06/2023;19559,4;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA PARA A PRESTAÇÃO DE SERVIÇOS DE HOSPEDAGEM DE SERVIDOR EM NUVEM, EM AMBIENTE DEDICADO.
2023NE01042;18/2019;30/06/2023;1878,01;Ativo;Cobertura Financeira
2023NE01044;40/2020;30/06/2023;7567,0;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO, DE FORMA DEDICADA, DE SERVIÇO DE ACESSO À INTERNET POR FIBRA ÓPTICA.
2023NE0001042;18/2019;30/06/2023;1878,01;Ativo;CONTRATAÇAO DE PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITEDA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO , TOMANDO AS ATUALIZAÇÕES DE NOTICIAS SOBRE O
2023NE0001044;40/2020;30/06/2023;7567,0;Ativo;CONTRATAÇÃO DE PESSOA JURIDICA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÃO, OBJETIVANDO A IMPLANTAÇÃO, CONFIGURAÇÃO DE ACESSO À REDE INTERNET, POR INTERMEDIO DE 1 LINK DEDICADO COM VEL
2023NE0001043;21/2022;30/06/2023;19559,4;Ativo;CONTRATAÇÃO DE PESSOA JURIDICA para Prestação de Serviços de Hospedagem de servidor em nuvem, em ambiente dedicado, para comportar os sistemas da CONTRATANTE no ambiente de produção do Data Center da 
2014NE01239;18/2011;30/06/2014;528,35;Ativo;Contrato No. 18/2011 - Serviços Eventuais de Informatica
2025NE0001575;40/2020;30/05/2025;7567,0;Ativo;CONTRATAÇÃO DE PESSOA JURIDICA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÃO, OBJETIVANDO A IMPLANTAÇÃO, CONFIGURAÇÃO DE ACESSO À REDE INTERNET, POR INTERMEDIO DE 1 LINK DEDICADO COM VEL
2014NE01013;18/2011;30/05/2014;528,35;Ativo;Contrato No. 18/2011 - Serviços Eventuais de Informatica
2014NE01021;14/2014;30/05/2014;34368,9;Ativo;Contrato No. 14/2014
2025NE0001118;18/2019;30/04/2025;1878,01;Ativo;CONTRATAÇAO DE PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS EM MANUTENÇÃO E SUPORTE DE REFORMULAÇÃO DO SITEDA FCECON, MELHORANDO O GERENCIAMENTO DE CONTEUDO , TOMANDO AS ATUALIZAÇÕES DE NOTICIAS SOBRE O
2025NE0001119;18/2023;30/04/2025;19559,4;Ativo;CONTRATAÇÃO PESSOA JURIDICA PARA SERVIÇOS DE HOSPEDAGEM EM INFRAESTRUTURA VIRTUALIZADA, TC: 0018/2023 AD: 01.
2025NE0001120;40/2020;30/04/2025;7567,0;Ativo;CONTRATAÇÃO DE PESSOA JURIDICA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÃO, OBJETIVANDO A IMPLANTAÇÃO, CONFIGURAÇÃO DE ACESSO À REDE INTERNET, POR INTERMEDIO DE 1 LINK DEDICADO COM VEL
2014NE00208;79/2009;30/01/2014;4317,32;Ativo;Contrato No. 79/2009 - Acesso Internet/Comput.banda 1,536Mb,c/Ass.-MetroMao
