id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
166123;519;26/2025;01/2026;45964,47;Emitida;COMPLETA;7
166462;769;25/2025;01/2026;6990,0;Emitida;FORTE;5
166463;770;25/2025;01/2026;3211,56;Emitida;COMPLETA;5
166121;520;26/2025;01/2026;2870,24;Emitida;COMPLETA;7
166119;521;22/2025;01/2026;2717,66;Parcialmente Paga;COMPLETA;20
151371;46933;18/2019;07/2024;2047,34;Parcialmente Paga;COMPLETA;76
160893;56302;18/2019;07/2025;2047,34;Emitida;COMPLETA;76
166120;518;26/2025;01/2026;1124,56;Emitida;FORTE;7
166458;765;25/2025;11/2025;699,0;Emitida;COMPLETA;5
166122;517;26/2025;01/2026;369,62;Emitida;COMPLETA;7
166459;766;25/2025;11/2025;321,16;Emitida;COMPLETA;5
