numero;contrato;data_emissao;valor;situacao;descricao
2020NE01911;;31/12/2020;1,83;Ativo;Anulação do saldo da NE00819/2020, conforme Decreto nº 43.042/2020 - Encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
2020NE01910;;31/12/2020;249,22;Ativo;Anulação do saldo da NE00004/2020, conforme Decreto nº 43.042/2020 - Encerramento da execução orçamentária, financeira e contábil do exercício de 2020.
2019NE00921;1/2018;31/07/2019;49,18;Ativo;Referente ao CT nº 001/2018-FHAJ de serviço de confecção de páginas eletrônicas. Parcela referente à Janeiro/19. Troca de Fonte conforme solicitação do FES em 18/07/2019, NC nº 5954/19.
2023NE0000423;8/2022;31/03/2023;308,54;Ativo;Referente ao CT 008/2022-FHAJ, serviços de acesso à Internet banda larga, com Ip dedicado. Período: abril/2023 (parcial).
2017NE00274;P.144/2016;31/03/2017;3400,0;Ativo;Indenizações, Parecer Jurídico nº 39/2017-FHAJ, Termo de Ajuste de Contas nº 13/2017-FHAJ, referente a prestação de serviço de acesso gerenciado a rede mundial - por Mbps (de 1até 10 Mbps) - (5,000 x 
2017NE00275;P.144/2016;31/03/2017;3400,0;Ativo;Indenizações, Parecer Jurídico nº 40/2017-ASJUR/FHAJ, Termo de Ajuste de Contas nº 14/2017-FHAJ, referente a prestação de serviço de acesso gerenciado a rede mundial - por Mbps (de 1até 10 Mbps) - (5,
2016NE01325;;30/12/2016;11,57;Ativo;Anulação do saldo da NE 200/2016 em atendimento ao Aviso n. 02/2017 e Comunicação nr. 13 de 15/12/2016 - SEFAZ-AM
2016NE01311;;30/12/2016;1,72;Ativo;ANULAÇÃO PARCIAL DA NE 075/2016 PARA AJUSTE ORÇAMENTÁRIO, CONF. ORIENTAÇÃO SEFAZ-AM.
2021NE0001155;1/2018;30/08/2021;1678,44;Ativo;3º TA ao CT nº 001/2018-FHAJ de serviço de confecção de páginas eletrônicas. Período: Setembro/2021 (parcial).
2025NE0000386;8/2022;30/04/2025;9256,1;Ativo;Contratação de Empresa Especializada em serviços de acesso à Internet Banda Larga, com IP Dedicado, com Velocidade de 37Mbps, para atender à necessidades desta FHAJ, com reajuste em 23% para realinham
2025NE0000385;4/2024;30/04/2025;2717,66;Ativo;CONTRATAÇÃODE EMPRESA ESPECIALIZADA PARA O SERVIÇO DE CONFECÇÃO, DESENVOLVIMENTO E HOSPEDAGEM DE PÁGINA ELETRÔNICA E SITE INSTITUCIONAL PARA ATENDER A NECESSIDADES DA FUNDAÇÃO HOSPITAL ADRIANO JORGE –
2019NE00338;1/2018;30/04/2019;1623,56;Ativo;1º TA ao CT nº 001/2018-FHAJ de serviço de confecção de páginas eletrônicas.
2022NE0000551;8/2022;30/03/2022;7525,43;Ativo;"Referente ao CT 008/2022-FHAJ, serviços de acesso à Internet banda larga, com Ip dedicado; Período: Abril/2022."
2023NE0000104;1/2018;30/01/2023;2297,09;Ativo;Referente ao 5º TA ao CT 001/2018-FHAJ, serviços de disponibilidade de gestor de conteúdo WEB (Publicações padrão Governo). Período: fevereiro/2023.
2022NE0002504;;29/12/2022;5,93;Ativo;Anulação de saldo da NE22/2022, devido o encerramento do exercício.
2023NE0001677;;29/11/2023;8111,66;Ativo;ANULAÇÃO DE SALDO DE EMPENHO , EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 48.363/2023 DE 27/10/2023.
2023NE0001684;;29/11/2023;308,54;Ativo;ANULAÇÃO DE SALDO DE EMPENHO, EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 48.363/2023 DE 27/10/2023.
