numero;contrato;data_emissao;valor;situacao;descricao
2018NE01851;;28/12/2018;3700,0;Ativo;-Anulação Parcial da Nota de Empenho nº 1193/2018, referente a Anulação do Saldo, para ajuste orçamentário e em cumprimento ao Art.42 da LRF, conforme Instrução Normativa nº 01/2018 - SET/SEFAZ de 30 
2025NE0001736;;26/11/2025;817,14;Ativo;"-Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH"".-Fundação de Hematologia e Hemoterapia do Amazonas; -Período: 01/05/21 a 31/05/21; -Par"
2025NE0001737;;26/11/2025;819,42;Ativo;"-Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH"".-Fundação de Hematologia e Hemoterapia do Amazonas; -Período: 01/07/21 a 31/07/21; -Par"
2025NE0001738;;26/11/2025;819,42;Ativo;"-Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH"".-Fundação de Hematologia e Hemoterapia do Amazonas; -Período: 01/07/21 a 31/07/21; -Par"
2025NE0001739;;26/11/2025;818,66;Ativo;"-Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH"".-Fundação de Hematologia e Hemoterapia do Amazonas; -Período: 01/09/21 a 30/09/21; -Par"
2026NE0000153;P.174/2024;26/02/2026;3375,18;Ativo;"Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH,destinados à geração da Folha Especial de Pagamento"". -Fundação de Hematologia e Hemotera"
2026NE0000400;P.174/2024;25/03/2026;617,1;Ativo;"-Sem cobertura contratual;-Objeto: “Serviços Prestados na execução de Sistemas – PRODAM-RH para geração de Folha Especial de Pagamento do Piso Salarial da Enfermagem”; -Fundação de Hematologia e Hemot"
2026NE0000146;P.174/2024;24/02/2026;338,7;Ativo;"-Sem cobertura contratual;-Objeto: “ Serviços Prestados na execução de Sistemas – PRODAM-RH para geração de Folha Especial de Pagamento do Piso Salarial da Enfermagem”; -Fundação de Hematologia e Hemo"
2026NE0000148;P.174/2024;24/02/2026;352,02;Ativo;"-Sem cobertura contratual;-Objeto: “ Serviços Prestados na execução de Sistemas – PRODAM-RH para geração de Folha Especial de Pagamento do Piso Salarial da Enfermagem”; -Fundação de Hematologia e Hemo"
2026NE0000147;P.174/2024;24/02/2026;352,86;Ativo;"-Sem cobertura contratual;-Objeto: “ Serviços Prestados na execução de Sistemas – PRODAM-RH para geração de Folha Especial de Pagamento do Piso Salarial da Enfermagem”; -Fundação de Hematologia e Hemo"
2026NE0000145;P.174/2024;24/02/2026;339,54;Ativo;"-Sem cobertura contratual;-Objeto: “ Serviços Prestados na execução de Sistemas – PRODAM-RH para geração de Folha Especial de Pagamento do Piso Salarial da Enfermagem”;-Fundação de Hematologia e Hemot"
2025NE0001330;;23/09/2025;364,65;Ativo;"-Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH, destinados à geração da Folha Especial de Pagamento do Piso Salarial da Enfermagem"".-Fu"
2025NE0001331;;23/09/2025;718,5;Ativo;"-Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH, destinados à geração da Folha Especial de Pagamento do Piso Salarial da Enfermagem"". -F"
2025NE0001329;;23/09/2025;359,04;Ativo;"-Sem cobertura contratual;-Objeto: ""Prestação de serviços de desenvolvimento e execução de sistemas - PRODAM-RH, destinados à geração da Folha Especial de Pagamento do Piso Salarial da Enfermagem"". -F"
2024NE0001565;;22/11/2024;1093,95;Ativo;"-Sem cobertura contratual;-Objeto: Pagamento do Piso Nacional da Enfermagem referente as faturas dos meses de junho, julho e agosto de 2024. -Fundação de Hematologia e Hemoterapia do Amazonas; -Períod"
2018NE01173;;21/09/2018;3375,74;Ativo;ANULAÇÃO TOTAL DA NE Nº 152/2018.
2018NE01174;;21/09/2018;3375,74;Ativo;ANULAÇÃO TOTAL DA NE.
2018NE01193;27/2017;21/09/2018;3700,0;Ativo;Prestação de Serviço Execução de Sistema PRODAM-RH
2017NE01159;27/2017;21/09/2017;17553,65;Ativo;Serviço Execução do Sistema PRODAM-RH
2025NE0001144;P.174/2024;19/08/2025;367,17;Ativo;"-Sem cobertura contratual;-Objeto: “Prestação de Serviços de Processamento de Dados Execucao de sistemas SISTEMA: Sist. de Recursos Humanos e Folha Funcionario processado em folha mensal ”;-Fundação d"
2025NE0001142;P.174/2024;19/08/2025;359,04;Ativo;"-Sem cobertura contratual;-Objeto: “Prestação de Serviços de Processamento de Dados Execucao de sistemas SISTEMA: Sist. de Recursos Humanos e Folha Funcionario processado em folha mensal ”; -Fundação "
2025NE0001145;P.174/2024;19/08/2025;361,98;Ativo;"-Sem cobertura contratual;-Objeto: “Prestação de Serviços de Processamento de Dados Execucao de sistemas SISTEMA: Sist. de Recursos Humanos e Folha Funcionario processado em folha mensal ”;-Fundação d"
