numero;contrato;data_emissao;valor;situacao;descricao
2020NE02216;;31/12/2020;523,47;Ativo;ANULAÇÃO
2020NE02190;;31/12/2020;1598,97;Ativo;ANULAÇÃO PARCIAL
2022NE0001461;6/2019;31/10/2022;4794,48;Ativo;reforço
2022NE0001462;9/2022;31/10/2022;1532,0;Ativo;PARA ATENDER O MÊS DE NOVEMBRO/22
2022NE0001193;9/2022;31/08/2022;1532,0;Ativo;NOVO ADITIVO DA PRODAM
2021NE0001296;22/2017;31/08/2021;1328,08;Ativo;REF AO MES DE SETMBRO/21
2017NE01126;2/2013;31/07/2017;5458,5;Ativo;PARA ATENDER O CONTRATO Nº 002/13 - PRODAM, REFERENTE AO SERVIÇO DE ACESSO EM BANDA LARGA.
2019NE02205;;30/12/2019;400,0;Ativo;ANULAÇÃO PARCIAL
2019NE02184;;30/12/2019;677,82;Ativo;ANULAÇÃO PARCIAL
2019NE02195;;30/12/2019;844,75;Ativo;ANULAÇÃO PARCIAL
2016NE01963;;30/12/2016;458,94;Ativo;ANULAÇÃO
2017NE00730;12/2012;30/05/2017;4578,6;Ativo;.
2017NE00731;2/2013;30/05/2017;10917,0;Ativo;.
2017NE00732;9/2014;30/05/2017;6444,32;Ativo;.
2025NE0000566;3/2024;30/04/2025;2717,66;Ativo;Contratação para serviço de fornecimento de licença de uso de sistema de informação, compreendendo a disponibilização do gestor de conteúdo web
2025NE0000567;2/2024;30/04/2025;4794,48;Ativo;Contratação de serviço de Gestão de Segurança da Informação, através do fornecimento de Firewall e serviços correlatados.
2025NE0000565;9/2019;30/04/2025;18918,81;Ativo;Contratação de serviços de tecnologia da Informação, hospedagem em infraestrutura virtualizada para comportar Sistema Integrado de Gestão Hospitalar - IDOCTOR TC: 0009/2019 AD: 05.
2022NE0001886;;29/12/2022;1097,4;Ativo;ANULAÇÃO
2022NE0001875;;29/12/2022;1608,84;Ativo;ANULAÇÃO PARCIAL
2022NE0001872;;29/12/2022;1362,08;Ativo;ANULAÇÃO PARCIAL DA NE 1462, SALDO DE EMPENHO
2022NE0001856;;29/12/2022;121,26;Ativo;ANULAÇÃO PARCIAL DA NE 242, SALDO DE EMPENHO
2018NE01349;22/2017;29/08/2018;116,58;Ativo;PARA ATENDER O REFORÇO
2025NE0001026;2/2024;29/07/2025;4794,48;Ativo;Contratação de serviço de Gestão de Segurança da Informação, através do fornecimento de Firewall e serviços correlatados.
2023NE0001966;;28/12/2023;812,35;Ativo;ANULAÇÃO PARCIAL
2018NE02044;;28/12/2018;352,87;Ativo;ANULAÇÃO
2018NE02015;;28/12/2018;282,98;Ativo;ANULAÇÃO
2018NE02047;;28/12/2018;282,98;Ativo;ANULAÇÃO
2018NE02045;;28/12/2018;8,18;Ativo;ANULAÇÃO
2018NE02067;;28/12/2018;9328,78;Ativo;ANULAÇÃO DO SALDO, PARA AJUSTE ORÇAMENTO E EM CUMPRIMENTO AO ART. 42 DA LRF.
2025NE0001860;;28/11/2025;9810,82;Ativo;REFERENTE AO TERMO DE CONVÊNIO Nº 001/2018-CESSÃO SERVIDOR - FABRICIO ROGÉRIO CYRINO BARBOSA,PACTUADO NA FORMA DA LEI ENTRE A PRODAM, REFERENTE AO MÊS DE DEZEMBRO/18.
2025NE0001862;2/2013;28/11/2025;13706,9;Ativo;REFERENTE A EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE ACESSO Á INTERNET,CONTRATO Nº 002/2013,REFERENTE AS FATURAS Nº20584 E 21034 COMPETÊNCIAS NOVEMBRO E DEZEMBRO/2016. FATURA Nº 26144,COMPETÊN
2025NE0001863;4/2018;28/11/2025;49200,12;Ativo;REFERENTE A EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE INFORMÁTICA PARA ACESSO EM BANDA LARGA A REDE MUNDIAL DE COMPUTADORES - INTERNET,CONTRATO Nº 004/18,REFERENTE AS NOTAS FISCAIS E COMPETÊNC
2025NE0001859;22/2017;28/11/2025;536,93;Ativo;REFERENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DESENVOLVIMENTO DE SOFTWARE APLICATIVO PARA CONTROLE DE PESSOAL E PROCESSAMENTO DE FOLHA DE PAGAMENTO,REFERENTE AO 2º T.A. DO 
2025NE0001861;9/2014;28/11/2025;9666,48;Ativo;REFERENTE AO 3ºT.A. DO CONTRATO Nº 009/14,REFERENTE A EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE INFORMÁTICA EM GERAL - SERVIÇOS FIREWALL,REFERENTE AS NOTAS FISCAIS N°25298,25840 E 26145,COMPETÊ
2022NE0001343;6/2019;28/09/2022;9588,96;Ativo;REFORÇO
2022NE0001342;9/2022;28/09/2022;1532,0;Ativo;REFORÇO
2022NE0001340;;28/09/2022;1328,08;Ativo;ANULAÇÃO TOTAL
2024NE0001295;2/2024;28/08/2024;9952,4;Ativo;Contratação de serviço de Gestão de Segurança da Informação, através do fornecimento de Firewall e serviços correlatados.
2022NE0000972;22/2017;28/07/2022;2656,16;Ativo;JULHO E AGOSTO /2022
2023NE00851;9/2022;28/06/2023;659,42;Ativo;REFERENTE AO CONTRATO 009/2022, CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE SISTEMA PRODAM-RH.
2023NE0000850;6/2019;28/06/2023;4976,2;Ativo;PARA ATENDER CT 006/19
2023NE00849;9/2019;28/06/2023;18918,81;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE TECNOLOGIA DA INFORMAÇÃO, COMPREENDENDO A HOSPEDAGEM EM INFRAESTRUTURA VIRTUALIZADA PARA COMPOR O SISTEMA I-DOCTOR.
2023NE0000849;;28/06/2023;18918,81;Ativo;REFORÇO
2023NE0000851;;28/06/2023;659,42;Ativo;REFORÇO
2022NE0000524;6/2019;28/04/2022;1328,08;Ativo;REF AO MES DE ABRIL/22 DO CONTRATO DE LOCAÇÃO DE EQUIPAMENTOS.
2022NE0000523;9/2019;28/04/2022;1000,0;Ativo;VALOR REFERENTE AO INICIO DO NOVO ADITIVO DE CONTRATO
2020NE00199;6/2019;28/02/2020;4066,91;Ativo;PARA ATENDER DEZ/19
2020NE00200;;28/02/2020;6016,05;Ativo;PARA ATENDER DEZ/19
2020NE00198;;28/02/2020;578,69;Ativo;PARA ATENDER DEZ/19
2023NE0001953;;27/12/2023;3712,16;Ativo;ANULAÇÃO PARCIAL
2020NE01086;22/2017;27/08/2020;2656,16;Ativo;PARA ATENDER O MÊS DE SETEMBRO E OUTUBRO/20.
2022NE0000502;6/2019;27/04/2022;4794,48;Ativo;CONTRATO PARA ATENDER A FMTHVD
2022NE0000512;9/2019;27/04/2022;15704,02;Ativo;CONTRATO PARA ATENDER A FMTHVD
2022NE0000508;;27/04/2022;2429,24;Ativo;ABULAÇÃO PARCIAL
2022NE0000503;22/2017;27/04/2022;1328,08;Ativo;CONTRATO PARA ATENDER A FMTHVD
2022NE0000510;;27/04/2022;1328,08;Ativo;ANULAÇÃO TOTAL
2021NE0000128;;27/01/2021;8133,82;Ativo;ANULAÇÃO TOTAL
2021NE0000119;;27/01/2021;47112,06;Ativo;ANULAÇÃO TOTAL
2021NE0000118;;27/01/2021;3984,24;Ativo;ANULAÇÃO TOTAL
2016NE01521;12/2012;26/10/2016;915,72;Ativo;.
2016NE01521;12/2012;26/10/2016;915,72;Ativo;.
2024NE0001446;6/2019;26/09/2024;363,44;Ativo;PARA ATENDER A DESPESA NO SERVIÇO DE FIREWALL.
2023NE0001455;6/2019;26/09/2023;4976,2;Ativo;Contratação de empresa para Prestação do Serviço de Firewall para a FMT-HVD. TC: 006/2019 AD: 04.
2023NE0001454;9/2019;26/09/2023;18918,81;Ativo;Contratação de serviços de tecnologia da Informação, hospedagem em infraestrutura virtualizada para comportar Sistema Integrado de Gestão Hospitalar - IDOCTOR TC: 009/2019 AD: 04.
2023NE0001456;9/2022;26/09/2023;1532,0;Ativo;Contratação de serviços de um sistema de folha de pagamento informatizado denominado Plantão mensal/anual.
2022NE0000948;6/2019;26/07/2022;4794,48;Ativo;REF AO MES DE JUNHO/2022
2022NE0000951;22/2017;26/07/2022;1328,08;Ativo;CONTRATO PARA ATENDER A FMTHVD
2022NE0000949;9/2019;26/07/2022;18227,95;Ativo;CONTRATO REF ASO MES DE JUNHO/2022
2022NE0000952;9/2019;26/07/2022;18227,95;Ativo;CONTRATO PARA ATENDER A FMTHVD
2022NE0000950;;26/07/2022;18227,95;Ativo;ANULAÇÃO TOTAL
2024NE0000944;3/2024;26/06/2024;5435,32;Ativo;Contratação para serviço de fornecimento de licença de uso de sistema de informação, compreendendo a disponibilização do gestor de conteúdo web
2023NE00515;9/2019;26/04/2023;181,72;Ativo;Referente ao Contrato 009/2019 - 4º TA contratação de empresa especializada em Prestação de Serviços de Tecnologia de Informação, compreendendo a Hospedagem de Infraestrutura virtualizada para compor 
2023NE0000515;9/2019;26/04/2023;181,72;Ativo;PARA ATENDER O CT- 009/19
2026NE0000118;7/2025;26/02/2026;17452,91;Ativo;Contratação de Serviço de Tecnologia da Informação, compreendendo a Hospedagem em infraestrutura virtualizada
2024NE0000302;9/2019;26/02/2024;18918,81;Ativo;OBJETO: CONTRATAÇÃO DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO, HOSPEDAGEM EM INFRAESTRUTURA VIRTUALIZADA PARA COMPORTAR O SISTEMA INTEGRADO DE GESTÃO HOSPITALAR – IDOCTOR.REFERENTE AS NOTAS FISCAIS Nº 4
2024NE0000303;9/2019;26/02/2024;18918,81;Ativo;OBJETO: CONTRATAÇÃO DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO, HOSPEDAGEM EM INFRAESTRUTURA VIRTUALIZADA PARA COMPORTAR O SISTEMA INTEGRADO DE GESTÃO HOSPITALAR – IDOCTOR.REFERENTE AS NOTAS FISCAIS Nº 4
2024NE0000301;6/2019;26/02/2024;4976,2;Ativo;OBJETO: REFERENTE A CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DO SERVIÇO DE FIREWALL PARA A FMT-HVD.REFERENTE A NOTA FISCAL Nº 40677, MÊS SETEMBRO/2023.CONTRATO Nº 0006/2019 – ADITIVO Nº 4º - PRORROGAÇÃO 
2021NE0000320;;26/02/2021;4066,91;Ativo;ANULAÇÃO PARCIAL
2022NE0000941;;25/07/2022;281,7;Ativo;ANULAÇÃO PARCIAL DA NE 524
2022NE0000942;;25/07/2022;804,89;Ativo;ANULAÇÃO PARCIAL DA NE 686
2022NE0000943;;25/07/2022;84,13;Ativo;ANUL PARCIAL DA NE 649
2026NE0000096;7/2025;25/02/2026;17831,59;Ativo;Contratação de Serviço de Tecnologia da Informação, compreendendo a Hospedagem em infraestrutura virtualizada
2026NE0000097;7/2025;25/02/2026;17831,59;Ativo;Contratação de Serviço de Tecnologia da Informação, compreendendo a Hospedagem em infraestrutura virtualizada
2026NE0000106;3/2024;25/02/2026;2855,17;Ativo;Contratação para serviço de fornecimento de licença de uso de sistema de informação, compreendendo a disponibilização do gestor de conteúdo web TC: 0003/2024 AD: 01.
2026NE0000095;7/2025;25/02/2026;17831,59;Ativo;Contratação de Serviço de Tecnologia da Informação, compreendendo a Hospedagem em infraestrutura virtualizada
