numero;contrato;data_emissao;valor;situacao;descricao
2020NE00753;;31/12/2020;10448,91;Ativo;ANULAÇÃO PARCIAL DA NE Nº 0005/2020, EMITIDA EM 02/01/2020.
2020NE00752;;31/12/2020;4327,22;Ativo;ANULAÇÃO PARCIAL DA NE Nº 0371/2020, EMITIDA EM 20/07/2020.
2020NE00751;;31/12/2020;929,05;Ativo;ANULAÇÃO PARCIAL DA NE Nº 00547/2020, EMITIDA EM 14/10/2020.
2025NE0000758;13/2020;31/10/2025;14817,6;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS EM TELECOMUNICAÇÃO PARA ACESSO À INTERNET E AOS SISTEMAS CONTRATADOS RESIDENTES NO COMPUTADOR CENTRAL DA PRODAM. TC: 0013/2020 AD: 05.
2025NE0000757;4/2025;31/10/2025;5936,7;Ativo;SERVIÇOS TÉCNICOS ESPECIALIZADOS EM INFORMÁTICA,FORNECIMENTO DE SERVIÇO DE ACESSO GERENCIADO À INTERNET, NO MODELO DE INTERNET DEDICADA, VIA REDE DE GOVERNO, GARANTINDO CONEXÕES DE ALTA VELOCIDADE COM
2024NE0000599;6/2024;31/10/2024;1067,58;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DO SERVIÇO DE HOSPEDAGEM DE SERVIDOR EM NUVEM, EM AMBIENTE DEDICADO, PARA COMPORTAR O SITE INSTITUCIONAL DA FUNDAÇÃO HOSPITALAR ALFREDO DA MATTA - FUH
2015NE00598;19/2013;31/08/2015;1561,86;Ativo;"REFORÇO DA NOTA DE EMPENHO Nº 459/15, EMITIDA EM 09.07.15, REFERENTE AO 1º TERMO ADITIVO AO CONTRATO Nº 019/2013-FUAM, FIRMADO ENTRE A FUNDAÇÃO ""ALFREDO DA MATTA"" E A EMPRESA PRODAM PROCESSAMENTO DE D"
2014NE00606;4/2011;31/07/2014;5076,48;Ativo;Contrato No. 4/2011 - Acesso Internet/Comput.c.banda 1.644Kbps-MetroMao
2016NE00786;12/2015;30/11/2016;363,8;Ativo;REFERENTE AO 1º TERMO ADITIVO AO CONTRATO Nº 012/2015-FUAM. FIRMADO COM A EMPRESA PRODAM ¿ PROCESSAMENTO DE DADOS AMAZONAS S.A. OBJETO: CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO SERVIÇOS TÉCNICOS EM TELEC
2016NE00784;13/2015;30/11/2016;198,66;Ativo;REFERENTE AO 1º TERMO ADITIVO AO CONTRATO Nº 013/2015. OBJETO: CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS EM INFORMÁTICA, DE FORMA EVENTUAL, PARA FUAM. FIRMADO COM A EMPRESA PRODAM PRO
2014NE00872;4/2011;30/10/2014;15229,44;Ativo;Contrato No. 4/2011 - Acesso Internet/Comput.c.banda 1.644Kbps-MetroMao
2025NE0000233;12/2020;30/04/2025;1759,4;Ativo;"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS EM INFORMÁTICA DE FORMA EVENTUAL PARA FUNDAÇÃO HOSPITALAR ""ALFREDO DA MATTA"". TC: 0012/2020 AD: 05."
