numero;contrato;data_emissao;valor;situacao;descricao
2020NE00453;;31/12/2020;292,77;Ativo;ANULAÇÃO DE SALDO DE EMPENHO DE Nº0011/2020, ATENDENTO AO DECRETO GOVERNAMENTAL, TERMINO DE EXERCICIO.
2016NE00306;8/2012;31/08/2016;13605,76;Ativo;3º TERMO ADITIVO AO CONTRATO Nº008/2012.
2016NE00301;9/2011;31/08/2016;5200,3;Ativo;5º TERMO ADITIVO AO CONTRATO Nº 009/2011
2018NE00503;7/2016;30/11/2018;1302,98;Ativo;Prestação de serviços de execução de sistemas PRODAM-RH, para manter o cadastro de servidores e folha de pagamento de pessoal - CFPP com reajuste pelo índice IGPM de 8,91%.
2018NE00502;9/2017;30/11/2018;117,12;Ativo;Prestação de serviços de rede, compreendendo a disponibilização de 1 (um) acesso ao VPN (Virtual Private Network), para acesso aos sistema utilizado pela FUNTEC com reajuste pelo índice IGPM de 8,91%.
2016NE00410;;30/11/2016;3400,0;Ativo;ANULAÇÃO TOTAL DA N.E. DE Nº00409/2016, PELO MOTIVO DA MODALIDADE ESTA INCORRETA.
2016NE00409;6/2016;30/11/2016;3400,0;Ativo;PRESTAÇAO DE SERVS DE ACESSO A REDE DE GOVERNO.
2016NE00411;6/2016;30/11/2016;3400,0;Ativo;Contrato nº 0006/2016 referente ao serviço de Acesso à Internet.
2025NE0000613;6/2022;30/10/2025;4178,4;Ativo;Contratação para a Prestação do Serviço de Rede de internet, compreendendo o acesso gerenciado à Internet através da Rede de Governo. TC: 0006/2022 AD: 03.
2025NE0000614;1/2022;30/10/2025;2338,25;Ativo;Prestação dos serviços de execução do sistema PRODAM RH para o cadastro da folha de pagamento de pessoal (CFPP) da Funtec, com reajuste de 6,52% no valor mensal. Conforme Cláusula Décima Primeira e DI
2025NE0000615;1/2023;30/10/2025;186,13;Ativo;Prestação dos serviços de rede de Internet, compreendendo a disponibilização de 1 (um) acesso aos sistemas hospedados no Data Center do Estado do Amazonas por meio do Virtual Private Network - VPN. TC
2024NE0000521;1/2022;30/10/2024;2236,92;Ativo;Prestação dos serviços de execução do sistema PRODAM RH para o cadastro da folha de pagamento de pessoal (CFPP) da Funtec, com reajuste de 6,52% no valor mensal. Conforme Cláusula Décima Primeira e DI
2024NE0000520;6/2022;30/10/2024;3921,89;Ativo;Contratação para a Prestação do Serviço de Rede de internet, compreendendo o acesso gerenciado à Internet através da Rede de Governo. TC: 0006/2022 AD: 02.
2024NE0000522;1/2023;30/10/2024;178,06;Ativo;Prestação dos serviços de rede de Internet, compreendendo a disponibilização de 1 (um) acesso aos sistemas hospedados no Data Center do Estado do Amazonas por meio do Virtual Private Network - VPN. TC
2022NE0000459;9/2017;30/09/2022;347,12;Ativo;Prestação de serviços de rede, compreendendo a disponibilização de 1 (um) acesso ao VPN (Virtual Private Network), para acesso aos sistema utilizado pela FUNTEC com reajuste de 31,12% no valor mensal,
2019NE00316;;30/07/2019;2605,96;Ativo;Reforço da NE nº 162/2019.
2025NE0000770;;29/12/2025;8000,0;Ativo;ANULAÇÃO DO SALDO PARCIAL DO EMPENHO Nº19, MOTIVO - NÃO EFETIVAÇÃO DA DESPESA
2022NE0000611;;29/12/2022;11,72;Ativo;ANULAÇÃO DO SALDO DA NE 459/2022. Encerramento da execução orçamentária e financeira do exercício de 2022. Conforme decreto nº 46.621 publicado no Diário Oficial do Estado de 11/11/2022.
2022NE0000612;;29/12/2022;370,3;Ativo;ANULAÇÃO DO SALDO DA NE 531/2022. Encerramento da execução orçamentária e financeira do exercício de 2022. Conforme decreto nº 46.621 publicado no Diário Oficial do Estado de 11/11/2022.
2022NE0000610;;29/12/2022;819,92;Ativo;ANULAÇÃO DO SALDO DA NE 227/2022. Encerramento da execução orçamentária e financeira do exercício de 2022. Conforme decreto nº 46.621 publicado no Diário Oficial do Estado de 11/11/2022.
2022NE0000613;;29/12/2022;173,56;Ativo;ANULAÇÃO DO SALDO DA NE 533/2022. Encerramento da execução orçamentária e financeira do exercício de 2022. Conforme decreto nº 46.621 publicado no Diário Oficial do Estado de 11/11/2022.
2022NE0000614;;29/12/2022;178,06;Ativo;ANULAÇÃO DO SALDO DA NE 563/2022. Encerramento da execução orçamentária e financeira do exercício de 2022. Conforme decreto nº 46.621 publicado no Diário Oficial do Estado de 11/11/2022.
2022NE0000563;;29/11/2022;178,06;Ativo;Prestação dos serviços de rede, com disponibilização de 1 (um) acesso ao VPN (Virtual Private Network) utilizado pela FUNTEC com reajuste de 34,51% no valor mensal, conforme Cláusula Décima Primeira d
2021NE0000488;9/2017;29/11/2021;173,56;Ativo;Prestação de serviços de rede, compreendendo a disponibilização de 1 (um) acesso ao VPN (Virtual Private Network), para acesso aos sistema utilizado pela FUNTEC com reajuste de 31,12% no valor mensal,
2019NE00530;9/2017;29/11/2019;117,12;Ativo;Prestação de serviços de rede, compreendendo a disponibilização de 1 (um) acesso ao VPN (Virtual Private Network), para acesso aos sistema utilizado pela FUNTEC, conforme 2º Aditivo ao Contrato nº 009
2019NE00531;7/2016;29/11/2019;1302,98;Ativo;Prestação de serviços de execução de sistemas PRODAM-RH, para manter o cadastro de servidores e folha de pagamento de pessoal - CFPP, conforme 3º Aditivo ao Contrato nº 007/2016.
2019NE00529;6/2016;29/11/2019;3702,95;Ativo;Prestação de serviços de acesso à rede de internet, compreendendo o fornecimento do serviço via Rede de Governo, através de circuito de dados, conforme 3º aditivo ao contrato nº 006/2016.
2024NE0000509;;29/10/2024;1000,0;Ativo;ANULAÇÃO PARCIAL DA NE 06. MOTIVO: NÃO EFETIVAÇÃO DA DESPESA
2024NE0000406;6/2022;29/08/2024;3921,89;Ativo;Contratação para a Prestação do Serviço de Rede de internet, compreendendo o acesso gerenciado à Internet através da Rede de Governo. TC: 0006/2022 AD: 02.
