numero;contrato;data_emissao;valor;situacao;descricao
2020NE01549;;31/12/2020;0,01;Ativo;ANULAÇÃO DO SALDO DA NE Nº 235/2020, CONSIDERANDO O CALENDÁRIO DE ENCERRAMENTO DO EXERCÍCIO/2020.
2025NE0001610;18/2021;31/10/2025;12485,67;Ativo;CONTRATAÇÃO DE SERVIÇO DE REDE (LINK), COMPREENDENDO FORNECIMENTO DE 03 (TRÊS) CIRCUITOS DE TRANSMISSÃO DE DADOS ENTRE A FVS E PRODAM. A FIM DE ATENDER AS NECESSIDADES DA SEDE DA FVS-RCP E SUAS UNIDAD
2025NE0001608;12/2024;31/10/2025;17395,41;Ativo;Serviço de Software como Serviço - PRODAM RH - Compreendendo a disponibilização de uma solução abrangente, projetada para oferecer suporte aos processos de Recursos Humanos (RH) em uma organização, qu
2025NE0001609;18/2021;31/10/2025;12485,67;Ativo;CONTRATAÇÃO DE SERVIÇO DE REDE (LINK), COMPREENDENDO FORNECIMENTO DE 03 (TRÊS) CIRCUITOS DE TRANSMISSÃO DE DADOS ENTRE A FVS E PRODAM. A FIM DE ATENDER AS NECESSIDADES DA SEDE DA FVS-RCP E SUAS UNIDAD
2018NE02340;;31/10/2018;270,9;Ativo;ANULAÇÃO PARCIAL DA NE Nº 040/2018, REFERENTE A SALDO DE EMPENHO, EM RAZÃO DE TÉRMINO DA VIGÊNCIA DE ADITIVO DO CONTRATO Nº 001/2014-4º TA.
2018NE02342;;31/10/2018;296,09;Ativo;ANULAÇÃO PARCIAL DA NE Nº 0367/2018, REFERENTE A SALDO DE EMPENHO, EM RAZÃO DE TÉRMINO DA VIGÊNCIA DE ADITIVO DO CONTRATO Nº 016/2015-2º TA.
2018NE02341;;31/10/2018;862,78;Ativo;ANULAÇÃO PARCIAL DA NE Nº 042/2018, REFERENTE A SALDO DE EMPENHO, EM RAZÃO DE TÉRMINO DA VIGÊNCIA DE ADITIVO DO CONTRATO Nº 016/2015-2º TA.
2018NE02343;;31/10/2018;4129,65;Ativo;ANULAÇÃO PARCIAL DA NE Nº 043/2018, REFERENTE A SALDO DE EMPENHO, EM RAZÃO DE TÉRMINO DA VIGÊNCIA DE ADITIVO DO CONTRATO Nº 017/2016-1º TA.
2018NE02344;;31/10/2018;175,94;Ativo;ANULAÇÃO PARCIAL DA NE Nº 0259/2018, REFERENTE A SALDO DE EMPENHO, EM RAZÃO DE TÉRMINO DA VIGÊNCIA DE ADITIVO DO CONTRATO Nº 017/2016-2º TA.
2021NE0001497;18/2021;31/08/2021;72773,92;Ativo;TERMO DE CONTRATO 018/2021 OBJ. SER. REDE (LINK), COMPR. FORNEC. DE 03 (TRÊS) CIRCUITOS DE TRANSMISSÃO DE DADOS ENTRE A FVS-RCP E PRODAM. A FIM DE ATENDER AS NECES.DA SEDE DA FVS-RCP E SUAS UNI. (LACE
2021NE0001463;;31/08/2021;2642,98;Ativo;ANULAÇÃO PARCIAL DE NOTA DE EMPENHO Nº 025/2021, POR MOTIVO QUE NÃO HOUVE EXECUÇÃO DE SERVIÇOS NO PERÍODO DE JULHO/2021, DE ACORDO COM O INFORMADO PELO FISCAL DO CONTRATO A FL. 308, CONFORME ANEXO E D
2023NE0001701;;31/07/2023;46090,15;Ativo;ANULAÇÃO DA NE1685/23, PARA AJUSTE NO CRONOGRAMA.
2023NE0001700;;31/07/2023;44877,25;Ativo;ANULAÇÃO DA NE1684/23, PARA AJUSTE NO CRONOGRAMA.
2023NE0000033;20/2021;31/01/2023;5982,3;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALISADA EM FORNECIMENTO DE LICENÇA DE USO PARA A UTILIZAÇÃO DO APLICATIVO MALÁRIATRAT, DESENVOLVIDO PARA DISPOSITIVO MÓVEL, PARA AS PLATAFORMAS ANDROID E IOS para ATENDER 
2023NE0000034;;31/01/2023;5982,3;Ativo;ANULAÇÃO TOTAL DA NE-33/2023, PARA CORREÇÃO DA DATA DE EMISSÃO.
2019NE02675;;30/12/2019;13590,96;Ativo;ANULAÇÃO PARCIAL DA NE 1067/2019, REFERENTE AO CT. 017/2016,EM RAZÃO DO TERMINO DO EXERCÍCIO 2019, CONFORME EXPEDIENTE DA ASSESSORIA DE LIQUIDAÇÃO.
