numero;contrato;data_emissao;valor;situacao;descricao
2023NE0001762;16/2018;31/10/2023;5341,96;Ativo;CONTRATAÇÃO DE SERVIÇOS DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A DISPONIBILIZAÇÃO DE GESTOR DE CONTEÚDO WEB PARA PUBLICAÇÃO DE INFORMAÇÕES, NOTÍCIAS, VÍDEO E IMAGENS VIA WEBSITE. TC
2023NE0001760;8/2020;31/10/2023;4946,96;Ativo;Contratação de Serviço de execução de sistema de protocolo em plataforma web, objetivando o controle e acompanhamento o controle e acompanhamento do registro de todos os documentos ou processos do cli
2023NE0001761;11/2023;31/10/2023;93376,48;Ativo;Contratação de empresa especializada em serviço de acesso à rede de internet, para atender as necessidades do Instituto de Desenvolvimento Agropecuário e Florestal Sustentável do Estado do Amazonas – 
2023NE0001759;7/2020;31/10/2023;31820,24;Ativo;Contratação de empresa especializada em manter o cadastro dos servidores e folha de pagamento pessoal, processar folhas de pagamento e fornecer relatórios para efetivação de pagamento. TC: 007/2020 AD
2018NE00975;;31/07/2018;25200,0;Ativo;-ANULAÇÃO PARCIAL QUE SE FAZ DA NE º 335/2018, EM VIRTUDE DO ENCERRAMENTO DA VIGÊNCIA DO CONTRATO Nº 013/2017
2018NE00976;;31/07/2018;1684,48;Ativo;ANULAÇÃO PARCIAL QUE SE FAZ DA NOTA DE EMPENHO DE Nº 334/2018, EM VIRTUDE DO TERMINO DA VIGENCIA DO CONTRATO DE Nº 04/2015
2018NE00049;3/2015;31/01/2018;21277,08;Ativo;-REFERENTE A PARTE DO TERCEIRO TERMO ADITIVO AO TERMO DE CONTRATO DE Nº 003/2015, FIRMADO ENTRE O INSTITUTO DE DESENVOLVIMENTO AGROPECUARIO E FLORESTAL SUSTENTAVEL DO ESTADO DO AMAZONAS - IDAM E A EMP
2018NE00054;23/2015;31/01/2018;39921,95;Ativo;-REFERENTE AO SEGUNDO TERMO ADITIVO AO TERMO DE CONTRATO DE Nº 023/2015, FIRMADO ENTRE O INSTITUTO DE DESENVOLVIMENTO AGROPECUARIO E FLORESTAL SUSTENTAVEL DO ESTADO DO AMAZONAS-IDAM E A EMPRESA: PRODA
2018NE00050;4/2015;31/01/2018;49697,78;Ativo;-REFERENTE A PARTE DO TERCEIRO TERMO ADITIVO AO TERMO DE CONTRATO Nº 004/2015, FIRMADO ENTRE O INSTITUTO DE DESENVOLVIMENTO AGROPECUARIO E FLORESTAL SUSTENTAVEL DO ESTADO DO AMAZONAS - IDAM E A EMPRES
2017NE00054;4/2015;31/01/2017;13553,94;Ativo;-REFERENTE A PARTE DO SEGUNDO TERMO ADITIVO AO TERMO DE CONTRATO Nº 004/2015, FIRMADO ENTRE O INSTITUTO DE DESENVOLVIMENTO AGROPECUARIO E FLORESTAL SUSTENTAVEL DO ESTADO DO AMAZONAS - IDAM E A EMPRESA
