Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;115135;01/2020;10.284,00;2248 dias;11.202,70;Protestado;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;115657;02/2020;10.284,00;2215 dias;10.284,00;Calculado;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;116167;03/2020;10.284,00;2187 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;116676;04/2020;10.284,00;2157 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;117157;05/2020;10.284,00;2127 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;117673;06/2020;10.284,00;2096 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;118187;07/2020;3.085,20;2066 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;118336;07/2020;7.666,40;2064 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;118647;08/2020;10.952,00;2033 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;119104;09/2020;10.952,00;2004 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;119765;10/2020;10.952,00;1974 dias;0,00;Pendente;
IKM DE LIMA-ME;Fornecimento de circuito de transmissão de dados;001/2018;120359;11/2020;10.952,00;1942 dias;0,00;Pendente;
