id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
118647;16177;1/2018;08/2020;10952,0;Emitida;COMPLETA;376
119104;16630;1/2018;09/2020;10952,0;Emitida;FORTE;376
119765;17132;1/2018;10/2020;10952,0;Emitida;COMPLETA;376
120359;17659;1/2018;11/2020;10952,0;Emitida;FORTE;376
115135;12590;1/2018;01/2020;10284,0;Emitida;FORTE;376
115657;13160;1/2018;02/2020;10284,0;Emitida;FORTE;376
116167;13681;1/2018;03/2020;10284,0;Emitida;COMPLETA;376
116676;14182;1/2018;04/2020;10284,0;Emitida;COMPLETA;376
117157;14647;1/2018;05/2020;10284,0;Emitida;FORTE;376
117673;15125;1/2018;06/2020;10284,0;Emitida;FORTE;376
118336;15785;1/2018;07/2020;7666,4;Emitida;FORTE;376
118187;15630;1/2018;07/2020;3085,2;Emitida;COMPLETA;376
