Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
IPAAM;Hospedagem de Sistemas;012/2021;125687;07/2021;37.454,76;1701 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Hospedagem de Sistemas;012/2021;126367;08/2021;37.454,76;1668 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Hospedagem de Sistemas;012/2021;127024;09/2021;37.454,76;1639 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Hospedagem de Servidores;010/2021;129123;12/2021;18.085,88;1561 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Execução de sistemas;018/2021;144997;10/2023;346,09;869 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Execução de sistemas;018/2021;145253;09/2023;346,09;864 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Acesso Gerenciado à Rede Mundial;014/2020;145339;09/2023;5.197,43;862 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Licença de uso de VPN;010/2021;145342;09/2023;48,02;856 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Hospedagem de Servidores;010/2021;145344;09/2023;6.811,46;856 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Fornecimento de circuito de transmissão de dados;014/2020;164318;11/2025;2.573,46;115 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Acesso Gerenciado à Rede Mundial;014/2020;164317;11/2025;13.683,14;115 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Execução de sistemas;018/2021;164321;11/2025;902,09;115 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Fornecimento de circuito de transmissão de dados;014/2020;165086;12/2025;257,35;99 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Acesso Gerenciado à Rede Mundial;014/2020;165085;12/2025;1.368,31;99 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Execução de sistemas;018/2021;165087;12/2025;941,69;99 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Instalação e Configuração de Softwares;007/2021;165160;12/2025;14.629,78;90 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Manutenção corretiva e preventiva em equipamentos de TI;007/2021;165488;12/2025;22.689,06;79 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Execução de sistemas;018/2021;166291;01/2026;941,69;42 dias;0,00;Suspenso;TramitarReverter Status
IPAAM;Licença de uso de sistemas de informação;008/2021;166290;01/2026;1.880,80;42 dias;0,00;Suspenso;TramitarReverter Status
