numero;contrato;data_emissao;valor;situacao;descricao
2024NE0001342;18/2021;31/10/2024;902,09;Ativo;Contratação de empresa especializada em serviços de implantação e execução de sistemas de protocolo em plataforma (Sproweb) para controle de documentos e processos do IPAAM. PARECER/IPAAM/PAD/DJ N.º 1
2016NE01255;11/2016;31/08/2016;6540,0;Ativo;Contratação de empresa para disponibilização de sistema para emissão e controle de boletos bancários SECBB, para controle dos pagamentos de taxas de expediente e demais licenças ambientais.
2018NE01282;;30/11/2018;4086,65;Ativo;ANULAÇÃO PARCIAL
2023NE0001130;;30/10/2023;12188,76;Ativo;Anulação parcial da NE nº 423, devido a supressão do contrato nº 007/2021, em conformidade com o Decreto Estadual nº 47.925 de 16 de agosto de 2023
2016NE01248;10/2016;30/08/2016;8953,56;Ativo;Contratação de empresa especializada em serviços de licença de uso de sistema de informação, compreendendo a disponibilização de Gestor de Conteúdo WEB ao Instituto de Proteção Ambiental do Amazonas, 
2015NE00798;9/2014;30/04/2015;16521,44;Ativo;CONTRATOS PARA SERVIÇOS DE INFORMÁTICA
2021NE0000843;;29/12/2021;19975,87;Ativo;ANULAÇÃO PARCIAL DA NE Nº 0253/2021, FACE O ENCERRAMENTO DO EXERCÍCIO DE 2021.
2021NE0000842;;29/12/2021;2511,79;Ativo;ANULAÇÃO PARCIAL DA NE Nº 0007/2021, FACE O ENCERRAMENTO DO EXERCÍCIO.
2016NE01996;;29/12/2016;17155,51;Ativo;ANULAÇÃO PARCIAL
2016NE02002;;29/12/2016;8332,77;Ativo;ANULAÇÃO PARCIAL
2016NE02006;;29/12/2016;8953,56;Ativo;ANULAÇÃO PARCIAL
2016NE02007;;29/12/2016;6540,0;Ativo;ANULAÇÃO PARCIAL
2017NE01303;13/2015;29/09/2017;41400,0;Ativo;Contratação de empresa especializada na prestação de serviços de rede, compreendendo o acesso gerenciado à internet, através da Rede de Governo, para atender as necessidades do IPAAM.
2021NE0000417;14/2021;29/07/2021;17744,4;Ativo;Contratação de empresa especializada na prestação de serviços de tecnologia da informação, compreendendo a disponibilização do Sistema Informatizado de Agendamento via WEB para dá suporte ao agendamen
2022NE0001222;14/2020;28/11/2022;18710,74;Ativo;Contratação de empresa especializada na prestação de serviços de rede, compreendendo o acesso gerenciado à internet, através da Rede de Governo, de forma eventual, para atender a demanda do IPAAM.
2019NE00814;10/2016;28/08/2019;6201,7;Ativo;Contratação de empresa especializada na prestação de serviços de licença de uso gestor conteúdo Web, objetivando a publicação de notícias, vídeos e imagens via Website.
2019NE00813;;28/08/2019;6201,7;Ativo;ANULAÇÃO TOTAL PARA ACERTO NA MODALIDADE
2020NE00428;10/2016;28/07/2020;6201,7;Ativo;Contratação de empresa especializada na prestação de serviços de Licença de Uso - Gestor de Conteúdo Web, objetivando a publicação de informações, notícias, vídeos e imagens via Website, conforme prev
2021NE0000253;12/2021;28/05/2021;63008,64;Ativo;Contratação de empresa especializada na prestação de serviços de tecnologia da informação e comunicação para atender o projeto de migração de dados de geoprocessamento do IPAAM.
2019NE00806;10/2016;27/08/2019;6201,7;Ativo;Contratação de empresa especializada na prestação de serviços de licença de uso gestor conteúdo Web, objetivando a publicação de notícias, vídeos e imagens via Website.
2024NE0000127;7/2021;27/02/2024;18283,02;Ativo;Contratação de empresa especializada na prestação de serviços de informática de forma eventual, para atender as necessidades do IPAAM. PARECER/IPAAM/PAD/DJ N.º 030/2023. TC: 0007/2021 AD: 03.
2024NE0000128;8/2021;27/02/2024;3530,7;Ativo;Contratação de empresa especializada na prestação de serviços de licença de uso de sistema de informação, compreendendo a disponibilização do gestor de conteúdo WEB, para atender as necessidades do IP
2024NE0000129;10/2021;27/02/2024;33952,5;Ativo;Contratação de empresa especializada na prestação de serviços de tecnologia da informação, compreendendo a hospedagem de sistemas de informação em infraestrutura virtualizada, para atender as necessid
2024NE0000130;14/2020;27/02/2024;31184,56;Ativo;Contratação de empresa especializada na prestação de serviços de rede, compreendendo o acesso gerenciado à internet, através da Rede de Governo, de forma eventual, para atender as necessidades do IPAA
2024NE0000131;18/2021;27/02/2024;1730,46;Ativo;Contratação de empresa especializada em serviços de implantação e execução de sistemas de protocolo em plataforma (Sproweb) para controle de documentos e processos do IPAAM. PARECER/IPAAM/PAD/DJ N.º 1
2024NE0001696;;26/12/2024;52990,96;Ativo;Anulação do saldo da Nota de Empenho n.º 381 do Contrato n.º 007/21, por ocasião do encerramento do Exercício de 2024.
