id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
125687;22511;12/2021;07/2021;37454,76;Emitida;FORTE;79
126367;23364;12/2021;08/2021;37454,76;Emitida;FORTE;79
127024;23804;12/2021;09/2021;37454,76;Emitida;COMPLETA;79
165488;60541;7/2021;12/2025;22689,06;Emitida;COMPLETA;71
145344;41317;10/2021;09/2023;22490,68;Parcialmente Paga;COMPLETA;105
145339;145339;14/2020;09/2023;18321,4;Parcialmente Paga;COMPLETA;26
129123;25922;10/2021;12/2021;18085,88;Emitida;COMPLETA;105
165160;60075;7/2021;12/2025;14629,78;Emitida;FORTE;71
164317;59268;14/2020;11/2025;13683,14;Emitida;COMPLETA;26
164318;59267;14/2020;11/2025;2573,46;Emitida;COMPLETA;26
166290;562;8/2021;01/2026;1880,8;Emitida;COMPLETA;213
165085;60000;14/2020;12/2025;1368,31;Emitida;COMPLETA;26
144997;41019;18/2021;10/2023;1153,64;Parcialmente Paga;COMPLETA;150
145253;41211;18/2021;09/2023;1153,64;Parcialmente Paga;COMPLETA;150
165087;60001;18/2021;12/2025;941,69;Emitida;COMPLETA;150
166291;563;18/2021;01/2026;941,69;Emitida;COMPLETA;150
164321;59271;18/2021;11/2025;902,09;Emitida;COMPLETA;150
165086;59999;14/2020;12/2025;257,35;Emitida;COMPLETA;26
145342;41318;10/2021;09/2023;160,06;Parcialmente Paga;COMPLETA;105
