Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
ITRANSITO;Software como Serviço;037/2023;157650;02/2025;2.544,79;367 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;158413;03/2025;3.431,67;344 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;159212;04/2025;3.431,67;304 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;160022;05/2025;3.431,67;282 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;160828;06/2025;3.431,67;253 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;161619;07/2025;4.424,70;219 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;162412;08/2025;4.431,56;191 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;163223;09/2025;5.076,40;154 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;164059;10/2025;4.630,50;128 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;164880;11/2025;3.526,04;100 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;165688;12/2025;3.463,24;57 dias;0,00;Pendente;
ITRANSITO;Software como Serviço;037/2023;166473;01/2026;3.463,24;30 dias;0,00;Pendente;
