id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
163223;58203;37/2023;09/2025;5076,4;Emitida;COMPLETA;0
164059;58995;37/2023;10/2025;4630,5;Emitida;COMPLETA;0
162412;57432;37/2023;08/2025;4431,56;Emitida;COMPLETA;0
161619;56665;37/2023;07/2025;4424,7;Emitida;MEDIA;0
157650;52814;37/2023;02/2025;4212,04;Parcialmente Paga;COMPLETA;0
164880;59828;37/2023;11/2025;3526,04;Emitida;COMPLETA;0
165688;8;37/2023;12/2025;3463,24;Emitida;MEDIA;0
166473;761;37/2023;01/2026;3463,24;Emitida;MEDIA;0
158413;53552;37/2023;03/2025;3431,67;Emitida;COMPLETA;0
159212;54342;37/2023;04/2025;3431,67;Emitida;COMPLETA;0
160022;55115;37/2023;05/2025;3431,67;Emitida;COMPLETA;0
160828;55880;37/2023;06/2025;3431,67;Emitida;COMPLETA;0
