Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
ODONTOMED;Execução de sistemas;080/2024;155146;11/2024;590,00;471 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;155734;12/2024;562,00;447 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;156596;01/2025;576,00;414 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;157517;02/2025;536,00;378 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;158317;03/2025;506,00;350 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;159098;04/2025;538,00;318 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;159785;05/2025;524,00;290 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;160695;06/2025;510,00;259 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;161408;07/2025;522,00;231 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;162318;08/2025;510,00;196 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;163182;09/2025;510,00;163 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;163787;10/2025;500,00;141 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;164777;11/2025;492,00;105 dias;0,00;Pendente;
ODONTOMED;Execução de sistemas;080/2024;165602;12/2025;474,00;79 dias;0,00;Pendente;
