id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
155146;50293;80/2024;11/2024;590,0;Emitida;COMPLETA;0
156596;51765;80/2024;01/2025;576,0;Emitida;COMPLETA;0
155734;50925;80/2024;12/2024;562,0;Emitida;COMPLETA;0
159098;54211;80/2024;04/2025;538,0;Emitida;COMPLETA;0
157517;52659;80/2024;02/2025;536,0;Emitida;COMPLETA;0
159785;54900;80/2024;05/2025;524,0;Emitida;COMPLETA;0
161408;56430;80/2024;07/2025;522,0;Emitida;COMPLETA;0
160695;55751;80/2024;06/2025;510,0;Emitida;COMPLETA;0
162318;57325;80/2024;08/2025;510,0;Emitida;COMPLETA;0
163182;58173;80/2024;09/2025;510,0;Emitida;COMPLETA;0
158317;53448;80/2024;03/2025;506,0;Emitida;COMPLETA;0
163787;58721;80/2024;10/2025;500,0;Emitida;COMPLETA;0
164777;59704;80/2024;11/2025;492,0;Emitida;COMPLETA;0
165602;60507;80/2024;12/2025;474,0;Emitida;COMPLETA;0
