Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
PGE;Hospedagem de Sistemas;007/2014;105644;09/2018;40.234,67;2731 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Sistemas;007/2014;106906;11/2018;40.234,67;2668 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Sistemas;007/2014;107442;12/2018;40.234,67;2653 dias;0,00;Suspenso;TramitarReverter Status
PGE;Manutenção corretiva e preventiva em equipamentos de TI;006/2019;137728;12/2022;5.836,86;1164 dias;0,00;Suspenso;TramitarReverter Status
PGE;Licença de uso de VPN;006/2019;145186;10/2023;4.342,25;856 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Servidores;006/2019;145187;10/2023;48.199,96;856 dias;0,00;Suspenso;TramitarReverter Status
PGE;Acesso Gerenciado à Rede Mundial;006/2019;145369;10/2023;4.244,60;856 dias;0,00;Suspenso;TramitarReverter Status
PGE;Execução de sistemas;012/2019;146091;11/2023;2.204,41;832 dias;0,00;Suspenso;TramitarReverter Status
PGE;Licença de uso de sistemas de informação;012/2019;145968;11/2023;2.416,15;832 dias;0,00;Suspenso;TramitarReverter Status
PGE;Acesso Gerenciado à Rede Mundial;006/2019;146095;11/2023;4.244,60;832 dias;0,00;Suspenso;TramitarReverter Status
PGE;Licença de uso de VPN;006/2019;145966;11/2023;4.342,25;832 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Servidores;006/2019;145967;11/2023;48.199,96;832 dias;0,00;Suspenso;TramitarReverter Status
PGE;Licença de uso de VPN;006/2019;147330;12/2023;4.342,25;779 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Servidores;006/2019;147331;12/2023;48.199,96;779 dias;0,00;Suspenso;TramitarReverter Status
PGE;Licença de uso de sistemas de informação;012/2019;147332;12/2023;2.416,15;779 dias;0,00;Suspenso;TramitarReverter Status
PGE;Acesso Gerenciado à Rede Mundial;006/2019;147329;12/2023;4.244,60;779 dias;0,00;Suspenso;TramitarReverter Status
PGE;Execução de sistemas;012/2019;147333;12/2023;3.731,60;779 dias;0,00;Suspenso;TramitarReverter Status
PGE;Acesso Gerenciado à Rede Mundial;006/2019;161916;07/2025;4.244,60;199 dias;0,00;Suspenso;TramitarReverter Status
PGE;Licença de uso de VPN;006/2019;161915;07/2025;4.342,25;199 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Servidores;006/2019;161914;07/2025;130.377,36;199 dias;0,00;Suspenso;TramitarReverter Status
PGE;Suporte Técnico em Sistemas de Informação;006/2025;164035;10/2025;2.530,26;125 dias;0,00;Suspenso;TramitarReverter Status
PGE;Implantação de Serviços de TI;006/2025;164034;10/2025;2.811,40;125 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Servidores;006/2025;163930;10/2025;132.620,25;125 dias;0,00;Suspenso;TramitarReverter Status
PGE;Acesso Gerenciado à Rede Mundial;006/2025;163928;10/2025;14.100,00;125 dias;0,00;Suspenso;TramitarReverter Status
PGE;Fornecimento de circuito de transmissão de dados;006/2025;163929;10/2025;1.995,34;125 dias;0,00;Suspenso;TramitarReverter Status
PGE;Serviço Gerenciado de Segurança da Informação;006/2025;163931;10/2025;3.732,52;125 dias;0,00;Suspenso;TramitarReverter Status
PGE;Acesso Gerenciado à Rede Mundial;006/2025;164690;11/2025;14.100,00;101 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Servidores;006/2025;164692;11/2025;132.620,25;101 dias;0,00;Suspenso;TramitarReverter Status
PGE;Fornecimento de circuito de transmissão de dados;006/2025;164691;11/2025;1.995,34;101 dias;0,00;Suspenso;TramitarReverter Status
PGE;Serviço Gerenciado de Segurança da Informação;006/2025;164693;11/2025;3.732,52;101 dias;0,00;Suspenso;TramitarReverter Status
PGE;Implantação de Serviços de TI;006/2025;165141;11/2025;2.811,40;93 dias;0,00;Suspenso;TramitarReverter Status
PGE;Suporte Técnico em Sistemas de Informação;006/2025;165142;11/2025;2.811,40;93 dias;0,00;Suspenso;TramitarReverter Status
PGE;Licença de uso de sistemas de informação;013/2024;165090;12/2025;2.717,66;43 dias;0,00;Suspenso;TramitarReverter Status
PGE;Suporte Técnico em Sistemas de Informação;006/2025;165486;12/2025;2.811,40;43 dias;0,00;Suspenso;TramitarReverter Status
PGE;Implantação de Serviços de TI;006/2025;165510;12/2025;2.811,40;43 dias;0,00;Suspenso;TramitarReverter Status
PGE;Hospedagem de Servidores;006/2025;165093;12/2025;132.620,25;43 dias;0,00;Suspenso;TramitarReverter Status
PGE;Acesso Gerenciado à Rede Mundial;006/2025;165091;12/2025;14.100,00;43 dias;0,00;Suspenso;TramitarReverter Status
PGE;Fornecimento de circuito de transmissão de dados;006/2025;165092;12/2025;1.995,34;43 dias;0,00;Suspenso;TramitarReverter Status
PGE;Serviço Gerenciado de Segurança da Informação;006/2025;165094;12/2025;3.732,52;43 dias;0,00;Suspenso;TramitarReverter Status
PGE;Execução de sistemas;013/2024;165693;12/2025;2.585,87;43 dias;0,00;Suspenso;TramitarReverter Status
