numero;contrato;data_emissao;valor;situacao;descricao
2020NE00121;;31/12/2020;10302,59;Ativo;Anulação de saldo para atender ao Decreto nº 43.042 de 18.11.2020.
2020NE00118;;31/12/2020;300,49;Ativo;Anulação de saldo para atender ao Decreto nº 43.042 de 18.11.2020.
2020NE00363;;31/12/2020;240,81;Ativo;Anulação de saldo para atender ao Decreto nº 43.042 de 18.11.2020.
2020NE00372;;31/12/2020;1012,66;Ativo;Anulação de saldo para atender ao Decreto nº 43.042 de 18.11.2020.
2019NE00394;;30/12/2019;399,03;Ativo;Anulação parcial de saldo para atender ao expresso no Decreto nº 41.554 de 26/11/2019.
2016NE00406;2/2019;30/12/2016;4892,18;Ativo;Anulação total do saldo da NE 0271,para atender à Instrução Normativa nº.01/2016-SET/SEFAZ, que dispõe sobre os procedimentos para o encerramento de 2016.
2016NE00399;;30/12/2016;6142,66;Ativo;Anulação total do saldo da NE 0031,para atender à Instrução Normativa nº.01/2016-SET/SEFAZ, que dispõe sobre os procedimentos para o encerramento de 2016.
2016NE00400;;30/12/2016;7,37;Ativo;Anulação total do saldo da NE 0033,para atender à Instrução Normativa nº.01/2016-SET/SEFAZ, que dispõe sobre os procedimentos para o encerramento de 2016.
2016NE00405;;30/12/2016;1676,89;Ativo;Anulação total do saldo da NE 0314,para atender à Instrução Normativa nº.01/2016-SET/SEFAZ, que dispõe sobre os procedimentos para o encerramento de 2016.
2016NE00402;;30/12/2016;1275,58;Ativo;Anulação total do saldo da NE 0252,para atender à Instrução Normativa nº.01/2016-SET/SEFAZ, que dispõe sobre os procedimentos para o encerramento de 2016.
2025NE0000431;;30/10/2025;403078,1;Ativo;Referente ao Termo de Convênio de Cessão de Servidor nº.002/2023-PGE,cujo objeto é a cessão por disposição da PRODAM-Processamento de Dados Amazonas s/a, de servidores á Procuradoria Geral do Estado d
2025NE0000430;13/2024;30/10/2025;7607,43;Ativo;Contratação para a prestação de serviços Técnicos especializados em Informática, contemplando os serviços de Execução do Sistema de Recursos Humanos e Folha -PRODAM-RH e Licença de usos do Sistema de 
