id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
167222;1684;6/2025;03/2026;132620,25;Emitida;FORTE;20
163930;59030;6/2025;10/2025;132620,25;Emitida;COMPLETA;20
164692;59823;6/2025;11/2025;132620,25;Emitida;COMPLETA;20
165093;375;6/2025;12/2025;132620,25;Emitida;COMPLETA;20
161914;57256;6/2019;07/2025;130377,36;Emitida;COMPLETA;164
145187;41320;6/2019;10/2023;48199,96;Emitida;COMPLETA;164
145967;41971;6/2019;11/2023;48199,96;Emitida;COMPLETA;164
147331;42963;6/2019;12/2023;48199,96;Emitida;COMPLETA;164
105644;4003;7/2014;09/2018;40234,67;Emitida;FORTE;40
106906;4915;7/2014;11/2018;40234,67;Emitida;FORTE;40
107442;5558;7/2014;12/2018;40234,67;Emitida;FORTE;40
167220;1683;6/2025;03/2026;14100,0;Emitida;FORTE;20
163928;59031;6/2025;10/2025;14100,0;Emitida;COMPLETA;20
164690;59822;6/2025;11/2025;14100,0;Emitida;COMPLETA;20
165091;376;6/2025;12/2025;14100,0;Emitida;COMPLETA;20
137728;34596;6/2019;12/2022;5836,86;Emitida;COMPLETA;164
145186;41319;6/2019;10/2023;4342,25;Emitida;FORTE;164
145966;41970;6/2019;11/2023;4342,25;Emitida;COMPLETA;164
147330;42962;6/2019;12/2023;4342,25;Emitida;COMPLETA;164
161915;57255;6/2019;07/2025;4342,25;Emitida;COMPLETA;164
145369;145369;6/2019;10/2023;4244,6;Emitida;FORTE;164
146095;146095;6/2019;11/2023;4244,6;Emitida;FORTE;164
147329;147329;6/2019;12/2023;4244,6;Emitida;FORTE;164
161916;57254;6/2019;07/2025;4244,6;Emitida;COMPLETA;164
167223;1681;6/2025;03/2026;3732,52;Emitida;FORTE;20
163931;59033;6/2025;10/2025;3732,52;Emitida;COMPLETA;20
164693;59825;6/2025;11/2025;3732,52;Emitida;COMPLETA;20
165094;397;6/2025;12/2025;3732,52;Emitida;FORTE;20
147333;42965;12/2019;12/2023;3731,6;Emitida;COMPLETA;55
164034;59029;6/2025;10/2025;2811,4;Emitida;COMPLETA;20
165141;60051;6/2025;11/2025;2811,4;Emitida;COMPLETA;20
165142;60052;6/2025;11/2025;2811,4;Emitida;COMPLETA;20
165486;373;6/2025;12/2025;2811,4;Emitida;COMPLETA;20
165510;374;6/2025;12/2025;2811,4;Emitida;COMPLETA;20
167219;1680;13/2024;03/2026;2798,1;Emitida;FORTE;12
165090;367;13/2024;12/2025;2717,66;Emitida;FORTE;12
167396;1679;13/2024;03/2026;2621,7;Emitida;FORTE;12
165693;396;13/2024;12/2025;2585,87;Emitida;FORTE;12
164035;59028;6/2025;10/2025;2530,26;Emitida;COMPLETA;20
145968;41973;12/2019;11/2023;2416,15;Emitida;COMPLETA;55
147332;42964;12/2019;12/2023;2416,15;Emitida;COMPLETA;55
146091;41972;12/2019;11/2023;2204,41;Emitida;COMPLETA;55
167221;1682;6/2025;03/2026;1995,34;Emitida;FORTE;20
163929;59032;6/2025;10/2025;1995,34;Emitida;COMPLETA;20
164691;59824;6/2025;11/2025;1995,34;Emitida;COMPLETA;20
165092;377;6/2025;12/2025;1995,34;Emitida;FORTE;20
