numero;contrato;data_emissao;valor;situacao;descricao
2020NE02259;;31/12/2020;8021,6;Ativo;ANULAÇAO DO SALDO DA NOTA DE EMPENHO, POR OCASIAO DO ENECERRAMENTO DO EXERCICIO.
2019NE00432;14/2017;30/05/2019;9450,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2022NE0001303;1/2018;29/08/2022;13712,2;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento.
2023NE01037;1/2023;29/06/2023;16219,6;Ativo;Cobertura Financeira
2023NE0001037;1/2023;29/06/2023;16219,6;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2023 a 02/01/2024. PARECER JURÍDICO Nº 5089/2022
2017NE00543;14/2017;29/05/2017;28350,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2016NE00813;;28/11/2016;4615,29;Ativo;REFORÇO DA NE 0043/2016 25905 - SERVIÇOS DE DESENVOLVIMENTO DE SOFTWARE DE APLICAÇÃO.
2022NE0002581;1/2018;28/10/2022;6856,1;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento.
2021NE0000374;1/2018;28/05/2021;6134,97;Ativo;CONTROLE DE PESSOAL DA PMAM.
2015NE00582;2/2012;28/05/2015;13845,87;Ativo;REFORÇO DA NE 00223- SERVIÇOS DE DESENVOLVIMENTO DE SOFTWARE DE APLICAÇÃO.
2015NE00581;14/2012;28/05/2015;35579,9;Ativo;Prestação de Serviço de Processamento de Dados. Especificação: Contratação de empresa especializada em Fornecimento de Circuito de Transmissão de Dados, compreendendo 02 (dois) links dedicados de 3 Mb
2023NE0000297;1/2023;28/04/2023;16219,6;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2023 a 02/01/2024.
2023NE00297;1/2023;28/04/2023;16219,6;Ativo;Cobertura Financeira
2021NE0000055;;28/01/2021;25160,0;Ativo;ANULAÇÃO TOTAL DA NOTA DE EMPENHO 035, FINS AJUSTE DE DATA DA EMISSÃO
2021NE0000052;1/2023;28/01/2021;37800,0;Ativo;ANULAÇÃO TOTAL DA NOTA DE EMPENHO 021, FINS AJUSTE DE DATA DA EMISSÃO
2019NE00430;14/2017;27/05/2019;9450,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2019NE00431;;27/05/2019;9450,0;Ativo;ANULAÇÃO TOTAL PARA CORREÇÃO NA DATA DE GERAÇÃO DO EMPENHO.
2015NE00223;2/2012;26/03/2015;13845,87;Ativo;Cobertura trimestral 3º TA - 2015
2021NE0000035;1/2018;26/01/2021;25160,0;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2021 a 02/01/2022.
2021NE0000339;14/2017;25/05/2021;28350,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2021NE0000021;14/2017;25/01/2021;37800,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2022NE0003756;1/2018;23/11/2022;6856,1;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento.
2015NE00976;14/2012;20/10/2015;17789,95;Ativo;ANULAÇÃO DO SALDO DA NE 00728, CONFORME SOLICITAÇÃO DO OFÍCIO Nº 0443/2015-CEAG. - ACERCA DO ENCERRAMENTO DO EXERCÍCIO CORRENTE.
2014NE02512;14/2012;18/07/2014;115399,25;Ativo;Contrato No. 14/2012 - Link 3 Mpbs, Internet 4,4 Mpbs, Firewall
2015NE00618;;18/06/2015;1842,2;Ativo;PROCESSO INDENIZATÓRIO PARA PAGAMENTO DE DESPESAS REFERENTE A PROCESSAMENTO DE FOLHA ESPECIAL TIPO 61 E 62.
2015NE01135;;17/12/2015;20754,94;Ativo;ANULAÇÃO DE EMPENHO PARA AJUSTE ORÇAMENTÁRIO NO EXERCÍCIO DE 2015
2015NE01132;;17/12/2015;17789,95;Ativo;ANULAÇÃO DE EMPENHO PARA AJUSTE ORÇAMENTÁRIO NO EXERCÍCIO DE 2015
2015NE01104;;17/12/2015;1842,2;Ativo;ANULAÇÃO DE EMPENHO PARA AJUSTE ORÇAMENTÁRIO NO EXERCÍCIO DE 2015
2016NE00770;2/2012;17/11/2016;4615,29;Ativo;REFORÇO DA NE 0043/2016 SERVIÇOS DE DESENVOLVIMENTO DE SOFTWARE DE APLICAÇÃO, Descrição: contratação de empresa especializada em prestação de serviços de desenvolvimento de software aplicativo para co
2022NE0000200;1/2018;16/04/2022;27424,4;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2022 a 02/01/2023.
2019NE01977;1/2018;14/10/2019;18870,0;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA DE CONTROLE DE PESSOAL - CPPM, FISN ATENDER AS NECESSIDADES DA PMAM.
2019NE01976;;14/10/2019;18870,0;Ativo;ANULAÇÃO TOTAL DA NE 1767 FINS AJUSTE Nº CONTRATO
2023NE0001202;1/2023;14/09/2023;8109,8;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2023 a 02/01/2024. PARECER JURÍDICO Nº 5089/2022
2016NE00535;14/2012;14/06/2016;17789,95;Ativo;"Reconhecimento de dívida 2016RD00144 do 3º Aditivo ao Contrato nº 014/2012-PMAM - PRODAM PROCESSAMENTO DE DADOS AMAZONAS S.A. - Contratação de Serviços de Telecomunicações para atender a PMAM; referen"
2016NE00552;;14/06/2016;17789,95;Ativo;ANULAÇÃO TOTAL DA NE 00533 PARA CORREÇÃO NA DESCRIÇÃO DA NE.
2016NE00533;14/2012;14/06/2016;17789,95;Ativo;Reconhecimento de dívida 2016RD00142 do 3º Aditivo ao Contrato nº 014/2012-PMAM - PRODAM PROCESSAMENTO DE DADOS AMAZONAS S.A. - Contratação de Serviços de Telecomunicações para atender a PMAM, referen
2016NE00534;14/2012;14/06/2016;2964,99;Ativo;Reconhecimento de dívida 2016RD00143 do 3º Aditivo ao Contrato nº 014/2012-PMAM - PRODAM PROCESSAMENTO DE DADOS AMAZONAS S.A. - Contratação de Serviços de Telecomunicações para atender a PMAM, referen
2016NE00553;14/2012;14/06/2016;17789,95;Ativo;Reconhecimento de dívida 2016RD00142 do 3º Aditivo ao Contrato nº 014/2012-PMAM - PRODAM PROCESSAMENTO DE DADOS AMAZONAS S.A. - Contratação de Serviços de Telecomunicações para atender a PMAM, referen
2016NE00841;;13/12/2016;4615,29;Ativo;REFORÇO DA NE 0043/2016 25905 - SERVIÇOS DE DESENVOLVIMENTO DE SOFTWARE DE APLICAÇÃO.
2015NE00734;2/2012;13/08/2015;13845,87;Ativo;Serviço de processamento do sistema de controle de pessoal. 3° Termo Aditivo ao Contrato n° 002/12 Período de vigência: Início: 02/01/2015 Término: 02/01/2016 Contrato atende Decreto n° 35.616/2015
2015NE00732;14/2012;13/08/2015;53369,85;Ativo;cobertura do 4º TA - MESES AGOSTO A OUT/2015
2023NE0001238;1/2023;10/10/2023;8109,8;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2023 a 02/01/2024. PARECER JURÍDICO Nº 5089/2022
2021NE0000214;1/2018;08/04/2021;25160,0;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2021 a 02/01/2022.
2021NE0000215;14/2017;08/04/2021;9450,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2021NE0000683;14/2017;05/08/2021;37800,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2021NE0000678;1/2018;05/08/2021;25160,0;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento.
2015NE00027;14/2012;05/01/2015;69239,55;Ativo;Prestação de Serviço de Processamento de Dados. Especificação: Contratação de empresa especializada em Fornecimento de Circuito de Transmissão de Dados, compreendendo 02 (dois) links dedicados de 3 Mb
2018NE00927;14/2017;04/06/2018;66150,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2018NE00930;14/2017;04/06/2018;66150,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2018NE00929;;04/06/2018;66150,0;Ativo;Anulação total da NE 927, para correção na modalidade da NE
2015NE00551;14/2012;04/05/2015;17789,95;Ativo;COBERTURA MAIO 2015 - 3º TA
2021NE0000081;1/2018;04/01/2021;25160,0;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2021 a 02/01/2022.
2021NE0000063;14/2017;04/01/2021;37800,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2016NE00042;14/2012;04/01/2016;106739,7;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet com 6,9 MBPS e serviço de firewall - DOE 32.371,
2016NE00043;2/2012;04/01/2016;27691,74;Ativo;Contratação de Empresa Especializada para a prestação de Serviços de Cadastro de pessoas da PMAM - Disp. Lic. DOE 32.223 de 28/12/11.
2015NE00728;14/2012;03/08/2015;17789,95;Ativo;Prestação de Serviço de Processamento de Dados. Especificação: Contratação de empresa especializada em Fornecimento de Circuito de Transmissão de Dados, compreendendo 02 (dois) links dedicados de 3 Mb
2015NE00720;14/2012;03/08/2015;35579,9;Ativo;ANULAÇÃO TOTAL DA NE 0581 PARA CORREÇÃO NA MODALIDADE E EVENTO.
2015NE00721;14/2012;03/08/2015;35579,9;Ativo;82363 - SERVIÇO DE LINK DE COMUNICAÇÃO, Descrição: SERVIÇO DE LINK DE COMUNICAÇÃO, Descrição: Contratação de serviços técnicos especializados em telecomunicações para disponibilização de link de dados
2015NE00648;2/2012;03/07/2015;13247,07;Ativo;ANULAÇÃO PARCIAL DA NE 223 PARA CORREÇÃO DA REFERÊNCIA LEGAL E EMISSÃO DO NOVO EMPENHO.
2015NE00649;2/2012;03/07/2015;13247,07;Ativo;SERVIÇOS DE DESENVOLVIMENTO DE SOFTWARE DE APLICAÇÃO, Descrição: SERVIÇOS DE DESENVOLVIMENTO DE SOFTWARE DE APLICAÇÃO, Descrição: contratação de empresa especializada em prestação de serviços de desen
2017NE00195;;03/04/2017;18461,16;Ativo;Reforço NE00016 - Contratação de Empresa Especializada para prestação de serviço de Cadastro de pessoas da PMAM - Disp. Lic. DOE 32.223 de 28/12/2011
2022NE0000023;1/2018;03/01/2022;27424,4;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2022 a 02/01/2023.
2016NE00443;2/2012;02/05/2016;4615,29;Ativo;Reconhecimento de dívida 2016RD00139 referente ao mês de Novembro de 2015 - Contratação de empresa especializada em desenvolvimento de software-NFS-e nº 16643 de 23/11/2015 (R$ 4.615,29).
2016NE00441;14/2012;02/05/2016;17789,95;Ativo;Reconhecimento de dívida 2016RD00137, mês de Novembro de 2015 -Contratação de serv. de telecomunicações da PRODAM - NFS-e nº 16533 de 10/11/2015 R$ 8.370,46), nº 16534 de 10/11/2015 (R$ 4.124,24) e nº
2016NE00442;14/2012;02/05/2016;17789,95;Ativo;Reconhecimento de dívida 2016RD00138 referente ao mês de Dezembro de 2015 - Contratação de sv de telecomunicações da PRODAM NFS-e nº 16880 de 02/12/2015 (R$ 5.295,25), nº 16881 de 02/12/2015 (R$ 8.370
2016NE00444;2/2012;02/05/2016;4615,29;Ativo;Reconhecimento de dívida 2016RD00140,referente ao mês de Dezembro de 2015 - Contratação de empresa especializada em desenvolvimento de software ,NFS-e nº 17063 de 22/12/2015 (R$ 4.615,29).
2023NE0000002;1/2023;02/01/2023;32439,2;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2023 a 02/01/2024.
2020NE00002;14/2017;02/01/2020;47250,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2020NE00003;1/2018;02/01/2020;75480,0;Ativo;Contratação de empresa especializada para implantação do sistema de Recursos Humanos e Folha de pagamento. Vigência: 12 (doze) meses, a contar de 02/01/2020 a 02/01/2021
2019NE00006;14/2017;02/01/2019;28350,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2019NE00001;1/2018;02/01/2019;18870,0;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA DE CONTROLE DE PESSOAL - CPPM, FISN ATENDER AS NECESSIDADES DA PMAM.
2018NE00069;1/2018;02/01/2018;75480,0;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA (PRODAM) NA PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA DE CONTROLE DE PESSOAL (CPPM), FINS ATENDER AS NECESSIDADES DA PMAM
2018NE00065;14/2017;02/01/2018;47250,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2018NE00053;14/2017;02/01/2018;47250,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2018NE00059;;02/01/2018;47250,0;Ativo;ANULAÇÃO TOTAL DA NE PARA CORREÇÃO DA DESCRIÇÃO
2017NE00016;2/2012;02/01/2017;18461,16;Ativo;Contratação de Empresa Especializada para prestação de serviço de Cadastro de pessoas da PMAM - Disp. Lic. DOE 32.223 de 28/12/2011.
2014NE00035;2/2012;02/01/2014;53430,96;Ativo;Contrato No. 2/2012 - CPPM - Cadastro de Pessoal da Polícia Militar
2014NE00050;14/2012;02/01/2014;152069,75;Ativo;Contrato No. 14/2012 - Link 3 Mpbs, Internet 4,4 Mpbs, Firewall
2017NE02101;;01/12/2017;9450,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2017NE02102;2/2012;01/12/2017;4615,29;Ativo;Contratação de Empresa Especializada para prestação de serviço de Cadastro de pessoas da PMAM - Disp. Lic. DOE 32.223 de 28/12/2011.
2017NE01732;14/2012;01/11/2017;9450,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2017NE01737;2/2012;01/11/2017;4615,29;Ativo;Contratação de Empresa Especializada para prestação de serviço de Cadastro de pessoas da PMAM - Disp. Lic. DOE 32.223 de 28/12/2011.
2019NE01768;14/2017;01/10/2019;28350,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2019NE01767;1/2018;01/10/2019;18870,0;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA DE CONTROLE DE PESSOAL - CPPM, FISN ATENDER AS NECESSIDADES DA PMAM.
2017NE01224;;01/08/2017;18900,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2017NE01216;;01/08/2017;9230,58;Ativo;Contratação de Empresa Especializada para prestação de serviço de Cadastro de pessoas da PMAM - Disp. Lic. DOE 32.223 de 28/12/2011.
2019NE01127;;01/07/2019;18870,0;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA DE CONTROLE DE PESSOAL - CPPM, FISN ATENDER AS NECESSIDADES DA PMAM.
2019NE01126;;01/07/2019;28350,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2020NE00367;14/2017;01/06/2020;66150,0;Ativo;Contratação de empresa para prestação, de forma dedicada, de serviço de acesso á internet por fibra óptica com garantia de 100(por cento) em download e upload, inclusos equipamentos e instalação, conf
2016NE00467;14/2012;01/06/2016;17789,95;Ativo;REFORÇO NE 0042/2016 82363 - SERVIÇO DE LINK DE COMUNICAÇÃO, Descrição: SERVIÇO DE LINK DE COMUNICAÇÃO, Descrição: Contratação de serviços técnicos especializados em telecomunicações para disponibiliz
2016NE00468;2/2012;01/06/2016;13845,87;Ativo;REFORÇO DA NE 0043/2016 SERVIÇOS DE DESENVOLVIMENTO DE SOFTWARE DE APLICAÇÃO, Descrição: contratação de empresa especializada em prestação de serviços de desenvolvimento de software aplicativo para co
2019NE00159;14/2017;01/04/2019;18900,0;Ativo;Contratação de Empresa Especializada para a prestação de serviço de informática, no Fornecimento de Circuito de Transmissão de Dados, acesso a Internet dedicado com velocidade de 15 Mbps. Portaria nº 
2019NE00161;1/2018;01/04/2019;18870,0;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA DE CONTROLE DE PESSOAL - CPPM, FISN ATENDER AS NECESSIDADES DA PMAM.
2015NE00414;2/2012;01/04/2015;4615,29;Ativo;REFORÇO DA NE 00223 REFERENTE CONTRATO 002/2012-PMAM
2015NE00415;14/2012;01/04/2015;23079,85;Ativo;REFORÇO DA NE 00027 REFERENTE CONTRATO 014/2012-PMAM
