Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
POLICIA CIVIL;Execução de sistemas;004/2017;107292;11/2018;71.190,44;2661 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;004/2017;107937;12/2018;71.298,16;2632 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;137170;11/2022;115.703,20;1203 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;137923;12/2022;115.821,40;1172 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Acesso Gerenciado à Rede Mundial;002/2022;154904;11/2024;10.136,76;472 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;155102;11/2024;83.477,38;472 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;154805;11/2024;1.634,04;472 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Gestão de Segurança e Ativos de Rede;002/2022;154905;11/2024;6.360,23;472 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;154906;11/2024;1.167,84;472 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;155987;12/2024;1.653,50;441 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;155439;12/2024;1.167,84;441 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Gestão de Segurança e Ativos de Rede;002/2022;155438;12/2024;6.360,23;441 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Execução de sistemas;002/2022;156047;12/2024;70.129,59;441 dias;0,00;Suspenso;TramitarReverter Status
POLICIA CIVIL;Acesso Gerenciado à Rede Mundial;002/2022;155437;12/2024;10.136,76;441 dias;0,00;Suspenso;TramitarReverter Status
