id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
146003;41872;164/2023;11/2023;23018,0;Emitida;MEDIA;0
146779;42574;164/2023;12/2023;22782,0;Emitida;COMPLETA;0
147541;43255;164/2023;01/2024;22778,0;Emitida;COMPLETA;0
148975;44568;164/2023;03/2024;22494,0;Emitida;COMPLETA;0
149700;45254;164/2023;04/2024;22198,0;Emitida;COMPLETA;0
151202;46648;164/2023;06/2024;22164,0;Emitida;COMPLETA;0
152019;47388;164/2023;07/2024;22078,0;Emitida;COMPLETA;0
150467;45957;164/2023;05/2024;22020,0;Emitida;COMPLETA;0
152762;48101;164/2023;08/2024;21960,0;Emitida;COMPLETA;0
153415;48744;164/2023;09/2024;21854,0;Emitida;COMPLETA;0
154434;49681;164/2023;10/2024;21730,0;Emitida;COMPLETA;0
155195;50333;164/2023;11/2024;21594,0;Emitida;COMPLETA;0
155978;51058;164/2023;12/2024;21492,0;Emitida;COMPLETA;0
156816;51985;164/2023;01/2025;21406,0;Emitida;COMPLETA;0
157556;52703;164/2023;02/2025;21286,0;Emitida;COMPLETA;0
158296;53425;164/2023;03/2025;21228,0;Emitida;COMPLETA;0
159071;54176;164/2023;04/2025;21182,0;Emitida;COMPLETA;0
159901;54994;164/2023;05/2025;21052,0;Emitida;COMPLETA;0
160772;55838;164/2023;06/2025;20934,0;Emitida;COMPLETA;0
161410;56423;164/2023;07/2025;20802,0;Emitida;COMPLETA;0
162312;57317;164/2023;08/2025;20602,0;Emitida;COMPLETA;0
163154;58144;164/2023;09/2025;20440,0;Emitida;COMPLETA;0
166379;662;164/2023;01/2026;20388,0;Emitida;COMPLETA;0
163948;58886;164/2023;10/2025;20334,0;Emitida;COMPLETA;0
164769;59698;164/2023;11/2025;20268,0;Emitida;COMPLETA;0
165329;60243;164/2023;12/2025;20248,0;Emitida;COMPLETA;0
166378;663;63/2024;01/2026;2242,0;Emitida;COMPLETA;0
151262;46715;63/2024;06/2024;2032,0;Emitida;COMPLETA;0
163183;58174;63/2024;09/2025;2014,0;Emitida;COMPLETA;0
153527;48797;63/2024;09/2024;2004,0;Emitida;COMPLETA;0
154369;49596;63/2024;10/2024;2002,0;Emitida;COMPLETA;0
152064;47450;63/2024;07/2024;1992,0;Emitida;MEDIA;0
152763;48102;63/2024;08/2024;1982,0;Emitida;COMPLETA;0
150488;45984;63/2024;05/2024;1976,0;Emitida;COMPLETA;0
164770;59699;63/2024;11/2025;1974,0;Emitida;COMPLETA;0
149714;45255;63/2024;04/2024;1968,0;Emitida;COMPLETA;0
155194;50334;63/2024;11/2024;1968,0;Emitida;COMPLETA;0
163783;58719;63/2024;10/2025;1954,0;Emitida;COMPLETA;0
165606;60506;63/2024;12/2025;1954,0;Emitida;COMPLETA;0
155733;50923;63/2024;12/2024;1934,0;Emitida;COMPLETA;0
162316;57318;63/2024;08/2025;1918,0;Emitida;COMPLETA;0
156597;51760;63/2024;01/2025;1890,0;Emitida;COMPLETA;0
158295;53426;63/2024;03/2025;1872,0;Emitida;COMPLETA;0
157520;52656;63/2024;02/2025;1866,0;Emitida;COMPLETA;0
161409;56424;63/2024;07/2025;1858,0;Emitida;COMPLETA;0
159099;54207;63/2024;04/2025;1854,0;Emitida;COMPLETA;0
159783;54895;63/2024;05/2025;1848,0;Emitida;COMPLETA;0
160709;55745;63/2024;06/2025;1202,0;Emitida;COMPLETA;0
