Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SALUX;Hospedagem de Servidores;013/2023;154143;10/2024;70.304,74;507 dias;79.069,40;Enviado;
SALUX;Hospedagem de Servidores;013/2023;154944;11/2024;70.304,74;475 dias;78.319,48;Enviado;
SALUX;Hospedagem de Servidores;013/2023;155929;12/2024;72.029,10;444 dias;79.496,12;Enviado;
SALUX;Hospedagem de Servidores;013/2023;156800;01/2025;54.893,96;414 dias;60.035,69;Enviado;
SALUX;Hospedagem de Servidores;013/2023;157410;02/2025;59.343,44;384 dias;64.308,51;Enviado;
SALUX;Hospedagem de Servidores;013/2023;158392;03/2025;53.600,02;346 dias;57.405,62;Enviado;
SALUX;Hospedagem de Servidores;013/2023;158878;04/2025;60.514,57;322 dias;64.326,99;Enviado;
SALUX;Hospedagem de Servidores;013/2023;159686;05/2025;60.514,57;296 dias;63.802,53;Enviado;
SALUX;Hospedagem de Servidores;013/2023;160468;06/2025;63.147,21;261 dias;65.841,49;Enviado;
SALUX;Hospedagem de Servidores;013/2023;161283;07/2025;63.147,21;234 dias;0,00;Pendente;
SALUX;Hospedagem de Servidores;013/2023;162125;08/2025;63.147,21;199 dias;0,00;Pendente;
SALUX;Hospedagem de Servidores;013/2023;162896;09/2025;63.147,21;171 dias;0,00;Pendente;
SALUX;Hospedagem de Servidores;013/2023;163713;10/2025;63.147,21;143 dias;0,00;Pendente;
SALUX;Hospedagem de Servidores;013/2023;164554;11/2025;75.841,84;107 dias;0,00;Pendente;
SALUX;Hospedagem de Servidores;013/2023;165478;12/2025;68.034,66;80 dias;0,00;Pendente;
SALUX;Hospedagem de Servidores;013/2023;165959;01/2026;66.831,46;55 dias;0,00;Pendente;
