id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
164554;59543;13/2023;11/2025;75841,84;Emitida;MEDIA;0
155929;51153;13/2023;12/2024;72029,1;Emitida;COMPLETA;0
154143;49380;13/2023;10/2024;70304,74;Emitida;COMPLETA;0
154944;50023;13/2023;11/2024;70304,74;Emitida;COMPLETA;0
165478;60461;13/2023;12/2025;68034,66;Emitida;COMPLETA;0
165959;230;13/2023;01/2026;66831,46;Emitida;COMPLETA;0
160468;55647;13/2023;06/2025;63147,21;Emitida;COMPLETA;0
161283;56090;13/2023;07/2025;63147,21;Emitida;COMPLETA;0
162125;57186;13/2023;08/2025;63147,21;Emitida;COMPLETA;0
162896;57815;13/2023;09/2025;63147,21;Emitida;COMPLETA;0
163713;58541;13/2023;10/2025;63147,21;Emitida;COMPLETA;0
158878;54097;13/2023;04/2025;60514,57;Emitida;COMPLETA;0
159686;54793;13/2023;05/2025;60514,57;Emitida;COMPLETA;0
157410;52584;13/2023;02/2025;59343,44;Emitida;COMPLETA;0
156800;51965;13/2023;01/2025;54893,96;Emitida;MEDIA;0
158392;53534;13/2023;03/2025;53600,02;Emitida;COMPLETA;0
