Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEAD;Suporte Técnico em Sistemas de Informação;009/2015;93009;06/2016;22.643,48;3562 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Suporte Técnico em Sistemas de Informação;009/2015;93465;07/2016;22.643,48;3527 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Suporte Técnico em Sistemas de Informação;009/2015;93849;08/2016;22.643,48;3496 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Suporte Técnico em Sistemas de Informação;009/2015;94204;09/2016;22.643,48;3465 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;018/2016;106354;10/2018;21.022,50;2705 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Licença de uso de sistemas de informação;005/2017;107302;11/2018;122.788,92;2661 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;018/2016;107360;11/2018;21.022,50;2659 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;017/2016;107345;11/2018;122.157,09;2659 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;018/2016;107490;12/2018;21.022,50;2655 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Licença de uso de sistemas de informação;005/2017;107599;12/2018;122.847,74;2653 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;017/2016;107633;12/2018;84.924,98;2641 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;017/2016;107714;12/2018;94.694,62;2640 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;017/2016;107892;12/2018;83.691,20;2631 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;157/2020;121004;10/2020;130.927,03;1924 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Licença de uso de sistemas de informação;108/2022;135227;08/2022;283.021,34;1289 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Licença de uso de sistemas de informação;108/2022;135895;09/2022;278.952,42;1260 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;146410;12/2023;113.064,93;805 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;151597;07/2024;114.318,84;598 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;155119;11/2024;75.026,90;472 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;155545;12/2024;123.174,70;455 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;155716;12/2024;330.742,14;448 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Licença de uso de sistemas de informação;009/2022;156048;12/2024;276.842,84;441 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;156719;01/2025;209.182,39;407 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;162434;08/2025;207.060,57;177 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;163262;09/2025;194.154,61;142 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Suporte Técnico em Sistemas de Informação;004/2025;164060;10/2025;7.200,75;128 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Hospedagem de Servidores;004/2025;163601;10/2025;61.821,20;128 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Consultoria em informática;004/2025;164061;10/2025;45.154,53;128 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;164063;10/2025;193.972,54;106 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Consultoria em informática;004/2025;164865;11/2025;22.413,29;101 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Suporte Técnico em Sistemas de Informação;004/2025;164866;11/2025;10.657,11;101 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Hospedagem de Servidores;004/2025;164436;11/2025;43.274,84;101 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Desenvolvimento de Sistemas de Informação;008/2022;165131;11/2025;1.272,47;97 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Hospedagem de Sistemas;008/2022;164435;11/2025;8.885,35;97 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;165140;11/2025;44.315,23;93 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Licença de uso de sistemas de informação;009/2022;165145;11/2025;301.409,36;93 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Serviços de Firewall;006/2020;164918;12/2025;1.831,73;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Acesso Gerenciado à Rede Mundial;006/2020;164919;12/2025;7.308,96;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Fornecimento de circuito de transmissão de dados;006/2020;164920;12/2025;9.414,76;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Suporte Técnico em Websites ou portais;005/2020;165153;12/2025;2.349,70;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Hospedagem de Sistemas;005/2020;165154;12/2025;4.695,24;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Hospedagem de Site;005/2020;165155;12/2025;1.784,26;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Hospedagem de Sistemas;008/2022;164921;12/2025;8.885,35;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Desenvolvimento de Sistemas de Informação;008/2022;165156;12/2025;1.272,47;90 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Licença de uso de sistemas de informação;009/2022;165680;12/2025;297.685,82;43 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;165968;12/2025;225.281,98;41 dias;0,00;Suspenso;TramitarReverter Status
SEAD;Execução de sistemas;007/2020;165293;12/2025;127.319,16;41 dias;0,00;Suspenso;TramitarReverter Status
