numero;contrato;data_emissao;valor;situacao;descricao
2020NE01042;;31/12/2020;55735,84;Ativo;Anulação que se faz a 2020NE00008, para ajuste Orçamentário, conforme Decreto N.º 43.042, de 18 de novembro de 2020.
2020NE01038;;31/12/2020;344,47;Ativo;Anulação que se faz a 2020NE00003, para ajuste Orçamentário, conforme Decreto N.º 43.042, de 18 de novembro de 2020.
2020NE01041;;31/12/2020;108950,3;Ativo;Anulação que se faz a 2020NE00007, para ajuste Orçamentário, conforme Decreto N.º 43.042, de 18 de novembro de 2020.
2020NE01040;;31/12/2020;1,53;Ativo;Anulação que se faz a 2020NE00006, para ajuste Orçamentário, conforme Decreto N.º 43.042, de 18 de novembro de 2020.
2020NE01054;;31/12/2020;142586,48;Ativo;Anulação que se faz a 2020NE00484, para ajuste Orçamentário, conforme Decreto N.º 43.042, de 18 de novembro de 2020.
2020NE01039;;31/12/2020;40757,17;Ativo;Anulação que se faz a 2020NE00005, para ajuste Orçamentário, conforme Decreto N.º 43.042, de 18 de novembro de 2020.
2020NE01053;;31/12/2020;56078,44;Ativo;Anulação que se faz a 2020NE00386, para ajuste Orçamentário, conforme Decreto N.º 43.042, de 18 de novembro de 2020.
2024NE0000891;8/2022;31/10/2024;22059,5;Ativo;Contratação de Pessoa Jurídica especializada em serviços de desenvolvimento de sistema com infraestrutura para armazenamento e execução do Sistema de Controle de Material e Patrimônio - AJURI, em plat
2022NE0000742;8/2022;31/08/2022;44119,0;Ativo;Termo de Contrato nº 08/2022-SEAD. Objeto: Contratação de Pessoa Jurídica especializada em serviços de desenvolvimento de sistema com infraestrutura para armazenamento e execução do Sistema de Control
2021NE0000617;5/2017;31/08/2021;749134,8;Ativo;Quinto Termo Aditivo ao Contrato nº 005/2017-SEAD. Objeto: Prorrogar o prazo cumulado com o reajustamento de preço do Termo de Contrato nº 05/2017 SEAD, com fundamento na Cláusula Oitava e Décima Prim
2021NE0000618;3/2020;31/08/2021;11239,36;Ativo;Primeiro Termo Aditivo ao Contrato nº 003/2020-SEAD. Objeto: Prorrogar prazo do Termo de Contrato nº 003/2020 SEAD, com fundamento na Cláusula Oitava - Contratação de empresa especializada na prestaçã
2024NE0000616;4/2025;31/07/2024;67762,72;Ativo;Contratação de empresa especializada para a prestação de serviços de hospedagem de servidores em infraestrutura virtualizada para comportar o sistema SIGED (Sistema Gestão Eletrônica de Documentos) no
2024NE0000618;9/2022;31/07/2024;299236,6;Ativo;Contratação de empresa especializada para a execução dos serviços de Tecnologia da Informação de Licença de Uso, compreendendo disponibilização de Plataforma de Comunicação e Colaboração Corporativa e
2024NE0000617;8/2022;31/07/2024;22059,5;Ativo;Contratação de Pessoa Jurídica especializada em serviços de desenvolvimento de sistema com infraestrutura para armazenamento e execução do Sistema de Controle de Material e Patrimônio - AJURI, em plat
2024NE0000619;5/2020;31/07/2024;17045,08;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE HOSPEDAGEM DE SISTEMAS, SUPORTE TÉCNICO E EVOLUÇÃO FUNCIONAL DE SISTEMAS INFORMATIZADOS P ACESSO GERENCIADO AOS SISTEMAS PARA ATEND
2024NE0000621;;31/07/2024;15238,95;Ativo;Referente a ressarcimento de cessão do servidor, Sr. Fabrício Rogério Cyrino Barbosa, relativo ao mês de julho/2024, conforme Quinto Termo de Aditamento ao Termo de Cessão de Servidor nº 001/2020, cel
2024NE0000620;7/2020;31/07/2024;163279,44;Ativo;Contratação de Pessoa Jurídica para prestação de serviço de execução de Sistemas PRODAM-RH, para manter o cadastro dos servidores e Folha de Pagamento de Pessoal aos Órgãos da Administração Estadual. 
2019NE00507;5/2017;31/07/2019;331093,5;Ativo;Terceiro Termo Aditivo ao Contrato nº 005/2017-SEAD. Objeto: Prorrogar o prazo cumulado com o reajustamento de preço do Termo de Contrato nº 05/2017 SEAD, com fundamento na Cláusula Oitava e Décima Pr
2018NE00556;5/2017;31/07/2018;768912,0;Ativo;Segundo Termo Aditivo ao Contrato nº 005/2017-SEAD Objeto: Contratação de Pessoa Jurídica especializada em tecnologia da informação, visando a prestação de serviço de licença de uso, compreendendo a d
2022NE0000065;;31/01/2022;54329,8;Ativo;Anulação que se faz a 2022NE000057 por incorreção na quantidade de cronograma informado.
2019NE00873;;30/12/2019;225673,76;Ativo;Anulação que se faz a 2019NE00507 para ajuste orçamentário conforme Decreto nº 41.554, de 26 de novembro de 2019.
2019NE00870;;30/12/2019;37851,42;Ativo;Anulação que se faz a 2019NE00011 para ajuste orçamentário conforme Decreto nº 41.554, de 26 de novembro de 2019.
2019NE00866;;30/12/2019;271125,82;Ativo;Anulação que se faz a 2019NE00007 para ajuste orçamentário conforme Decreto nº 41.554, de 26 de novembro de 2019.
2019NE00864;;30/12/2019;98832,16;Ativo;Anulação que se faz a 2019NE00005 para ajuste orçamentário conforme Decreto nº 41.554, de 26 de novembro de 2019.
2019NE00865;;30/12/2019;1419,53;Ativo;Anulação que se faz a 2019NE00006 para ajuste orçamentário conforme Decreto nº 41.554, de 26 de novembro de 2019.
2016NE01061;;30/12/2016;1,37;Ativo;Anulação que se faz a 2016NE00814 para ajuste orçamentário no exercício de 2016.
2016NE01058;;30/12/2016;43919,2;Ativo;Anulação que se faz a 2016NE00681 para ajuste orçamentário no exercício de 2016.
2016NE01060;;30/12/2016;91762,44;Ativo;Anulação que se faz a 2016NE00811 para ajuste orçamentário no exercício de 2016.
2016NE01057;;30/12/2016;3704,12;Ativo;Anulação que se faz a 2016NE00604 para ajuste orçamentário no exercício de 2016.
2016NE01065;;30/12/2016;142186,21;Ativo;Anulação que se faz a 2016NE00810 para ajuste orçamentário no exercício de 2016.
2016NE01059;;30/12/2016;0,54;Ativo;Anulação que se faz a 2016NE00809 para ajuste orçamentário no exercício de 2016.
2022NE0001101;;30/11/2022;11958,83;Ativo;Ressarcimento de Pessoal requisitado, servidor Fabrício Rogério Cyrino, da Processamento de Dados Amazonas S/A - PRODAM, referente ao mês de NOVEMBRO/2022, conforme Segundo Termo Aditivo ao Termo de C
2024NE0000886;6/2020;30/10/2024;36093,58;Ativo;4º TA ao Contrato nº 006/2020, reajuste pelo Índice Geral de Preços do Mercado –IPGM, de 4,01%, prestação de serviços de acesso a Rede de Governo com o fornecimento de link seguro para acesso gerencia
2024NE0000887;7/2020;30/10/2024;163279,44;Ativo;Quarto Termo Aditivo ao Contrato n.º 007/2020, referente à prestação de serviço de execução dos sistemas PRODAM RH, com o intuito de manter o cadastro dos servidores e folha de pagamento de pessoal do
2024NE0000888;4/2020;30/10/2024;4914,0;Ativo;4º TA ao Contrato n.º 004/2020, com reajuste pelo Índice Geral de Preços do Mercado – IPGM, de 4,01%, referente à prestação de serviço sistemas de informações, conhecido como portal da transparência v
2024NE0000881;5/2020;30/10/2024;35454,92;Ativo;4º TA ao Contrato nº 005/2020, com reajuste pelo Índice Geral de Preços do Mercado IPGM, de 4,01%, prestação de serviço prestação de serviços de hospedagem de sistemas,suporte técnico, para atender as
2024NE0000866;;30/10/2024;89932,16;Ativo;Anulação de saldo de Empenho 2024NE00016 para ajuste orçamentário.
2024NE0000864;;30/10/2024;34090,16;Ativo;Anulação de saldo do Empenho 2024NE0000010 para ajuste orçamentário.
2023NE0000936;;30/10/2023;199491,1;Ativo;Anulação parcial da 2023NE00772, para correção do valor empenhado.
2019NE00687;16/2016;30/10/2019;5674,95;Ativo;Quarto Termo Aditivo ao Contrato nº 016/2016-SEAD. Objeto: Prorrogar o prazo do Termo de Contrato nº 16/2016 SEAD, com fundamento na Cláusula Oitava, Décima Primeira e Décima Segunda - Contratação de 
2019NE00684;17/2016;30/10/2019;681302,33;Ativo;Terceiro Termo Aditivo ao Contrato nº 017/2016-SEAD. Objeto: Prorrogar o prazo do Termo de Contrato nº 17/2016 SEAD, com fundamento na Cláusula Oitava, Décima Primeira e Décima Segunda - Contratação d
2019NE00685;15/2016;30/10/2019;58461,15;Ativo;Terceiro Termo Aditivo ao Contrato nº 015/2016-SEAD. Objeto: Prorrogar o prazo do Termo de Contrato nº 15/2016 SEAD, com fundamento na Cláusula Oitava, Décima Primeira e Décima Segunda - Contratação d
2019NE00686;18/2016;30/10/2019;52251,27;Ativo;Quarto Termo Aditivo ao Contrato nº 018/2016-SEAD. Objeto: Prorrogar o prazo do Termo de Contrato nº 18/2016 SEAD, com fundamento na Cláusula Oitava, Nona e Décima Primeira - Contratação de Pessoa Jur
2018NE00788;18/2016;30/10/2018;112120,5;Ativo;Segundo Termo Aditivo ao Contrato nº 018/2016-SEAD Objeto: Prorrogar o prazo do Termo de Contrato nº 18/2016 SEAD, com fundamento na Cláusula Oitava - Contratação de Pessoa Jurídica para prestação de 
2018NE00787;16/2016;30/10/2018;5327,58;Ativo;Terceiro Termo Aditivo ao Contrato nº 016/2016-SEAD Objeto: Prorrogar o prazo do Termo de Contrato nº 16/2016 SEAD, com fundamento na Cláusula Oitava e Décima Primeira - Contratação de Pessoa Jurídica
