id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
155716;50908;7/2020;12/2024;330742,14;Emitida;COMPLETA;144
165145;60054;9/2022;11/2025;301409,36;Emitida;FORTE;75
165680;390;9/2022;12/2025;297685,82;Emitida;COMPLETA;75
135227;31829;108/2022;08/2022;283021,34;Emitida;COMPLETA;8
135895;32483;108/2022;09/2022;278952,42;Emitida;COMPLETA;2
156048;51238;9/2022;12/2024;276842,84;Emitida;COMPLETA;75
155119;50253;7/2020;11/2024;226958,42;Parcialmente Paga;COMPLETA;144
165968;720;7/2020;12/2025;225281,98;Emitida;FORTE;144
156719;51846;7/2020;01/2025;209182,39;Emitida;FORTE;144
162434;57637;7/2020;08/2025;207060,57;Emitida;COMPLETA;144
167395;167395;7/2020;03/2026;201224,14;Emitida;FORTE;144
163262;58612;7/2020;09/2025;194154,61;Emitida;FORTE;144
164063;59672;7/2020;10/2025;193972,54;Emitida;COMPLETA;144
121004;18212;157/2020;10/2020;130927,03;Emitida;FORTE;3
165293;719;7/2020;12/2025;127319,16;Emitida;COMPLETA;144
155545;50734;7/2020;12/2024;123174,7;Emitida;COMPLETA;144
107599;5565;5/2017;12/2018;122847,74;Emitida;FORTE;45
107302;5257;5/2017;11/2018;122788,92;Emitida;FORTE;45
107345;5330;17/2016;11/2018;122157,09;Emitida;FORTE;76
151597;46988;7/2020;07/2024;114318,84;Emitida;COMPLETA;144
146410;42477;7/2020;12/2023;113064,93;Emitida;FORTE;144
107714;5669;17/2016;12/2018;94694,62;Emitida;FORTE;76
107633;5628;17/2016;12/2018;84924,98;Emitida;FORTE;76
107892;5944;17/2016;12/2018;83691,2;Emitida;FORTE;76
163601;59006;4/2025;10/2025;61821,2;Emitida;COMPLETA;16
164061;59009;4/2025;10/2025;45154,53;Emitida;FORTE;16
165140;60050;7/2020;11/2025;44315,23;Emitida;COMPLETA;144
164436;59802;4/2025;11/2025;43274,84;Emitida;COMPLETA;16
93009;18858;9/2015;06/2016;22643,48;Emitida;COMPLETA;146
93465;19312;9/2015;07/2016;22643,48;Emitida;COMPLETA;146
93849;19609;9/2015;08/2016;22643,48;Emitida;COMPLETA;146
94204;19983;9/2015;09/2016;22643,48;Emitida;COMPLETA;146
164865;59800;4/2025;11/2025;22413,29;Emitida;COMPLETA;16
106354;4425;18/2016;10/2018;21022,5;Emitida;FORTE;70
107360;5333;18/2016;11/2018;21022,5;Emitida;FORTE;70
107490;5414;18/2016;12/2018;21022,5;Emitida;FORTE;70
164866;59801;4/2025;11/2025;10657,11;Emitida;COMPLETA;16
167126;1696;6/2020;03/2026;9414,76;Emitida;FORTE;119
164920;60062;6/2020;12/2025;9414,76;Emitida;COMPLETA;119
167127;167127;8/2022;03/2026;8885,35;Emitida;FORTE;160
164435;60032;8/2022;11/2025;8885,35;Emitida;FORTE;160
164921;60067;8/2022;12/2025;8885,35;Emitida;COMPLETA;160
167125;1694;6/2020;03/2026;7308,96;Emitida;FORTE;119
164919;60061;6/2020;12/2025;7308,96;Emitida;COMPLETA;119
164060;59007;4/2025;10/2025;7200,75;Emitida;COMPLETA;16
167122;167122;5/2020;03/2026;4695,24;Emitida;FORTE;183
165154;60065;5/2020;12/2025;4695,24;Emitida;FORTE;183
167120;1697;4/2020;03/2026;2526,29;Emitida;FORTE;76
167121;167121;5/2020;03/2026;2349,7;Emitida;FORTE;183
165153;60064;5/2020;12/2025;2349,7;Emitida;COMPLETA;183
167124;1695;6/2020;03/2026;1831,73;Emitida;COMPLETA;119
164918;60060;6/2020;12/2025;1831,73;Emitida;COMPLETA;119
167123;167123;5/2020;03/2026;1784,26;Emitida;FORTE;183
165155;60066;5/2020;12/2025;1784,26;Emitida;COMPLETA;183
165131;60031;8/2022;11/2025;1272,47;Emitida;COMPLETA;160
165156;60068;8/2022;12/2025;1272,47;Emitida;FORTE;160
